eprew_recent,n_updates,epcount,tcount,recent_best_ext_ret,recent_best_eplen,eprew_std,recent_worst_eplen,total_secs,best_eplen,eplen,eprew,best_ext_ret,eplen_std,rew_mean
229.73057546590215,118,414435.0,30204277.0,232.4,46,1.7561352453612453,140,25151.61029601097,42,51.89,229.91700000000003,234.0,1.5549598065544976,4.394205
229.68180515759315,119,419321.0,30460730.0,232.0,47,2.182584477173793,250,25364.78937149048,42,52.56,229.525,234.0,3.570210077852563,4.3941903
229.7187819333742,120,424214.0,30716886.0,232.8,45,1.8724772361767197,203,25579.514429330826,42,52.79,229.72299999999998,234.0,4.708067544120411,4.404459
229.71732977850695,121,429090.0,30972471.0,232.0,47,5.582574585260819,157,25793.972578048706,42,53.93,229.06900000000005,234.0,13.450096653927806,4.387238
229.74178921568628,122,433986.0,31228368.0,232.0,47,2.041024007698096,115,26010.444412231445,42,52.66,229.56099999999998,234.0,4.6844850303955505,4.404468
229.69811899407074,123,438877.0,31484369.0,232.8,45,1.6886239960393796,220,26224.21546125412,42,51.79,229.957,234.0,1.2271511724314978,4.402506
229.74538602566716,124,443786.0,31740757.0,232.2,47,2.0529128086696717,265,26440.443480730057,42,52.06,229.757,234.0,2.802927041505005,4.417807
229.83262685958837,125,448693.0,31996296.0,232.8,45,1.8040232814462238,160,26653.180507421494,42,51.58,229.99000000000004,234.0,1.543891187875622,4.419536
229.77429735234213,126,453603.0,32252468.0,232.4,46,2.5987081405960155,245,26869.53509759903,42,52.0,229.75400000000002,234.0,3.994996871087636,4.4169173
229.66602159299245,127,458512.0,32508614.0,232.4,46,2.5064897765600405,375,27084.359426021576,42,52.05,229.847,234.0,4.856696408053525,4.4153094
229.923612798704,128,463450.0,32764754.0,233.2,44,1.6675763850570682,123,27300.144675970078,42,51.96,229.88299999999998,234.0,1.1217842929904125,4.4487195
229.83003663003663,129,468364.0,33020559.0,233.6,43,0.7133154982194068,207,27514.445172548294,42,51.49,230.20900000000006,234.0,1.4865732407116712,4.4266667
229.8543425324675,130,473292.0,33276465.0,233.2,44,1.1710930791358984,140,27730.238711595535,42,51.78,230.079,234.0,2.787758956581433,4.4378552
229.84537337662337,131,478220.0,33532317.0,233.2,44,1.4254441413117531,134,27946.11574959755,42,51.89,229.94700000000003,234.0,3.1808646623206087,4.4352036
229.816200891049,132,483158.0,33788534.0,233.2,44,36.51026807625494,375,28159.59356737137,42,55.58,226.02500000000003,234.0,32.9390892405968,4.4447923
229.84932145027346,133,488095.0,34044732.0,233.2,44,1.1869604037203614,155,28371.7046084404,42,51.66,230.125,234.0,2.857341421671551,4.4458327
229.9153114886731,134,493039.0,34300659.0,232.8,45,1.7751312627521376,148,28585.038801431656,42,51.33,230.05300000000003,234.0,1.2965724044572289,4.45307
229.8923978972907,135,497985.0,34556851.0,232.8,45,2.8046183341053736,176,28801.587370872498,42,51.63,229.65400000000002,234.0,1.6532090007013636,4.4540143
229.8917071197411,136,502929.0,34812617.0,232.8,45,2.0435018962555427,129,29016.229489564896,42,51.81,229.87000000000003,234.0,3.0682079460166976,4.454935
229.89917322040733,137,507888.0,35068942.0,232.8,45,0.9442542030618665,127,29232.985023736954,42,51.77,230.128,234.0,2.3952244153732236,4.465521
229.90983639668755,138,512839.0,35324874.0,232.6,46,3.1787576189448616,115,29449.72496819496,42,52.23,229.85000000000002,234.0,7.887781690690989,4.4597397
