ev,opt_approxkl,eplen,epcount,opt_ent,best_ext_ret,opt_feat_var,opt_tot,opt_pg,recent_best_ext_ret,retstd,advstd,tps,rank,opt_dyn_loss,vpredstd,opt_clipfrac,advmean,n_updates,total_secs,opt_vf,tcount,eprew,ups,vpredmean,retmean,eprew_recent,rew_mean
0.9907060656696558,2.0996708e-11,399.23,204577.0,0.57443583,401.25,0.25283524,25.140625,0.769285,399.05,80.274086,7.738827,547.884194632844,0,0.07402002,78.776245,0.0,-0.88701975,1268,160771.21622133255,24.371914,324581054.0,369.6145,0.002140172635284547,93.5419,92.65489,372.176640625,0.9425895
0.9902515104040504,2.1505067e-11,395.48,205219.0,0.6010288,401.25,0.24563082,34.12516,-0.08454321,398.0,79.52351,7.8517094,558.2163296412145,0,0.072847165,77.43099,0.0,-0.05487597,1269,161229.81978845596,34.210304,324834995.0,382.96899999999994,0.002180532537660994,90.6352,90.58032,378.49408099688475,0.9587536
0.9895358271896839,2.4588541e-11,389.62,205886.0,0.59373784,401.25,0.24952142,32.9636,-0.03454886,400.7,78.92591,8.07369,545.9317483240469,0,0.07463879,75.73928,0.0,0.10724812,1270,161698.7428741455,32.99874,325095716.0,375.4645,0.002132545891890808,90.41283,90.52006,378.7344827586207,0.9944152
0.9909748248755932,2.3480206e-11,386.86,206544.0,0.5897989,401.25,0.24516796,37.479385,0.20636198,400.9,79.928665,7.593297,551.2871560283637,0,0.073138796,77.580986,0.0,0.3669167,1271,162163.1106672287,37.273613,325351079.0,380.783,0.002153465453235796,90.213066,90.58,381.81572948328267,0.98746425
0.9921165509149432,2.2198883e-11,394.97,207198.0,0.58057564,401.25,0.2534801,29.984367,-1.1037942,399.65,81.88168,7.2701755,548.7968397222687,0,0.07531642,80.64582,0.0,0.9145431,1272,162629.5856566429,31.088741,325605936.0,371.2275,0.0021437376551651124,89.52805,90.442604,378.74243119266055,0.9782473
0.9923777733929455,2.3176629e-11,390.94,207860.0,0.5779241,401.3,0.25317442,36.859722,-0.20216468,401.3,83.39926,7.281203,548.6623716727256,0,0.074882455,82.9114,0.0,0.33181137,1273,163096.1749713421,37.062466,325861437.0,376.0809999999999,0.0021432123893465847,93.424095,93.75591,383.4502265861027,1.0004541
0.9914874481037259,2.3682492e-11,384.04,208513.0,0.58127314,401.3,0.2510635,30.468908,-0.5756471,400.65,82.58183,7.619288,547.428822159691,0,0.074934386,81.752846,0.0,0.6203764,1274,163563.81567573547,31.045137,326118129.0,385.1884999999999,0.002138393836561293,90.40312,91.0235,377.5992343032159,0.97254753
0.9923735745251179,2.2875533e-11,379.18,209166.0,0.5732646,401.3,0.25435945,21.428677,-0.61967075,398.8,82.302414,7.1874213,556.0008046779358,0,0.07556737,81.358154,0.0,0.36652884,1275,164024.24666404724,22.04892,326372959.0,390.24050000000005,0.0021718781432731866,90.884964,91.25148,379.9010719754977,0.9764618
0.9908874901011586,2.2483492e-11,412.03,209811.0,0.564899,401.3,0.2421121,25.598328,-0.24201421,400.25,81.66926,7.796104,548.6028396841349,0,0.07188076,80.35821,0.0,-0.016955268,1276,164490.8866109848,25.840906,326629389.0,354.84100000000007,0.002142979842516152,89.332695,89.31575,369.95077519379845,0.9402189
0.9910082053393126,2.4391248e-11,391.17,210465.0,0.58005726,401.3,0.24653834,28.893684,0.17330056,398.55,82.53121,7.826028,549.3695418086372,0,0.074296504,81.48174,0.0,0.4281457,1277,164956.87531352043,28.720964,326886145.0,383.55850000000004,0.002145974772689989,90.19086,90.61901,377.73126911314984,0.97327846
0.9921148791909218,2.3808774e-11,393.19,211113.0,0.60519093,401.3,0.24358207,34.650734,-0.40663758,400.7,82.796585,7.352188,553.3197748523842,0,0.07215012,82.02135,0.0,0.77793354,1278,165419.53725266457,35.057976,327139333.0,370.871,0.002161405370517126,89.75513,90.53307,379.79683641975305,0.97180974
0.9916570847854018,2.1668587e-11,396.34,211772.0,0.5802365,401.3,0.25458282,43.52973,-0.43023682,400.85,83.40088,7.6177998,553.3719397535973,0,0.075164236,82.9259,0.0,0.4771081,1279,165882.15557789803,43.96055,327397682.0,371.6025,0.002161609139662489,91.199615,91.67675,376.7938543247344,0.97796375
0.9920496912673116,2.1891882e-11,396.15,212426.0,0.5514012,401.3,0.24836875,20.096722,-0.46249852,399.7,83.3725,7.433868,549.7530700836213,0,0.07302209,82.9588,0.0,0.118574336,1280,166347.81918931007,20.559772,327654487.0,370.64950000000005,0.0021474729300141457,92.75601,92.87457,376.7735474006117,0.97390753
0.9922344358637929,2.3129672e-11,392.83,213084.0,0.58816874,401.3,0.24440683,24.22241,-0.18113907,399.7,82.152115,7.2394447,550.3184862758596,0,0.07200891,81.20106,0.0,-0.07314873,1281,166813.0043618679,24.404137,327911003.0,375.18300000000005,0.002149681587015077,92.43402,92.36091,376.00113981762917,0.9730578
0.9916848726570606,2.3699613e-11,390.18,213735.0,0.5757372,402.0,0.24694526,32.31434,0.6432099,402.0,82.95036,7.5640216,552.891400330213,0,0.07351426,82.63549,0.0,0.19550277,1282,167276.02476668358,31.671705,328166150.0,375.476,0.0021597320325398945,92.664375,92.8599,375.86075268817206,0.96601343
0.9932267754338682,2.340622e-11,392.0,214401.0,0.5712196,402.0,0.2500293,26.125164,-0.35305718,400.05,83.73228,6.8911333,552.5025534765646,0,0.07341713,83.66031,0.0,0.692319,1283,167739.37104153633,26.478792,328421695.0,375.91799999999995,0.0021582130995178306,94.03831,94.73064,383.27447447447446,1.0074805
0.9922800064086914,2.2534724e-11,379.91,215057.0,0.53840464,402.0,0.2652074,18.161192,-1.1861889,401.3,84.6577,7.438321,553.597911367009,0,0.07658685,84.94801,0.0,0.6700913,1284,168201.80053186417,19.34792,328675280.0,386.0895000000001,0.002162491841277379,91.819885,92.48998,379.3608993902439,0.97967714
0.992564189247787,2.3695854e-11,398.74,215722.0,0.5514099,402.0,0.24842423,22.202303,-0.09688251,401.5,83.0769,7.163816,550.6996851640159,0,0.07328565,82.69631,0.0,-0.017943397,1285,168666.6636993885,22.299736,328932246.0,378.40899999999993,0.002151170645171937,95.60687,95.588936,382.0152631578947,1.0022284
