policy_loss,nupdates,curbestlen,eplenmean,fps,time_elapsed,eprewmean,total_timesteps,curbestrew,explained_variance,policy_entropy,clipfrac,serial_timesteps,approxkl,epbestlen,value_loss,epbestrew
-6.4639215e-05,31,2000,2000.0,1082,7522.803726196289,-187.46,8126464,-176.0,0.268890917301178,1.7760212,0.0074911118,63488,0.00079125795,2000,11.959549,-152.0
-2.1601358e-05,32,2000,2000.0,1083,7764.736916780472,-188.12,8388608,-186.0,0.20835334062576294,1.7719828,0.0030603409,65536,0.0004916155,2000,11.679194,-152.0
7.334113e-05,33,2000,2000.0,1071,8009.365864992142,-188.66,8650752,-186.0,0.245624840259552,1.755831,0.031287193,67584,0.0010949522,2000,11.569246,-152.0
-0.00016832813,34,2000,2000.0,1082,8251.460735559464,-189.22,8912896,-186.0,0.26080459356307983,1.7542814,0.023888588,69632,0.0009701786,2000,11.75678,-152.0
-0.00010950932,35,2000,2000.0,1093,8491.133576631546,-189.96,9175040,-186.0,0.2818083167076111,1.7382691,0.0070648193,71680,0.0006343297,2000,11.786405,-152.0
-2.2804721e-05,36,2000,2000.0,1100,8729.40339064598,-190.14,9437184,-186.0,0.2897438406944275,1.7356725,0.0070228577,73728,0.0003757837,2000,11.639206,-152.0
-0.00018603801,37,2000,2000.0,1109,8965.733209371567,-190.04,9699328,-186.0,0.30951988697052,1.7125543,0.009238243,75776,0.0007610191,2000,11.090834,-152.0
-0.00017111389,38,2000,2000.0,1101,9203.797356367111,-190.32,9961472,-186.0,0.31118839979171753,1.6778206,0.003853798,77824,0.0008769743,2000,10.816288,-152.0
-0.000101247344,39,2000,2000.0,1097,9442.549031496048,-190.58,10223616,-186.0,0.3053319454193115,1.6561759,0.0008049011,79872,0.00061581,2000,10.2674675,-152.0
-0.00016493522,40,2000,2000.0,1093,9682.223912000656,-191.02,10485760,-190.0,0.31134968996047974,1.6346657,0.0015029907,81920,0.0008500167,2000,10.10118,-152.0
-0.00016827974,41,2000,2000.0,1092,9922.318113327026,-191.26,10747904,-190.0,0.32015562057495117,1.6204616,0.0093278885,83968,0.000873753,2000,10.291085,-152.0
-0.00014253007,42,2000,2000.0,1092,10162.166675806046,-191.28,11010048,-190.0,0.28496408462524414,1.5997821,0.011065483,86016,0.00069568685,2000,10.198871,-152.0
-0.0002854867,43,2000,2000.0,1075,10405.935255527496,-191.62,11272192,-190.0,0.31340134143829346,1.578653,0.011711121,88064,0.0011249732,2000,9.895897,-152.0
-0.00012345416,44,2000,2000.0,1083,10647.907049417496,-191.62,11534336,-190.0,0.32083016633987427,1.543808,0.0011482239,90112,0.0006436623,2000,9.72183,-152.0
-0.00025837228,45,2000,2000.0,1071,10892.603883266449,-191.9,11796480,-190.0,0.31024008989334106,1.5132113,0.009401321,92160,0.0012443268,2000,9.622879,-152.0
-0.00038454018,46,2000,2000.0,1073,11136.774209976196,-191.96,12058624,-190.0,0.29184865951538086,1.4839358,0.022301674,94208,0.0017501449,2000,9.672834,-152.0
-0.00011720622,47,2000,2000.0,1080,11379.331215143204,-192.06,12320768,-190.0,0.3226923942565918,1.4813274,0.01535511,96256,0.00074583426,2000,9.856406,-152.0
-0.00025054414,48,2000,2000.0,1082,11621.498572349548,-192.1,12582912,-190.0,0.3359993100166321,1.4684553,0.03651619,98304,0.0014105391,2000,9.798414,-152.0
-0.00020438796,49,2000,2000.0,1092,11861.342378854752,-192.16,12845056,-192.0,0.3343137502670288,1.4659809,0.00884819,100352,0.00066743535,2000,9.550979,-152.0
-0.00028193157,50,2000,2000.0,1098,12099.905730485916,-192.36,13107200,-192.0,0.3438243269920349,1.435192,0.030932426,102400,0.0014970639,2000,9.139755,-152.0
-0.0004439586,51,2000,2000.0,1100,12338.079025268555,-192.34,13369344,-192.0,0.34617727994918823,1.4306878,0.029717445,104448,0.0009682414,2000,9.251659,-152.0
-0.00012874248,52,2000,2000.0,1089,12578.60224890709,-192.6,13631488,-192.0,0.3426576256752014,1.4192138,0.02981186,106496,0.00073265686,2000,9.459576,-152.0
-0.00044364622,53,2000,2000.0,1105,12815.70700788498,-192.68,13893632,-192.0,0.3328719735145569,1.3729162,0.05838108,108544,0.0016170419,2000,9.061783,-152.0
