rew_mean,eprew_recent,best_ext_ret,total_secs,recent_worst_eplen,recent_best_eplen,eplen,best_eplen,n_updates,eplen_std,eprew_std,tcount,recent_best_ext_ret,eprew,epcount
-0.33122906,-132.346875,-118.0,245.37411379814148,375,375,375.0,375,1,0.0,2.8404929149709206,240000.0,-118.0,-132.46,640.0
-0.33800986,-131.6625,-98.0,492.57602739334106,375,375,375.0,375,2,0.0,3.631583676579682,480000.0,-98.0,-131.54,1280.0
-0.3339511,-130.09844236760125,116.0,736.263861656189,375,330,375.0,330,3,0.0,3.536325776848055,720688.0,116.0,-130.88,1922.0
-0.3213382,-129.12271540469973,167.2,978.5975868701935,375,212,375.0,212,4,0.0,4.091747792814216,1007768.0,167.2,-129.76,2688.0
-0.32358024,-126.37445482866043,167.2,1223.409068107605,375,246,375.0,212,5,0.0,6.58920329023168,1248090.0,153.6,-127.68,3330.0
-0.30303663,-119.14818731117826,168.8,1470.2920122146606,375,208,375.0,208,6,0.0,6.826302073597388,1495284.0,168.8,-124.96,3992.0
-0.24432108,-99.87570469798656,168.8,1714.0326132774353,375,233,371.5,208,7,14.975646897546698,65.74035609121691,1770659.0,156.4,-100.991,4737.0
-0.20269889,-78.16845930232557,181.2,1959.087036371231,375,177,367.14,177,8,24.541809224260543,83.3000570227896,2020830.0,181.2,-88.68999999999998,5425.0
-0.14559262,-59.054046639231814,182.8,2203.2348306179047,375,173,349.15,173,9,47.3633560888584,118.96837110761837,2280616.0,182.8,-41.674,6154.0
-0.058354747,-26.028342245989307,189.4,2450.1710398197174,375,149,341.91,149,10,53.27214938408248,122.29559793794705,2536984.0,189.4,-21.585000000000004,6902.0
-0.09775999,-39.027188328912466,192.6,2695.9830598831177,375,149,354.24,149,11,44.17173757053259,107.82286408271669,2795146.0,192.6,-67.559,7656.0
-0.090928,-34.20696452036794,196.8,2944.3007419109344,375,138,334.76,138,12,68.64810558201879,126.73691253932297,3047697.0,196.8,-41.04,8417.0
-0.035089392,-17.735061728395063,201.0,3193.9054715633392,375,123,313.26,123,13,80.71674175782866,139.36096736174014,3307546.0,201.0,-0.6239999999999994,9227.0
0.07124248,15.956709451575264,206.3,3446.098748922348,375,115,295.32,115,14,87.83949908782495,143.77087105530106,3563914.0,206.3,21.794000000000004,10084.0
0.0023818605,-3.040740740740739,208.2,3691.512893676758,375,110,298.66,110,15,94.84431664575374,146.18897695790884,3818764.0,208.2,0.6959999999999996,10921.0
0.071392655,16.67095671981777,208.2,3941.1585743427277,375,110,299.68,110,16,93.20631738246072,144.99754791030088,4074316.0,206.0,4.91,11799.0
