n_updates,eprew_std,best_ext_ret,eprew,eplen,total_secs,eprew_recent,recent_worst_eplen,recent_best_eplen,best_eplen,recent_best_ext_ret,eplen_std,epcount,tcount,rew_mean,,,,
50,7.425254204,-110,-154.84,1000,22659.71503,-154.234375,1000,1000,1000,-134,0,12672,12672000,-0.14867643,,,,
51,7.662897624,-110,-152.8,1000,23121.35963,-153.75,1000,1000,1000,-126,0,12928,12928000,-0.14656737,,,,
52,6.107831039,-110,-154.88,1000,23582.8306,-153.578125,1000,1000,1000,-134,0,13184,13184000,-0.14819069,,,,
53,6.627940857,-110,-153.52,1000,24049.78261,-153.078125,1000,1000,1000,-118,0,13440,13440000,-0.14768566,,,,
54,5.946965613,-110,-152.56,1000,24520.74958,-153.796875,1000,1000,1000,-134,0,13696,13696000,-0.1471109,,,,
55,6.529195969,-110,-151.36,1000,24995.58397,-151.75,1000,1000,1000,-110,0,13952,13952000,-0.14664397,,,,
56,6.775367149,-110,-152.12,1000,25454.28957,-152.6875,1000,1000,1000,-134,0,14208,14208000,-0.14658192,,,,
57,6.38435588,-110,-150.2,1000,25926.60334,-151.484375,1000,1000,1000,-134,0,14464,14464000,-0.1444669,,,,
58,6.934666538,-102,-149.52,1000,26383.01351,-149.734375,1000,1000,1000,-102,0,14720,14720000,-0.1442476,,,,
59,7.228720495,-94,-148.84,1000,26856.73306,-149.671875,1000,1000,1000,-94,0,14976,14976000,-0.14350584,,,,
60,9.671732006,-94,-148.24,1000,27327.19326,-148.296875,1000,1000,1000,-102,0,15232,15232000,-0.14239721,,,,
61,8.402285403,-86,-148.96,1000,27797.02661,-148.375,1000,1000,1000,-86,0,15488,15488000,-0.14329025,,,,
62,6.234869686,-86,-148.08,1000,28259.05066,-148.5625,1000,1000,1000,-110,0,15744,15744000,-0.14279446,,,,
63,10.94531863,-78,-145.8,1000,28730.04467,-146.796875,1000,1000,1000,-78,0,16000,16000000,-0.14082688,,,,
64,8.650641595,-78,-147.08,1000,29199.05844,-147.171875,1000,1000,1000,-110,0,16256,16256000,-0.14084981,,,,
65,8.170581375,-70,-147.04,1000,29663.0497,-146.03125,1000,1000,1000,-70,0,16512,16512000,-0.14048931,,,,
66,14.08880407,-54,-142.84,1000,30126.00316,-144.09375,1000,1000,1000,-54,0,16768,16768000,-0.13860232,,,,
67,9.634604299,-54,-143.12,1000,30587.99384,-144.5625,1000,1000,1000,-54,0,17024,17024000,-0.13926753,,,,
68,19.11330427,-30,-139.04,1000,31055.69576,-142.84375,1000,1000,1000,-30,0,17280,17280000,-0.13556597,,,,
69,13.25781279,-30,-138.48,1000,31514.60891,-140.625,1000,1000,1000,-78,0,17536,17536000,-0.1348348,,,,
70,16.19362838,-30,-140.08,1000,31979.15602,-141.234375,1000,1000,1000,-38,0,17792,17792000,-0.13553286,,,,
