n_updates,epcount,total_secs,best_ext_ret,eprew_recent,tcount,eprew_std,eplen_std,recent_worst_eplen,eplen,recent_best_eplen,best_eplen,rew_mean,eprew,recent_best_ext_ret
352,489980,104534.7859,236.5,230.3996965,90104081,2.83504074,6.989105808,201,130.82,123,114,1.7896893,229.912,233.1
353,491952,104832.425,236.5,230.4373225,90359464,1.365744852,3.322709738,217,129.14,122,114,1.7878975,230.571,233.5
354,493927,105128.9605,236.5,230.4442025,90615206,1.09145545,2.695830113,317,129.05,123,114,1.7868295,230.615,233.1
355,495911,105425.1984,236.5,230.4778226,90871963,2.026485628,4.952363072,185,129.79,122,114,1.7988353,230.334,233.5
356,497891,105720.2052,236.5,230.5373737,91127897,1.576865245,3.9,183,129.3,121,114,1.7944963,230.536,233.9
357,499870,106017.5715,236.5,230.498282,91383913,1.603826362,3.957916118,250,128.93,123,114,1.791966,230.671,233.1
358,501842,106311.979,236.5,230.3562373,91639079,2.774030281,6.853933177,375,129.94,122,114,1.7863142,230.234,233.4
359,503826,106606.7556,236.5,230.4596774,91895943,4.554898462,11.33100172,237,130.78,122,114,1.7982954,229.95,233.5
360,505805,106902.6345,236.5,230.5695806,92151621,2.566732553,6.372903577,198,129.31,121,114,1.7934811,230.522,233.7
361,507792,107197.3597,236.5,230.6935078,92407722,1.918868417,4.723346271,286,128.9,121,114,1.8015623,230.688,233.9
362,509776,107498.0357,236.5,230.6548891,92663639,2.032787249,5.018077321,243,129.17,123,114,1.7981298,230.576,233.1
363,511768,107796.1264,236.5,230.6917169,92920364,1.266277616,3.075971391,225,128.28,123,114,1.805841,230.929,233.1
364,513757,108093.978,236.5,230.7558572,93176444,3.962030288,9.875221517,217,130,123,114,1.8040342,230.246,233.1
365,515736,108393.305,236.5,230.7138454,93431443,1.500033333,3.717674004,253,128.17,122,114,1.7965605,230.99,233.5
366,517729,108693.0887,236.5,230.7850477,93687904,2.098332671,5.194073546,195,128.96,123,114,1.8071792,230.68,233.1
367,519711,108991.4858,236.5,230.7149344,93943317,1.536566302,3.757272947,259,128.77,123,114,1.79738,230.758,233.1
368,521698,109290.2281,236.5,230.7227479,94199325,1.800499931,4.421131077,242,128.56,121,114,1.801219,230.84,233.9
369,523686,109589.5878,236.5,230.740996,94455390,1.262962786,3.119919871,212,128.31,123,114,1.804495,230.945,233.1
370,525679,109889.4903,236.5,230.752283,94712016,2.03588089,5.043917129,190,129.17,122,114,1.8075156,230.583,233.5
371,527667,110190.6183,236.5,230.7865191,94967834,2.356453904,5.845776253,181,128.87,122,114,1.8023641,230.705,233.5
372,529654,110489.0624,236.5,230.6318571,95223732,1.56916379,3.807505745,375,128.23,122,114,1.8017374,230.955,233.5
373,531640,110790.1027,236.5,230.7552367,95479466,1.411777603,3.427462618,181,128.35,122,114,1.8044196,230.922,233.5
374,533633,111089.0045,236.5,230.7667837,95736060,2.83190307,7.029729725,232,129.27,122,114,1.8048975,230.565,233.3
375,535618,111389.9185,236.5,230.8153652,95991364,1.95349021,4.790782817,218,129.22,122,114,1.8035113,230.574,233.5
376,537612,111691.0936,236.5,230.8512036,96247662,1.544862453,3.769562309,284,128.48,121,114,1.8079064,230.88,233.9
377,539603,111992.5611,236.5,230.8614766,96503528,1.243756809,3.019453593,257,128.23,119,114,1.8072971,230.963,234.7
378,541595,112293.553,236.5,230.7044177,96760303,1.7045759,4.203569911,276,128.3,121,114,1.8056784,230.939,233.8
379,543576,112594.204,236.5,230.8709743,97014853,0.955248659,2.345719506,199,127.76,122,114,1.7980869,231.17,233.5
380,545578,112894.5953,236.5,230.8471528,97272209,1.613652689,3.964479789,244,128.27,121,114,1.8184803,230.955,233.9
381,547564,113195.9029,236.5,230.8933031,97527293,2.589683185,6.404029981,246,129.22,122,114,1.8016698,230.579,233.3
382,549570,113493.9098,236.5,231.0235294,97784307,1.546961861,3.77437412,290,128.29,122,114,1.8197551,230.953,233.5
383,551569,113796.4783,236.5,231.0131566,98040473,1.775951576,4.341474404,179,128.46,123,114,1.8169179,230.886,233.1
384,553557,114089.8361,236.5,231.0040744,98295252,1.48217779,3.613460945,195,128.27,123,114,1.8040928,230.943,233.1
385,555560,114385.145,236.5,230.9109336,98552441,2.10517909,5.18724397,352,128.45,122,114,1.8177383,230.889,233.5
386,557556,114680.1977,236.5,231.044489,98808056,1.76325693,4.380079908,276,127.93,122,114,1.8140858,231.105,233.5
387,559550,114976.0773,236.5,230.9641424,99063808,1.354067945,3.335790761,203,128.35,121,114,1.8086598,230.93,233.9
388,561551,115274.8342,236.5,230.9644678,99319876,0.946467115,2.2895196,375,127.59,122,114,1.8168707,231.24,233.5
389,563543,115570.2459,236.5,231.0389056,99574999,0.874923425,2.116601049,246,127.4,123,114,1.8097626,231.303,233.1
390,565551,115866.0293,236.5,230.9443725,99832035,2.437860537,6.058580692,375,128.44,122,114,1.8218417,230.894,233.5
391,567549,116162.7255,236.5,231.1461962,100087399,1.326671022,3.278337994,189,127.65,121,114,1.8178226,231.212,233.9
392,569552,116458.9577,236.5,231.0865202,100343705,0.893157881,2.178508664,232,127.21,122,114,1.8180037,231.387,233.5
393,571555,116753.5068,236.5,231.121967,100599838,1.283956386,3.179685519,204,127.64,120,114,1.8209498,231.216,234.3
394,573557,117049.5938,236.5,231.1866134,100855507,1.162387199,2.908246895,171,127.39,122,114,1.8198197,231.316,233.5
395,575566,117346.5285,236.5,231.1815829,101112087,0.854481714,2.131290689,194,127.24,121,114,1.8217034,231.381,233.9
396,577572,117641.9727,236.5,231.116002,101368623,2.580271304,6.378236433,305,128.09,122,114,1.8228525,231.04,233.5
397,579565,117937.9252,236.5,231.1918214,101623152,1.350038518,3.306523854,277,127.63,121,114,1.8116645,231.214,233.9
398,581576,118236.7137,236.5,231.1804575,101880028,1.417171832,3.477297801,307,127.78,119,114,1.827704,231.168,234.7
399,583586,118535.768,236.5,231.209602,102136616,0.794606821,1.969670023,232,126.98,120,114,1.8269217,231.48,234.1
400,585587,118835.0113,236.5,231.2644178,102391792,0.805669908,1.980378752,198,127.09,119,114,1.8181627,231.436,234.7
401,587596,119132.3661,236.5,231.2740169,102647934,0.820060973,2.042057786,174,127.1,121,114,1.8253739,231.45,233.9
402,589598,119427.4331,236.5,231.2641858,102903216,0.854468256,2.081249625,207,127.22,122,114,1.8205343,231.378,233.5
403,591608,119725.3264,236.5,231.2216418,103159755,1.368852074,3.377869151,204,127.5,121,114,1.827912,231.262,233.9
404,593623,120023.8463,236.5,231.3011414,103416536,2.301827752,5.696455038,185,127.48,122,114,1.830942,231.283,233.5
405,595623,120320.1296,236.5,231.3248,103671265,1.510860351,3.703660352,202,127.77,121,114,1.8201712,231.151,233.9
406,597642,120616.9834,236.5,231.3148588,103928479,1.643806558,4.03950492,245,127.32,121,114,1.8338631,231.35,233.7
407,599646,120914.8882,236.5,231.3251996,104183727,0.683177137,1.712191578,182,126.78,122,114,1.8232185,231.563,233.5
408,601655,121213.122,236.5,231.3380289,104439557,0.890350493,2.194789284,189,126.77,122,114,1.8251332,231.574,233.5
409,603667,121507.2381,236.5,231.2621769,104696147,1.275295652,3.097353709,194,127.08,121,114,1.8295095,231.439,233.9
410,605681,121803.6297,236.5,231.3351043,104952621,1.946914482,4.821566136,191,127.75,121,114,1.8317909,231.182,233.9
411,607690,122098.6092,236.5,231.4203584,105208046,1.946325769,4.7860631,180,127.44,122,114,1.82859,231.296,233.5
412,609694,122394.4518,236.5,231.3536427,105463162,1.393181969,3.461849217,200,127.34,121,114,1.821869,231.338,233.9
413,611710,122691.0898,236.5,231.3632937,105719778,1.889056908,4.707982583,201,127.43,122,114,1.8339067,231.308,233.5
414,613727,122987.8137,236.5,231.4030243,105976295,1.029473652,2.547528214,182,126.99,122,114,1.8356062,231.472,233.5
415,615738,123285.601,236.5,231.5224267,106231459,1.294594917,3.144137402,154,127.12,121,114,1.8277634,231.432,233.9
416,617758,123580.629,236.5,231.4257921,106488257,0.989183502,2.444913086,174,127.32,121,114,1.8381007,231.354,233.9
417,619767,123877.7404,236.5,231.3848183,106743873,1.290542522,3.146045136,208,127.32,121,114,1.8291767,231.33,233.7
418,621776,124172.5808,236.5,231.3651568,106999589,1.422920939,3.476147293,215,127.58,122,114,1.8268943,231.236,233.5
419,623792,124472.6803,236.5,231.5008929,107255521,1.447290918,3.555544965,177,127.09,122,114,1.8340338,231.443,233.5
420,625812,124769.3783,236.5,231.4845545,107512043,1.004929848,2.502079135,186,126.86,120,114,1.8374187,231.546,234.3
421,627830,125063.6324,236.5,231.4869673,107768290,1.337364573,3.272598356,190,127.01,119,114,1.8365344,231.484,234.7
422,629847,125358.565,236.5,231.496827,108024359,1.617745036,4.000237493,254,127.09,121,114,1.834684,231.449,233.9
423,631855,125656.6531,236.5,231.5049303,108279242,1.747202335,4.35426228,182,127.02,122,114,1.827287,231.478,233.5
424,633874,125958.2504,236.5,231.5032689,108535524,1.028943147,2.57767337,236,126.66,121,114,1.8388668,231.626,233.9
425,635901,126255.8709,236.5,231.4894919,108792891,1.109166804,2.702942841,293,126.79,120,114,1.8432759,231.557,234.3
426,637915,126554.3441,236.5,231.5500497,109048308,1.302856861,3.240046296,176,126.61,122,114,1.8339386,231.642,233.5
427,639928,126847.2732,236.5,231.5100845,109303795,1.205995025,2.96814757,290,127.01,118,114,1.8306811,231.476,235.1
428,641926,127147.0878,236.5,230.908008,109560306,2.68937093,6.619206901,274,128.69,121,114,1.813742,230.778,233.9
429,643941,127444.7532,236.5,231.507196,109816069,1.685900056,4.125530269,207,127,121,114,1.8336158,231.479,233.9
430,645955,127740.184,236.5,231.451142,110071990,1.29139111,3.160047468,254,126.71,121,114,1.8324848,231.597,233.9
