total_secs,recent_worst_eplen,n_updates,best_ext_ret,epcount,eprew_recent,tcount,eprew_std,rew_mean,recent_best_eplen,eplen,eplen_std,best_eplen,eprew,recent_best_ext_ret
111546.9007,235,480,216.1,939793,211.7441906,122873551,2.925391598,2.1134267,90,101.59,7.287105049,90,211.478,216
111780.0471,375,481,216.1,942325,211.6361769,123129329,1.584488561,2.1100225,91,100.06,3.95934338,90,212.114,215.8
112014.3648,334,482,216.1,944864,211.7707759,123385495,9.679829544,2.1166434,92,103.46,24.21339299,90,210.75,215.2
112249.1026,284,483,216.1,947405,211.8412436,123641439,1.546106077,2.1159852,92,100.16,3.88772427,90,212.066,215.5
112486.8697,375,484,216.2,949948,211.7728667,123897424,1.604694363,2.1156585,90,100.21,4.018196113,90,212.066,216.2
112722.2355,375,485,216.2,952495,211.7790342,124153790,1.541104799,2.1214228,91,99.87,3.835765895,90,212.214,215.6
112955.0297,286,486,216.2,955035,211.8346457,124409653,1.629594735,2.116675,90,100.42,4.074751526,90,211.961,216
113190.744,375,487,216.2,957573,211.7005122,124665631,1.989155348,2.1110494,90,100.79,5.026519671,90,211.819,216
113429.1216,203,488,216.2,960123,211.8817647,124922179,1.883945594,2.1258895,91,100.88,4.697403538,90,211.793,215.6
113664.6483,375,489,216.2,962669,211.8391987,125178057,1.75734914,2.1207469,92,100.29,4.412017679,90,212.018,215.5
113899.5003,215,490,216.2,965216,212.0142128,125433495,1.478242199,2.1237257,91,99.76,3.712465488,90,212.24,215.8
114135.4589,288,491,216.2,967762,211.873802,125689709,1.393770426,2.1233473,91,100.31,3.440043604,90,212.002,215.6
114371.0201,338,492,216.2,970304,211.8953186,125945407,2.108723785,2.1199229,91,100.32,5.304488665,90,212.022,215.6
114608.1237,204,493,216.2,972864,212.0653516,126201818,1.611346021,2.131811,91,100.2,4.007492982,90,212.058,215.6
114841.908,229,494,216.2,975416,212.0184561,126457729,2.128402922,2.1287026,92,101.23,5.32701605,90,211.649,215.5
115074.8604,375,495,216.2,977963,211.8945426,126713387,2.326254285,2.1231663,91,100.53,5.795610408,90,211.929,215.6
115311.3483,301,496,216.2,980515,211.9633621,126969626,2.284357897,2.129943,90,101.63,5.703779449,90,211.453,216.2
