epcount,eprew_std,eplen_std,best_ext_ret,tcount,recent_worst_eplen,eprew_recent,eplen,total_secs,recent_best_ext_ret,recent_best_eplen,rew_mean,best_eplen,n_updates,eprew
514993,5.638525605,14.02360867,221.2,57849863,375,216.4412357,88.72,65153.00545,220.8,78,2.451408,77,226,216.627
517880,10.20496448,25.46188328,221.2,58106380,375,216.414167,89.35,65442.67825,220.4,79,2.4530122,77,227,216.39
520776,3.809306499,9.530036726,221.6,58361686,375,216.6883633,85.72,65734.12538,221.6,76,2.4657333,76,228,217.828
523664,33.71257119,31.59905062,221.6,58618258,375,216.1847299,92.8,66026.20431,221.6,76,2.456195,76,229,212.788
526545,5.181523328,12.84935407,221.6,58873879,375,216.3885109,88.79,66317.5064,220.7,79,2.446862,76,230,216.604
529441,6.520809459,16.20069134,221.6,59129953,375,216.5843577,90.76,66613.50634,220.7,79,2.4637651,76,231,215.838
532315,5.972445395,14.84820191,221.6,59386039,375,216.2423452,87.97,66906.46128,221,78,2.44143,76,232,216.936
535212,11.17384316,27.89773468,221.6,59642349,375,216.5665861,92.58,67196.72657,220.8,78,2.4631684,76,233,215.073
538128,6.685678649,16.51476915,221.6,59898556,375,216.8854252,89.68,67488.66486,221.1,78,2.4873662,76,234,216.199
541033,4.622888599,11.52636543,221.6,60153981,289,216.9297762,86.77,67780.79084,221.2,77,2.474118,76,235,217.401
543967,4.190269204,10.46040152,221.6,60410556,221,217.1270279,86.2,68074.77428,221.1,78,2.5034294,76,236,217.638
546892,4.541571864,11.28315559,221.6,60666107,298,217.1598632,87.48,68366.24759,221.6,76,2.4944675,76,237,217.135
549821,5.021334882,12.51029576,221.6,60922700,272,217.0615568,88.55,68653.06019,221.1,78,2.4979365,76,238,216.714
552744,6.338707755,15.82294536,221.6,61178258,244,217.1287718,87.88,68939.60625,221.2,77,2.4938688,76,239,216.972
555670,5.331458618,13.0956634,221.6,61434072,375,217.0604921,87.06,69231.25451,221.1,78,2.4929821,76,240,217.257
558610,6.904953222,17.10033918,221.6,61690255,245,217.2511565,88.72,69524.18969,221.1,78,2.5126126,76,241,216.589
561526,33.40206693,31.44006838,221.6,61946553,375,216.63738,89.11,69817.15936,220.8,78,2.4784355,76,242,214.255
564462,3.62241287,9.001172146,221.6,62202291,223,217.2607289,85.17,70109.37699,221.2,77,2.506652,76,243,218.055
567405,4.575405009,11.36573799,221.6,62458334,244,217.3024465,87.2,70401.11977,220.7,79,2.5114949,76,244,217.237
570348,7.293362668,18.12106785,221.6,62714294,375,217.240401,90.37,70694.09461,221.2,77,2.511047,76,245,215.919
573292,4.938769482,12.04191015,221.6,62970040,295,217.3504076,86.18,70985.48084,220.8,78,2.5159347,76,246,217.634
576237,4.976094452,12.37295438,221.6,63226230,375,217.2267912,87.1,71277.87894,220.8,78,2.5122755,76,247,217.278
579185,4.523281552,11.22650435,221.6,63482347,375,217.0515943,86.84,71570.09743,221.1,78,2.516552,76,248,217.382
582150,4.674691327,11.69074848,221.6,63738356,299,217.5647218,86.08,71863.39409,221.2,77,2.5294607,76,249,217.681
585097,4.150901589,10.33984526,221.6,63994287,375,217.2840855,85.74,72154.66982,221.5,77,2.5171556,76,250,217.804
588064,5.19132931,12.98258834,221.6,64250753,328,217.5149309,87.18,72447.35298,221.2,77,2.5337052,76,251,217.21
591024,4.208500327,10.24466202,221.6,64506582,375,217.4523649,84.87,72737.22731,220.8,78,2.5312004,76,252,218.135
593994,5.323351858,13.2818824,221.6,64762196,375,217.5917845,86.54,73027.05191,221.4,77,2.535438,76,253,217.475
596959,3.731258635,9.253512846,221.6,65017977,297,217.576796,85.65,73317.35124,220.8,78,2.5337882,76,254,217.853
599935,4.466010636,11.13850977,221.6,65274864,364,217.5429435,86.44,73606.52638,220.8,78,2.5442686,76,255,217.507
602900,6.051799319,15.07971817,221.6,65530350,375,217.5444182,86.61,73900.37633,221.2,77,2.533175,76,256,217.455
605852,5.39719705,13.43629041,221.6,65785814,375,217.3847561,87.19,74192.58471,221.2,77,2.5221694,76,257,217.192
608816,6.856046893,17.08471832,221.6,66042353,293,217.4539136,87.82,74485.62058,221.2,77,2.5307055,76,258,216.961
611806,4.291041365,10.70761878,221.6,66298269,257,217.8438796,86.63,74777.74239,220.8,78,2.557038,76,259,217.442
614782,33.78259167,31.44107345,221.6,66554061,375,217.6237903,89.17,75071.59579,221.2,77,2.5441928,76,260,214.23
617764,2.652549528,6.565333198,221.6,66809966,328,217.758719,83.42,75365.03136,221.2,77,2.5522673,76,261,218.741
620760,2.386338409,5.486747671,221.6,67065888,375,217.7690921,83.34,75656.40086,221.2,77,2.5627418,76,262,218.733
623742,5.670871097,13.88288155,221.6,67322749,375,217.4114688,85.84,75948.33811,220.8,78,2.545113,76,263,217.711
626722,3.448995651,8.346801783,221.6,67577635,375,217.7935906,84.53,76241.33204,221.2,77,2.550893,76,264,218.223
629702,6.096318479,15.20032565,221.6,67834197,375,217.4991275,87.49,76533.57963,221.1,78,2.5461404,76,265,217.099
632707,2.767164614,6.916820079,221.6,68090085,235,218.0181364,83.76,76825.17981,221.2,77,2.5712283,76,266,218.58
635698,5.593705301,13.97327449,221.6,68346183,245,217.8270144,86.74,77119.61976,221.2,77,2.5600743,76,267,217.369
638702,2.766441758,6.927127832,222,68602398,375,217.8822903,83.93,77412.57611,222,75,2.5708933,75,268,218.5
641708,2.687226079,6.691038783,222,68858145,375,217.8915835,83.7,77707.85753,221.5,77,2.5730677,75,269,218.596
644719,6.702387336,16.64012019,222,69114779,375,217.9027233,87.08,78000.39025,221.2,77,2.5766351,75,270,217.198
647706,3.539788694,8.396064554,222,69370124,375,217.7189823,84.31,78294.75861,221.2,77,2.5540357,75,271,218.336
650706,3.558324887,8.582517113,222,69626220,375,217.8376,84.02,78584.08214,220.8,78,2.5679007,75,272,218.418
653725,3.335532791,8.35047304,222,69882405,228,218.1139119,84.36,78877.3358,221.5,77,2.5853572,75,273,218.339
656732,9.471267022,23.65835793,222,70138696,375,217.8963086,86.11,79169.77163,220.8,78,2.573194,75,274,217.649
659720,3.212815588,8.009563034,222,70394436,375,217.6069612,84.13,79462.07722,221.2,77,2.5527222,75,275,218.404
662750,2.938096493,7.356486933,222,70650537,300,218.2614851,83.39,79759.13933,221.2,77,2.5986576,75,276,218.717
665773,3.416247064,8.48581758,222,70906425,304,218.1988422,84.47,80050.67375,220.8,78,2.5910244,75,277,218.284
668800,2.889552907,7.209292614,222,71162235,230,218.255963,83.69,80340.70593,221.1,78,2.5939753,75,278,218.622
671821,3.172018915,7.909304647,222,71418400,375,218.0689507,83.27,80632.97681,221.2,77,2.5879614,75,279,218.764
674836,2.499276695,6.227969171,222,71674194,294,218.1246766,83.18,80926.18162,221.2,77,2.5827267,75,280,218.804
677857,4.22820281,10.53570596,222,71929900,375,218.1259517,84.83,81215.81411,221.2,77,2.589218,75,281,218.149
680885,47.24273289,41.72679715,222,72186597,375,218.0005284,89.88,81507.00672,221.2,77,2.5908074,75,282,211.717
683915,4.351724256,10.86482397,222,72442737,375,218.1557096,84.34,81794.62102,221.2,77,2.5952563,75,283,218.336
686951,3.004245496,7.531268154,222,72698306,375,218.3006258,83.4,82087.38387,221.2,77,2.6051283,75,284,218.697
689989,3.194006262,7.961626718,222,72955108,375,218.084661,84.05,82379.08398,221.2,77,2.6003761,75,285,218.418
693026,3.449706509,8.334140628,222,73210486,375,218.3288772,84.89,82669.75846,221.2,77,2.6043797,75,286,218.055
696054,7.723753686,18.97491765,222,73466145,289,218.2630779,86.25,82959.8277,221.2,77,2.5959406,75,287,217.477
699076,8.872779666,22.11952983,222,73722338,375,218.0436797,87.08,83248.52902,221,78,2.58792,75,288,217.191
702127,2.807930733,6.659849848,222,73978593,375,218.2920354,82.92,83537.7978,221.2,77,2.6153247,75,289,218.845
705175,2.561620386,6.409368144,222,74234069,375,218.4250656,83,83829.71594,221.2,77,2.6158345,75,290,218.851
708226,2.540885672,6.345856916,222,74490411,375,218.3441822,82.99,84119.85794,221.2,77,2.6165671,75,291,218.85
711276,3.785722652,9.49241276,222,74746772,375,218.3233115,83.71,84411.79688,221.2,77,2.6154134,75,292,218.552
714319,2.696570229,6.760295852,222,75002241,375,218.3719356,82.72,84698.74709,221.2,77,2.6098502,75,293,218.947
717373,4.579617888,11.44683362,222,75257899,375,218.3964964,84.5,84988.5764,221.2,77,2.6192074,75,294,218.23
720439,3.298126135,7.953483514,222,75514602,375,218.4572407,83.61,85279.70665,221.2,77,2.6282675,75,295,218.558
723496,3.299876361,7.965701476,222,75770874,229,218.4747792,83.74,85571.98335,221.2,77,2.6265137,75,296,218.496
726559,3.787518977,9.528147774,222,76026500,325,218.6336925,84.88,85859.49411,221.2,77,2.6265855,75,297,218.07
729623,8.655939637,21.62878637,222,76282069,291,218.6468342,84.34,86152.84055,221.2,77,2.6310492,75,298,218.303
732692,3.014017253,7.539071561,222,76538585,244,218.5843271,83.32,86444.30343,221.2,77,2.6333911,75,299,218.71
735745,4.038746712,10.09381494,222,76794878,356,218.4225025,84.57,86734.76957,221.2,77,2.6196525,75,300,218.205
738792,6.841726098,17.09204201,222,77049937,241,218.5193961,84.39,87024.85461,221.2,77,2.6130803,75,301,218.272
741856,2.818987584,7.049049581,222,77306826,375,218.4035901,82.97,87315.61545,221.2,77,2.6297991,75,302,218.847
744922,2.85159885,7.13582511,222,77562574,375,218.5733203,83,87607.32997,221.5,77,2.630046,75,303,218.828
747977,1.99936865,4.409262977,222,77818838,375,218.3117512,81.28,87896.99942,221.6,76,2.6199305,75,304,219.465
751049,3.138777469,7.898101038,222,78074866,179,218.6675456,83,88185.56804,221.2,77,2.6384683,75,305,218.826
754127,4.91681767,12.33892621,222,78330714,194,218.7556205,82.97,88474.82518,221.2,77,2.6434445,75,306,218.848
757189,7.105096762,17.75858947,222,78586434,375,218.5360222,84.55,88761.93363,221.2,77,2.6276374,75,307,218.2
760257,2.989709685,7.477024809,222,78842614,375,218.5411343,83.29,89052.63242,221.2,77,2.6322854,75,308,218.706
763337,2.555546713,6.44219683,222,79098639,219,218.7562013,82.41,89342.09066,221.6,76,2.6462507,75,309,219.059
766417,3.5160903,8.502064455,222,79354353,271,218.7967857,82.93,89635.91929,221.2,77,2.6469245,75,310,218.803
769486,2.05665651,4.635773938,222,79609901,375,218.617074,81.36,89927.06631,221.6,76,2.6334934,75,311,219.442
772566,2.880034028,7.209791953,222,79866753,375,218.4362013,82.83,90215.34943,221.2,77,2.642601,75,312,218.898
775636,3.214089451,7.771975296,222,80122978,375,218.5475896,83.42,90504.2637,221.2,77,2.6336281,75,313,218.623
778712,3.015801552,7.253964433,222,80378322,228,218.7922302,82.8,90797.91462,221.2,77,2.6438198,75,314,218.871
781788,33.78907699,30.88765935,222,80634751,375,218.5806567,85.35,91089.38539,221.6,76,2.6382377,75,315,215.674
784865,3.054377023,7.322096694,222,80890456,375,218.6961651,82.87,91381.37189,221.5,77,2.6447885,75,316,218.841
787933,2.827184288,7.070671821,222,81146294,375,218.5724576,82.84,91672.89416,221.5,77,2.6322439,75,317,218.877
791027,3.002265811,7.509853527,222,81402733,230,218.8521332,82.39,91963.83793,221.5,77,2.6570163,75,318,219.06
794104,3.243969174,8.152889058,222,81658512,212,218.7519987,83.52,92254.89818,221.2,77,2.6449711,75,319,218.608
797187,3.037906516,7.5977036,222,81914371,375,218.7261109,82.07,92546.85954,221.6,76,2.6468368,75,320,219.182
800274,4.40145192,10.10496907,222.3,82170652,324,218.7772271,83.64,92838.82131,222.3,75,2.65312,75,321,218.439
803361,2.72765467,6.488451279,222.3,82426207,279,218.8794299,82.2,93130.76848,221.2,77,2.65259,75,322,219.09
806459,4.066474025,10.19793607,222.3,82682805,149,218.8669464,84.11,93421.33988,221.6,76,2.6614118,75,323,218.383
809529,3.444778077,8.357032966,222.3,82938334,260,218.6968078,83.8,93710.16271,221.6,76,2.636961,75,324,218.452
812628,3.119454439,7.818817046,222.3,83194689,193,218.9209422,83.31,93997.11325,221.6,76,2.665341,75,325,218.698
815708,3.382111027,8.165880234,222.3,83450749,375,218.6686364,83.28,94289.4852,221.2,77,2.6419232,75,326,218.665
818781,3.890363865,9.741170361,222.3,83706710,375,218.5413928,84.36,94575.104,221.2,77,2.636608,75,327,218.263
821876,2.681792498,6.255845267,222.3,83962625,238,218.9227141,82.38,94864.95021,221.6,76,2.6606464,75,328,218.983
824970,3.002965201,7.500739963,222.3,84219060,375,218.7816419,83.17,95151.36673,221.6,76,2.6576757,75,329,218.74
828050,2.791870162,6.965744756,222.3,84474897,375,218.6969805,82.72,95441.5279,221.6,76,2.6458902,75,330,218.931
831137,2.824730076,7.074348026,222.3,84730433,199,218.8857143,82.56,95733.03316,221.6,76,2.6530187,75,331,218.99
834222,3.465356547,7.900354422,222.3,84986075,194,218.8484927,83.62,96022.31166,221.6,76,2.6507905,75,332,218.452
837302,3.830209394,9.586339239,222.3,85242792,375,218.5855844,84.11,96317.39045,221.2,77,2.6444318,75,333,218.364
840382,3.568139011,8.665904454,222.3,85498821,210,218.7330844,83.61,96609.65586,221.6,76,2.6438174,75,334,218.528
843468,3.070894984,7.132068424,222.3,85754760,375,218.7402463,82.44,96898.2706,221.2,77,2.6502526,75,335,218.998
846554,3.080373192,7.417135566,222.3,86010478,166,218.8493195,83.31,97190.13495,221.2,77,2.651618,75,336,218.651
849648,2.38729973,5.970686728,222.3,86266309,252,218.9213639,82.03,97481.50754,221.6,76,2.6588717,75,337,219.2
852738,2.421855487,6.04035595,222.3,86522999,375,218.6214239,81.79,97771.75548,221.2,77,2.6542623,75,338,219.304
855832,2.937562765,7.340299721,222.3,86778271,189,218.9950549,82.8,98062.41904,221.5,77,2.6587405,75,339,218.885
858917,2.665708161,6.653502837,222.3,87034343,241,218.7949433,82.53,98350.86482,221.5,77,2.6507542,75,340,219
862014,3.184692136,7.72440289,222.3,87290958,283,218.8441072,83.56,98640.91463,221.2,77,2.6622934,75,341,218.544
865107,2.305918255,5.763367071,222.3,87546674,188,218.9223084,81.94,98934.92288,221.2,77,2.6567256,75,342,219.229
868197,3.920557486,9.592179106,222.3,87802648,219,218.8507767,84.49,99226.54021,221.6,76,2.6571572,75,343,218.173
871296,2.687600417,6.71353856,222.3,88058458,177,218.9683124,81.78,99520.74374,221.2,77,2.6621432,75,344,219.302
874393,4.624976865,11.5613321,222.3,88314969,185,218.8531805,83.34,99813.9187,221.2,77,2.661861,75,345,218.667
877484,2.768093929,6.550259537,222.3,88570775,171,218.8856681,82.21,100106.1945,221.6,76,2.6572049,75,346,219.084
880582,6.179103171,15.44428373,222.3,88826734,220,218.9356359,84.21,100398.2336,221.6,76,2.662723,75,347,218.322
883656,2.982974857,7.120919884,222.3,89082543,375,218.6313273,82.85,100691.4748,221.2,77,2.6381342,75,348,218.831
886743,3.047742771,7.642479964,222.3,89338807,375,218.6419177,83.05,100990.0646,221.6,76,2.6515057,75,349,218.792
889833,3.112416907,7.509327533,222.3,89594544,247,218.8867314,83.1,101287.2341,221.2,77,2.6536992,75,350,218.731
892935,1.503510559,3.758776397,222.3,89850984,172,218.9180851,80.54,101582.1847,221.2,77,2.66576,75,351,219.784
