rew_mean,recent_best_eplen,eplen_std,best_eplen,best_ext_ret,eprew,total_secs,n_updates,eprew_std,eprew_recent,epcount,recent_best_ext_ret,recent_worst_eplen,tcount,eplen
2.1671023,73,21.80917238,73,252.9,240.047,13354.57394,53,8.718778068,236.7842876,68886,252.9,375,13560065,105.2
2.2314188,73,23.37967279,73,252.9,240.508,13611.19751,54,9.338840185,238.3115417,71260,252.8,375,13815960,103.97
2.2701337,75,20.91459777,73,252.9,240.059,13865.23935,55,8.3743429,238.8272727,73669,252,375,14072498,105.14
2.301588,75,22.87010275,73,252.9,240.612,14119.17275,56,9.143678472,239.4146661,76110,252,375,14328586,103.72
2.3506844,74,19.76848755,73,252.9,242.068,14372.5356,57,7.891804356,240.2366572,78587,252.4,375,14584419,100.13
2.4295382,74,20.29369114,73,252.9,242.573,14626.02507,58,8.12729789,241.4125929,81144,252.6,375,14841624,98.81
2.415239,75,18.23408621,73,252.9,243.274,14878.44277,59,7.286557761,241.4683609,83682,252.1,375,15097142,97.09
2.4992602,74,18.99746299,73,252.9,243.144,15136.67961,60,7.58752028,242.7638591,86294,252.5,375,15352940,97.42
2.561911,73,22.69109737,73,253,243.385,15388.32352,61,9.037005865,243.6976039,88965,253,303,15609409,96.79
2.588755,73,18.51052673,73,253.1,244.089,15644.50888,62,7.399971554,244.0335438,91657,253.1,375,15865040,94.98
2.6199121,72,18.11886034,72,253.2,244.459,15898.96709,63,7.23627107,244.3811168,94379,253.2,375,16121116,94.13
2.657518,71,13.66678821,71,253.8,245.963,16154.58875,64,5.448424635,244.8329463,97135,253.8,375,16377305,90.33
2.6692526,71,15.48355256,71,253.8,246.047,16410.54038,65,6.201716778,244.9354641,99904,253.6,375,16634026,90.14
2.7053955,68,16.30816973,68,254.8,245.327,16663.22168,66,6.517052324,245.4876252,102700,254.8,256,16889968,91.94
2.7199852,72,13.70875633,68,254.8,246.533,16916.30743,67,5.466846532,245.679097,105513,253.2,190,17146088,88.9
2.7477345,72,11.60246095,68,254.8,246.975,17171.37574,68,4.615222096,246.046105,108350,253.5,213,17401801,87.77
2.8044186,72,17.57615146,68,254.8,246.147,17424.96864,69,7.026214557,246.5797368,111237,253.4,283,17658126,89.83
2.8163934,72,14.00021071,68,254.8,246.785,17677.31026,70,5.583374875,246.6610059,114140,253.3,375,17914108,88.29
2.8601794,70,12.64485666,68,254.8,247.997,17929.74596,71,5.050949515,247.2477536,117078,254.1,306,18170059,85.26
2.8719785,66,12.61507035,66,255.6,248.012,18183.44405,72,5.042405775,247.4436228,120026,255.6,197,18425402,85.2
2.8666031,68,15.38083223,66,255.6,247.099,18437.74535,73,6.136847644,247.1479675,122978,254.8,375,18682174,87.5
2.9076412,71,11.25335061,66,255.6,247.915,18691.83719,74,4.49854143,247.7408588,125959,253.7,370,18938151,85.39
2.9189048,70,12.9270685,66,255.6,247.701,18948.35706,75,5.158885442,247.9074433,128955,254,198,19194213,86.03
2.9515212,71,15.12548842,66,255.6,248.028,19203.26976,76,6.028997927,248.2196098,131979,253.9,296,19450304,85.14
2.9631877,65,10.20952496,65,256,248.429,19455.46953,77,4.06323258,248.2983179,135011,256,293,19706451,84.16
2.9928207,71,13.63599648,65,256,248.421,19709.51864,78,5.440317914,248.603953,138072,253.8,183,19962695,84.14
2.9868336,69,18.06788311,65,256,248.274,19963.66808,79,7.226750584,248.5907129,141130,254.4,258,20218807,84.54
3.0013525,70,11.27473281,65,256,248.484,20217.9826,80,4.482939214,248.7284876,144198,254.1,268,20474695,84.02
3.039031,70,13.78014514,65,256,248.573,20473.67029,81,5.514432972,249.0695905,147299,254.1,169,20730669,83.74
3.0415115,66,13.94955196,65,256,248.749,20724.92645,82,5.582194819,249.0526248,150404,255.8,375,20986538,83.3
3.0668864,70,15.47882101,65,256,248.215,20980.00344,83,6.172007372,249.2917598,153535,254,375,21242670,84.69
3.0785234,70,11.64447938,65,256,249.564,21233.06061,84,4.627472744,249.5317936,156674,254.2,239,21498165,81.31
3.1132905,68,8.095745796,65,256,250.029,21488.18548,85,3.218890958,249.7439647,159847,255,153,21754679,80.17
3.118962,69,14.21838247,65,256,248.979,21742.41112,86,5.657018561,249.810576,163024,254.6,205,22011034,82.76
3.1183333,69,10.08719981,65,256,249.783,21992.0321,87,4.0115846,249.8792191,166200,254.4,273,22266783,80.78
3.1417818,69,14.17793709,65,256,249.361,22244.16556,88,5.656021482,250.0270363,169392,254.4,177,22522651,81.81
