recent_worst_eplen,tcount,total_secs,epcount,rew_mean,eprew_recent,best_ext_ret,recent_best_ext_ret,n_updates,eplen,best_eplen,recent_best_eplen,eprew,eplen_std,eprew_std,,,,
1000,12678396,20245.50475,12679,-0.13173889,-138.6875,304.5,-54,50,1000,808,1000,-137.68,0,21.99403556,,,,
1000,12934396,20646.85476,12935,-0.13199624,-138.859375,304.5,-22,51,1000,808,1000,-138.56,0,20.22291769,,,,
1000,13192284,21058.4994,13193,-0.12588549,-134.3155039,304.5,277.45,52,998.88,808,943,-128.414,7.841275406,61.05858542,,,,
1000,13448284,21469.24103,13449,-0.1294501,-136.78125,304.5,10,53,1000,808,1000,-133.36,0,27.76887466,,,,
1000,13705256,21877.92155,13706,-0.12834595,-136.1416342,304.5,271.6,54,999.72,808,972,-134.384,2.785964824,43.44014438,,,,
1000,13963037,22285.06038,13964,-0.12207964,-130.9304264,308.2,308.2,55,999.92,789,789,-129.6625,0.79598995,46.78137149,,,,
1000,14221747,22697.18407,14223,-0.121331275,-126.7947876,308.2,299.6,56,998.27,789,832,-123.774,16.71816677,64.00506639,,,,
1000,14478641,23112.82813,14480,-0.12210878,-131.0842412,308.2,287.35,57,998.94,789,894,-126.5865,10.54686683,50.15573988,,,,
1000,14737726,23530.10996,14740,-0.11432058,-120.2798077,331.6,331.6,58,994.86,672,672,-115.3295,29.95730963,77.82534391,,,,
1000,14998957,23939.47006,15002,-0.108601384,-116.9215649,331.6,303.35,59,993.05,672,814,-102.7235,30.40571492,103.1570791,,,,
1000,15258225,24351.8991,15262,-0.11168731,-117.8973077,331.6,309.15,60,997.58,672,785,-114.315,18.56134693,74.93235399,,,,
1000,15517772,24751.84036,15522,-0.10887065,-117.3269231,331.6,300.8,61,998.49,672,826,-110.2555,11.51824205,84.04067078,,,,
1000,15780267,25172.02519,15785,-0.09906098,-109.0809886,331.6,297.6,62,997.78,672,842,-103.1525,16.10625965,91.34412936,,,,
1000,16042057,25576.44133,16048,-0.09821457,-102.6889734,331.6,320.15,63,990.53,672,730,-90.181,39.07619608,109.4954174,,,,
1000,16304748,25989.48187,16312,-0.08917036,-98.02102273,331.6,313.05,64,991.83,672,765,-77.8815,35.95109317,125.0601277,,,,
1000,16567270,26395.25211,16576,-0.091889426,-98.70965909,331.6,317.85,65,991.71,672,741,-85.537,34.45469344,115.5284884,,,,
1000,16826142,26803.78257,16837,-0.0937623,-101.2247126,331.6,329.7,66,985.99,672,682,-83.9945,52.74893269,117.7017691,,,,
1000,17089707,27217.94001,17104,-0.07146402,-77.63520599,341.75,341.75,67,981.94,622,622,-52.1305,50.24834724,147.4551583,,,,
1000,17351357,27639.04629,17370,-0.06456457,-72.10714286,346.2,346.2,68,983.59,599,599,-73.1915,52.93242768,128.5355184,,,,
1000,17607754,28048.03703,17630,-0.06679712,-72.33096154,346.2,326,69,987.26,599,700,-62.3255,44.99991556,135.2090212,,,,
1000,17865263,28456.10726,17890,-0.06639026,-72.40038462,346.2,327.65,70,986.49,599,692,-65.7695,47.15580452,139.6590205,,,,
1000,18123118,28865.0655,18151,-0.057927486,-62.84655172,346.2,330.1,71,986.71,599,680,-61.6125,46.39575304,138.8602917,,,,
1000,18379581,29273.55961,18412,-0.059615683,-66.37873563,346.2,330.95,72,983.26,599,676,-56.2045,52.12420167,149.8053017,,,,
1000,18638201,29678.50299,18676,-0.056463186,-62.36818182,362.85,362.85,73,983.62,516,516,-77.3155,72.29907053,129.7865667,,,,
1000,18893145,30080.11336,18937,-0.049377114,-52.70766284,362.85,355.3,74,985.83,516,554,-63.322,52.74088642,142.0692161,,,,
1000,19145303,30491.33259,19194,-0.05632777,-61.21264591,362.85,347.45,75,988.95,516,593,-78.7455,44.90019488,121.3650267,,,,
1000,19401514,30904.69078,19455,-0.059688065,-64.09923372,362.85,343.7,76,989.84,516,612,-87.043,44.53531632,117.2174471,,,,
1000,19656866,31309.0984,19715,-0.061939523,-68.07846154,362.85,338.85,77,983.95,516,636,-81.265,62.71018657,126.1979222,,,,
1000,19911552,31715.53606,19976,-0.044619586,-49.13735632,362.85,346.25,78,972.21,516,599,-37.1115,73.02921265,168.1819299,,,,
1000,20164618,32113.6258,20236,-0.03532136,-38.34673077,362.85,347.45,79,976.44,516,593,-27.712,55.10704492,170.9499465,,,,
1000,20422400,32504.80896,20502,-0.031191612,-37.84003759,362.85,352.25,80,970.67,516,569,-35.925,79.19142062,169.5928398,,,,
1000,20681994,32906.33722,20767,-0.05474881,-61.89264151,362.85,330.35,81,972.61,516,679,-51.9905,72.24706153,161.256389,,,,
1000,20934795,33303.94545,21028,-0.03856347,-42.62030651,362.85,350.1,82,977.65,516,580,-54.961,72.31146175,156.809546,,,,
1000,21187611,33717.12056,21287,-0.039882906,-45.72316602,362.85,350.6,83,975.36,516,577,-45.859,72.60007163,162.4937658,,,,
1000,21443836,34117.77076,21551,-0.053634305,-57.16136364,362.85,354.2,84,967.24,516,559,-59.2795,88.58612984,162.5523799,,,,
1000,21697944,34523.88062,21812,-0.0452637,-49.82854406,362.85,346.25,85,974.43,516,599,-50.3555,70.92027284,159.7908308,,,,
1000,21954021,34933.97123,22078,-0.007705529,-14.2231203,362.85,345.8,86,974.77,516,601,-27.698,63.195863,172.1035445,,,,
1000,22209121,35341.47644,22341,-0.034028318,-39.46273764,371.75,371.75,87,980.95,472,472,-54.176,50.73448039,157.6159564,,,,
1000,22466416,35746.77304,22606,-0.040297948,-45.71339623,371.75,363.8,88,970.11,472,511,-48.05,77.91481181,162.0130143,,,,
1000,22724403,36155.0154,22872,-0.042245355,-48.70357143,371.75,348.6,89,964.95,472,587,-36.66,87.40633558,169.7521869,,,,
1000,22980026,36560.66951,23136,-0.036829457,-42.00625,371.75,351,90,971.38,472,575,-47.349,78.20406383,160.5923672,,,,
1000,23236076,36975.54121,23402,-0.01647052,-20.92781955,371.75,353.5,91,963.46,472,563,-17.4775,83.53243921,179.6070756,,,,
1000,23493668,37380.83089,23666,-0.044245414,-50.48276515,371.75,347.5,92,975.57,472,593,-53.8655,69.97646104,156.6677626,,,,
1000,23747213,37789.9635,23929,-0.027685361,-30.49144487,371.75,348.3,93,964.45,472,589,-23.0355,83.40795825,181.6019063,,,,
