best_ext_ret,recent_best_eplen,eplen,tcount,eprew_std,recent_worst_eplen,recent_best_ext_ret,best_eplen,n_updates,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std
246.4,93,121.56,25336013,7.318432619,375,244.8,89,99,1.9310275,233.512,233.3488571,123302,24659.86819,18.2977157
246.4,92,122.52,25592187,8.524070096,262,245.2,89,100,1.9525756,233.123,233.8004245,125422,24911.53671,21.30092956
246.4,94,121.41,25847398,8.010772435,261,244.4,89,101,1.9581525,233.565,234.0918588,127547,25162.90085,20.02353365
246.4,94,120.91,26103124,7.509434799,286,244.4,89,102,1.9630617,233.767,234.087271,129676,25416.65534,18.78674799
246.4,92,118.63,26360285,6.041280907,375,245.2,89,103,1.9781715,234.675,234.0918919,131822,25667.38693,15.1635451
246.4,94,119.68,26616547,6.964936396,290,244.5,89,104,1.979827,234.269,234.2729225,133964,25917.52299,17.40280437
246.4,90,119.03,26871862,7.517837122,375,246.1,89,105,1.9831523,234.515,234.5423059,136115,26168.3695,18.8060921
246.4,96,119.41,27128295,8.684476438,375,243.7,89,106,2.011016,234.363,234.8410304,138289,26417.06217,21.71455503
246.4,91,116.13,27384213,4.772225791,375,245.8,89,107,2.0191221,235.669,234.9229959,140472,26669.79747,11.9269904
247.2,87,114.22,27641531,4.496245545,375,247.2,87,108,2.0487018,236.424,235.3808232,142683,26921.41662,11.21568544
247.2,95,115.11,27896342,6.648232547,221,244.3,87,109,2.0353467,236.102,235.6561788,144876,27174.18144,16.60053915
247.2,94,118.17,28152518,6.814125036,292,244.4,87,110,2.056934,234.85,235.8674041,147091,27427.21203,17.02883143
247.2,94,114.71,28408311,5.579002061,235,244.4,87,111,2.0700655,236.256,236.160602,149317,27678.21178,13.91998204
247.2,92,114.43,28664968,6.874888799,375,245.4,87,112,2.0921867,236.348,236.2820365,151566,27927.38648,17.18095166
247.2,93,113.35,28920670,5.767884448,375,245,87,113,2.0909085,236.797,236.4458426,153815,28178.10445,14.41830434
247.2,93,112.67,29176369,4.529340349,249,244.8,87,114,2.110597,237.074,236.9155615,156077,28432.02615,11.26858909
247.2,96,112.07,29433181,4.715058748,229,243.7,87,115,2.1215127,237.289,236.9922232,158353,28683.59109,11.78749761
247.2,94,113.43,29688481,6.820663018,259,244.4,87,116,2.11426,236.766,237.0600618,160619,28935.05267,17.10219577
247.2,94,112.21,29943955,5.225503229,236,244.5,87,117,2.131509,237.246,237.3492989,162901,29186.40988,13.06008805
247.2,93,113.03,30200998,6.32898815,375,244.8,87,118,2.1317017,236.903,237.0536745,165187,29436.37856,15.85525465
247.2,95,109.82,30456177,4.304973403,230,244.2,87,119,2.1347303,238.198,237.4583807,167472,29686.68026,10.81423136
247.2,93,109.81,30712995,4.566355659,280,244.9,87,120,2.157286,238.214,237.5809193,169778,29934.05064,11.41288307
247.2,93,112.3,30968462,5.457282382,242,244.8,87,121,2.1538632,237.213,237.7935358,172083,30182.51406,13.66565037
247.2,92,112.13,31224901,5.709528527,235,245.2,87,122,2.1690674,237.278,237.8574881,174400,30433.56017,14.31269017
247.2,94,113.64,31480475,6.70787716,375,244.4,87,123,2.1564226,236.672,237.6339255,176708,30686.30689,16.79792844
247.2,91,111.52,31736926,4.346271391,269,245.8,87,124,2.1720026,237.515,237.9270573,179029,30936.584,10.8604604
247.2,95,110.69,31993016,4.527810067,263,244.2,87,125,2.1727915,237.856,238.0239346,181352,31184.94898,11.32050794
247.2,96,111.55,32248286,6.565546436,217,243.8,87,126,2.1760533,237.5,238.1640121,183675,31437.14846,16.43373056
247.2,88,108.1,32504773,2.771583482,375,246.9,87,127,2.1859126,238.865,238.1017551,186011,31690.51628,6.921704992
