best_ext_ret,eplen_std,eprew_recent,total_secs,eprew,tcount,best_eplen,recent_worst_eplen,recent_best_ext_ret,eprew_std,eplen,n_updates,epcount,recent_best_eplen,rew_mean
222.2,11.58047926,217.9612903,57891.72901,217.969,57850632,75,375,221.6,4.642794309,85.25,226,507887,76,2.5702765
222.2,9.497762894,218.1603974,58149.85587,218.218,58106767,75,260,221.6,3.814980472,84.75,227,510907,76,2.5854545
222.2,14.39911108,218.0628904,58407.99752,216.95,58362233,75,375,221.6,5.756187975,87.84,228,513917,76,2.574687
222.2,9.870455917,218.45,58669.25221,218.181,58619037,75,173,221.2,3.953421177,84.79,229,516971,77,2.6159954
222.2,9.442436126,218.4674235,58926.45872,218.502,58874500,75,187,221.6,3.765314861,83.98,230,520010,76,2.6048408
222.2,9.834307296,218.3095804,59186.20516,218.432,59130074,75,180,221.6,3.94610897,84.08,231,523037,76,2.5926065
222.2,11.525359,218.3505267,59444.45231,218.172,59386274,75,232,221.5,4.592626264,84.81,232,526075,77,2.6022038
222.2,10.65211247,218.3005946,59703.54133,218.699,59641918,75,290,221.6,4.258297665,83.45,233,529102,76,2.5951984
222.2,9.923326055,218.4946972,59963.50944,218.763,59898449,75,189,221.5,3.954709977,83.26,234,532157,77,2.6174757
222.2,8.707898713,218.5814912,60221.7513,218.841,60154556,75,216,222,3.474452331,83.05,235,535215,75,2.62045
222.2,10.59272864,218.6002291,60480.49863,218.783,60410282,75,199,222,4.222749223,83.21,236,538270,75,2.6191053
222.2,9.372699718,218.4676692,60737.60545,218.782,60666761,75,375,222,3.747142378,83.25,237,541329,75,2.621155
222.2,10.1617715,218.7472159,60998.35172,218.767,60922693,75,198,221.6,4.051297446,83.28,238,544400,76,2.634421
222.2,10.31532355,218.7910127,61256.08714,218.757,61178293,75,243,221.6,4.133479285,83.29,239,547471,76,2.636736
222.2,7.763658931,218.7729519,61516.5165,219.334,61434388,75,256,221.6,3.107353215,81.84,240,550547,76,2.6380248
222.2,15.23053184,218.6482341,61773.12766,218.042,61689920,75,195,221.6,6.08320935,85.03,241,553605,76,2.624069
222.2,7.507329752,218.6612882,62034.46588,219.207,61946725,75,248,221.6,3.016397023,82.2,242,556679,76,2.6348865
222.2,10.68866222,218.7523794,62291.08449,218.809,62202281,75,215,222,4.401411024,83.05,243,559747,75,2.6328914
222.2,12.17908043,218.7542086,62550.4896,218.111,62458557,75,203,222,4.85662218,84.9,244,562824,75,2.6442657
222.2,10.77727238,218.891537,62811.54087,219.068,62714355,75,232,221.9,4.320969336,82.52,245,565908,76,2.6490812
222.2,4.402681001,218.9262698,63070.91907,219.82,62970472,75,176,221.6,1.763349086,80.58,246,568999,76,2.6531332
222.2,11.6045853,218.9083495,63328.05567,219.042,63226625,75,178,221.6,4.639529718,82.56,247,572089,76,2.652582
222.2,11.11276743,218.8461089,63584.46731,218.9,63482749,75,205,222,4.447358767,82.92,248,575173,75,2.6482518
222.2,10.47274558,218.8489424,63847.1566,218.802,63737928,75,247,222,4.204330624,83.04,249,578246,75,2.6398613
222.2,12.22869985,218.931601,64108.22339,218.399,63994515,75,165,222,4.896131024,84.17,250,581344,75,2.6605122
222.2,11.15686336,219.0413449,64366.00216,218.714,64251062,75,180,222,4.45043863,83.38,251,584452,75,2.6690505
222.2,8.243785538,219.2608221,64623.86029,219.24,64506354,75,160,222,3.280426802,82,252,587566,75,2.6801994
222.2,30.1380225,219.0678663,64883.04402,215.827,64762416,75,375,222,33.29195655,85.14,253,590678,75,2.6717777
222.2,13.15377892,219.0375564,65135.76924,218.825,65018435,75,182,222,5.238212959,83.09,254,593780,75,2.66669
222.2,6.962499551,219.1637092,65392.31287,219.616,65274539,75,375,222.2,2.784626366,81.06,255,596902,75,2.6797667
222.2,16.14341661,219.2852979,65648.99388,218.079,65530244,75,197,222,6.455637769,84.99,256,600024,75,2.6844096
222.2,14.90335197,219.0841819,65905.57419,218.467,65787066,75,375,222,5.968132958,84.01,257,603147,75,2.683669
222.4,9.732543347,219.2439705,66161.17141,219.062,66042752,74,169,222.4,4.153402942,82.24,258,606265,74,2.6797588
222.4,10.29024295,219.1465101,66413.78619,219.021,66298472,74,193,222,4.12388882,82.53,259,609374,75,2.6722715
222.8,9.484492606,219.3145547,66670.76657,219.496,66554844,73,197,222.8,3.771178065,81.38,260,612507,73,2.6927357
222.8,8.336779954,219.3708493,66927.19362,219.609,66810691,73,319,221.6,3.327794916,81.09,261,615639,76,2.6930892
222.8,7.923786973,219.3624242,67184.45652,219.482,67066845,73,176,221.8,3.149646964,81.44,262,618774,76,2.6969638
222.8,8.479829008,219.4270813,67440.11466,219.424,67322502,73,204,222,3.3789087,81.55,263,621909,75,2.6966274
222.8,6.503352981,219.4682424,67696.18475,219.688,67579178,73,189,222,2.585315455,80.92,264,625061,75,2.7124522
222.8,7.21844166,219.5137953,67951.42433,219.767,67835016,73,196,222,2.874823647,80.71,265,628207,75,2.7072415
222.8,6.011854955,219.5459262,68205.77306,219.765,68090290,73,236,221.6,2.384633095,80.76,266,631349,76,2.7043583
222.8,9.517620501,219.4818845,68460.64361,219.6,68346843,73,206,222,3.793705313,81.07,267,634501,75,2.7119176
222.8,7.361820427,219.5826046,68716.4691,219.62,68602919,73,175,222.2,2.932439258,81.06,268,637657,75,2.7148907
222.8,8.992947237,219.5660635,68973.94339,219.191,68858631,73,227,222,3.590434375,82.13,269,640807,75,2.7121592
222.8,10.87538045,219.6492084,69229.48048,219.146,69114317,73,176,222.3,4.337220769,82.19,270,643965,75,2.7205675
222.8,9.009861264,219.7318512,69487.91857,219.755,69370394,73,159,222,3.579312085,80.68,271,647136,75,2.729954
222.8,7.779016647,219.6394246,69744.10581,219.867,69626545,73,165,222,3.108152345,80.37,272,650299,75,2.7217994
222.8,5.699508751,219.6989274,70004.40163,220.156,69882791,73,260,222,2.269419309,79.66,273,653469,75,2.7290726
222.8,7.515743476,219.7788976,70263.72083,219.843,70138800,73,172,222.4,2.999175053,80.44,274,656644,74,2.7344022
222.8,3.41787946,219.6815939,70520.15871,220.4,70394552,73,269,221.6,1.346031203,79.09,275,659806,76,2.725595
222.8,6.478919663,219.80547,70778.50964,220.007,70650831,73,155,222,2.585237126,80.06,276,662987,75,2.7412252
222.8,8.620551026,219.7351828,71037.52065,219.76,70906918,73,167,222,3.452071842,80.69,277,666159,75,2.7286167
222.8,9.614281044,219.6488152,71294.94646,219.184,71163142,73,172,222.4,3.800703093,82.16,278,669324,74,2.725103
222.8,5.890127333,219.7985813,71554.42497,220.07,71418759,73,162,222,2.335144535,79.92,279,672496,75,2.7341628
222.8,10.33794467,219.8387563,71810.06708,219.684,71675000,73,169,222,4.128624953,80.87,280,675680,75,2.741018
222.8,11.39743831,219.7505526,72069.66366,219.523,71930603,73,175,222,4.560523106,81.28,281,678847,75,2.73148
222.8,4.56766899,219.8695447,72324.91318,220.23,72186689,73,167,222,1.786309044,79.58,282,682032,75,2.7434604
222.8,9.907951352,219.6856827,72577.97199,219.176,72442569,73,211,222,3.933195139,82.15,283,685196,75,2.722589
222.8,6.635322147,219.8196732,72834.97546,219.768,72698835,73,167,222,2.619804573,80.65,284,688378,75,2.740819
222.8,6.488173857,219.7602208,73090.96218,220.066,72954611,73,166,222.4,2.556490563,79.94,285,691548,74,2.7307603
222.8,6.109492614,219.7770296,73347.16081,220.135,73210852,73,210,222,2.438785558,79.71,286,694726,75,2.7328076
222.8,6.72216483,219.9113829,73606.79972,220.02,73466922,73,265,222,2.674995327,80.05,287,697915,75,2.7470617
222.8,8.63031865,219.953484,73861.67901,219.534,73722409,73,153,222,3.42193571,81.24,288,701101,75,2.745094
222.8,8.357816701,219.9635453,74119.44325,219.593,73978382,73,159,222.4,3.331463792,81.13,289,704294,74,2.7521245
222.8,6.502584102,219.8630837,74381.04866,219.855,74234991,73,159,222,2.596396541,80.42,290,707485,75,2.7470744
222.8,8.1707466,219.9514895,74639.78922,220.079,74490712,73,153,222,3.25374538,79.83,291,710674,75,2.7478025
222.8,10.20429321,219.8512708,74899.02285,219.967,74747085,73,173,222,4.058202927,80.18,292,713861,75,2.7453914
222.8,8.784412331,219.9914313,75157.83757,219.741,75002258,73,162,222.4,3.508335645,80.71,293,717047,74,2.7446764
222.8,8.611498128,219.9271589,75414.76099,219.584,75258741,73,148,222,3.426506092,81.11,294,720243,75,2.7548494
222.8,7.401425538,219.9767667,75670.6269,219.767,75514974,73,141,222,2.927218987,80.67,295,723441,75,2.752408
222.8,7.540364713,219.9255259,75928.31602,219.738,75770575,73,174,222,2.983983244,80.73,296,726626,75,2.743185
222.8,6.461663872,220.0126174,76187.16472,220.163,76026216,73,152,222,2.568332338,79.63,297,729820,75,2.753029
222.8,7.768519808,219.9855091,76447.60505,219.618,76282685,73,149,222.4,3.102269492,81.01,298,733022,74,2.7581284
222.8,5.390324666,219.9307813,76704.12899,220.283,76538404,73,144,222,2.138553483,79.38,299,736209,75,2.745707
222.8,8.541568943,219.9328326,76963.7741,219.652,76794744,73,228,222,3.39945525,80.96,300,739404,75,2.7537754
222.8,5.59896419,220.0333021,77223.94674,220.208,77050766,73,152,222,2.212450225,79.54,301,742605,75,2.7576196
222.8,3.530382416,220.0744927,77482.77708,220.577,77306627,73,155,222.1,1.397344267,78.58,302,745808,75,2.7604594
222.8,6.017399771,219.9587867,77739.44554,220.044,77563024,73,268,222,2.387103684,79.97,303,749006,75,2.7564263
222.8,7.684243619,220.0402561,77993.92258,219.955,77819069,73,187,222.4,3.04090036,80.18,304,752208,74,2.759577
222.8,5.067543784,219.9672625,78252.6188,220.255,78074640,73,171,222,2.028663353,79.4,305,755397,75,2.748823
222.8,7.232834852,220.0775179,78509.2021,220.136,78330745,73,167,222,2.885741499,79.69,306,758604,75,2.7649138
222.8,7.922594272,219.9124726,78763.93673,219.929,78586904,73,155,222,3.160642182,80.25,307,761795,75,2.749085
222.8,5.261739256,220.0024413,79021.09819,220.151,78842667,73,142,222,2.07168989,79.71,308,764990,75,2.7529407
222.8,5.318072959,220.0108336,79278.75509,220.18,79099022,73,148,222,2.104043726,79.59,309,768193,75,2.7598448
222.8,7.962436813,220.0443994,79538.70454,219.567,79355247,73,132,222,3.161045871,81.14,310,771398,75,2.7622712
222.8,5.864332869,220.0294799,79804.25865,220.171,79610525,73,148,222,2.329647827,79.64,311,774590,75,2.7504978
222.8,6.765877622,219.9776147,80061.78756,219.923,79867097,73,256,222,2.67950947,80.23,312,777793,75,2.7605839
222.8,7.907332041,220.0128951,80316.51533,219.731,80122735,73,152,222,3.150926689,80.71,313,780988,75,2.7526834
222.8,2.2377444,219.9937109,80573.99872,220.636,80378620,73,170,222,0.894038031,78.45,314,784184,75,2.7551458
222.8,6.916726104,219.9779582,80831.81879,220.077,80635173,73,144,222,2.763687935,79.83,315,787387,75,2.7589946
222.8,7.370881901,219.966416,81088.97958,219.811,80890940,73,260,222,2.933390359,80.51,316,790579,75,2.750997
222.8,5.666356854,220.0223717,81347.95722,220.104,81146562,73,140,222,2.244500835,79.82,317,793775,75,2.7588627
222.8,8.058604097,219.9678438,81606.95283,219.879,81402946,73,156,222,3.210118222,80.33,318,796975,75,2.7547739
222.8,4.308352353,220.1039576,81862.70275,220.376,81658950,73,148,222,1.68855678,79.09,319,800184,75,2.7674732
222.8,7.031045441,219.9755869,82115.8977,219.863,81914890,73,136,222,2.793909626,80.38,320,803379,75,2.7542505
222.8,6.467735307,220.1347772,82373.47336,220.104,82170662,73,133,222.4,2.580733229,79.78,321,806588,74,2.7662504
222.8,5.248771285,220.0382839,82630.64387,220.2,82426882,73,175,222,2.084226475,79.52,322,809793,75,2.7646503
222.8,4.353607699,220.1254743,82888.46,220.341,82683181,73,143,222,1.72841517,79.19,323,813008,75,2.7753427
222.8,8.661518343,220.0321451,83146.16037,219.649,82938889,73,150,222.1,3.464404566,80.91,324,816206,75,2.752901
222.8,8.773887394,220.1531133,83404.89523,219.692,83194739,73,137,222,3.495816929,80.83,325,819418,75,2.772659
