eplen,best_eplen,rew_mean,n_updates,total_secs,best_ext_ret,recent_worst_eplen,recent_best_ext_ret,epcount,tcount,eplen_std,recent_best_eplen,eprew_std,eprew,eprew_recent
95.99,84,2.5407543,390,114477.4107,248.4,201,247.3,849988,99833822,8.597086716,87,3.460989887,243.707,243.5080949
96.84,84,2.5369031,391,114772.064,248.4,147,247.3,852641,100089641,9.576763545,87,3.829836942,243.357,243.5277799
95.73,84,2.526764,392,115068.8126,248.4,141,247.3,855287,100345111,8.707301534,87,3.491580015,243.813,243.4748677
96.27,84,2.548197,393,115361.2583,248.4,264,247.6,857952,100601860,9.035325119,86,3.618151324,243.591,243.5611257
95.01,84,2.5306225,394,115653.1934,248.4,136,247.3,860601,100857375,8.558615542,87,3.425816545,244.091,243.5161948
97.3,84,2.5372534,395,115946.7863,248.4,231,246.9,863255,101113258,9.620291056,88,3.845232893,243.172,243.5339488
97.25,84,2.536275,396,116242.1666,248.4,177,247.3,865905,101369658,9.627434757,87,3.861670623,243.19,243.3955472
95.29,84,2.516049,397,116536.7263,248.4,154,246.9,868542,101625764,8.293726545,88,3.331825175,243.979,243.249526
96.64,84,2.5228422,398,116828.7567,248.4,142,247.3,871184,101881528,9.452534052,87,3.800868322,243.44,243.3744133
99.23,84,2.5239527,399,117122.8753,248.4,147,247.7,873827,102137616,10.39408967,86,4.17837241,242.398,243.3373061
98.21,84,2.5215166,400,117419.919,248.4,122,247.3,876468,102394039,10.2061697,87,4.101388058,242.796,243.2582734
97.79,84,2.5241237,401,117714.619,248.4,134,247.3,879109,102649886,9.91896668,87,3.976120723,242.992,243.3460053
97.44,84,2.5260332,402,118005.1156,248.4,141,247.3,881755,102906274,9.669870733,87,3.894929524,243.118,243.3380952
97.19,84,2.5277438,403,118298.7188,248.4,138,246.9,884401,103162139,9.712564028,88,3.89410118,243.224,243.4151172
95.51,84,2.538517,404,118590.8529,248.4,130,247.3,887056,103418033,8.680432017,87,3.466698718,243.9,243.5482109
96.26,84,2.5425239,405,118884.7972,248.4,247,247.3,889710,103673770,9.480105485,87,3.783331865,243.6,243.5551243
96.64,84,2.5231628,406,119178.2807,248.4,206,247.2,892356,103929893,9.389909478,87,3.760055718,243.441,243.3809524
96.34,84,2.530545,407,119467.1784,248.4,238,247.3,895003,104185486,9.624157106,87,3.845201035,243.573,243.4790329
95.59,84,2.5322871,408,119764.6548,248.4,167,247.3,897654,104441515,8.475960123,87,3.38080523,243.866,243.4716333
97.39,84,2.5363681,409,120056.154,248.4,133,247.3,900306,104697679,9.724088646,87,3.899012696,243.15,243.4636878
