eprew,eprew_std,eplen_std,recent_best_ext_ret,rew_mean,n_updates,recent_best_eplen,best_eplen,eplen,epcount,total_secs,tcount,eprew_recent,recent_worst_eplen,best_ext_ret
-0.0875,1.913602623325961,0.0,6.375,0.017533088,31,65,65,65.0,960.0,365.2825393676758,1982400.0,-0.8401692708333334,65,6.375
0.546875,1.846330291923685,0.0,5.4375,0.03528058,32,65,65,65.0,1952.0,719.8566992282867,2046880.0,-0.35099546370967744,65,6.375
-0.85625,1.6244109509295976,0.0,5.125,0.03968615,33,65,65,65.0,2944.0,1075.8332135677338,2111360.0,-0.32516381048387094,65,6.375
0.84375,1.89391500931272,0.0,5.75,0.051221803,34,65,65,65.0,3936.0,1429.9206306934357,2175840.0,0.11491935483870967,65,6.375
0.0125,1.890312474169284,0.0,7.3125,0.055630133,35,65,65,65.0,4896.0,1782.526667356491,2238240.0,0.2757161458333333,65,7.3125
0.809375,1.8401421268138503,0.0,6.375,0.058229215,36,65,65,65.0,5888.0,2136.7996027469635,2302720.0,0.32346270161290325,65,7.3125
0.85625,1.4923110223743574,0.0,5.75,0.060138933,37,65,65,65.0,6880.0,2490.9172174930573,2367200.0,0.4230090725806452,65,7.3125
0.478125,1.42977202618984,0.0,6.375,0.06443161,38,65,65,65.0,7872.0,2846.681467294693,2431680.0,0.7424395161290323,65,7.3125
0.6125,1.4653018033838625,0.0,6.6875,0.06685884,39,65,65,65.0,8832.0,3204.754789352417,2494080.0,0.9208984375,65,7.3125
0.875,1.7024798089845294,0.0,7.625,0.0662513,40,65,65,65.0,9824.0,3558.557191848755,2558560.0,0.8933341733870968,65,7.625
1.053125,1.786699449228941,0.0,7.0,0.06601634,41,65,65,65.0,10816.0,3911.2855286598206,2623040.0,0.944367439516129,65,7.625
0.775,1.9458890962745026,0.0,7.9375,0.07106586,42,65,65,65.0,11808.0,4267.814390659332,2687520.0,1.2241053427419355,65,7.9375
1.590625,1.8737990945869838,0.0,8.25,0.07518345,43,65,65,65.0,12768.0,4625.624849557877,2749920.0,1.6722005208333333,65,8.25
0.46875,1.608995707732,0.0,7.625,0.06994554,44,65,65,65.0,13760.0,4977.347648382187,2814400.0,1.4455645161290323,65,8.25
1.284375,1.7540661466646572,0.0,7.9375,0.0746339,45,65,65,65.0,14752.0,5331.3780834674835,2878880.0,1.7265625,65,8.25
2.325,1.513558513900272,0.0,7.3125,0.07051927,46,65,65,65.0,15744.0,5684.750983476639,2943360.0,1.4959677419354838,65,8.25
1.965625,1.6061983211530886,0.0,7.625,0.0695044,47,65,65,65.0,16736.0,6041.815954685211,3007840.0,1.559601814516129,65,8.25
0.925,1.9219740828117324,0.0,5.75,0.06755425,48,65,65,65.0,17696.0,6397.470151185989,3070240.0,1.4065755208333333,65,8.25
1.565625,1.5779826668487202,0.0,7.625,0.070213854,49,65,65,65.0,18688.0,6750.712341070175,3134720.0,1.6594632056451613,65,8.25
1.840625,2.0322089082756727,0.0,7.9375,0.07134849,50,65,65,65.0,19680.0,7102.112815856934,3199200.0,1.894468245967742,65,8.25
1.671875,1.4884811627545038,0.0,7.625,0.07187307,51,65,65,65.0,20672.0,7455.9816472530365,3263680.0,1.905178931451613,65,8.25
1.875,1.5649980031936144,0.0,7.3125,0.07422967,52,65,65,65.0,21632.0,7810.961307048798,3326080.0,2.0179036458333335,65,8.25
2.753125,1.5455929030229791,0.0,8.25,0.06855393,53,65,65,65.0,22624.0,8161.485703706741,3390560.0,1.7791708669354838,65,8.25
3.021875,1.8997609841437946,0.0,8.5625,0.07524107,54,65,65,65.0,23616.0,8514.480493545532,3455040.0,2.319430443548387,65,8.5625
2.18125,1.5092035358095341,0.0,7.625,0.07430443,55,65,65,65.0,24608.0,8866.392455101013,3519520.0,2.1773563508064515,65,8.5625
2.65625,1.3039153778140666,0.0,7.625,0.07685822,56,65,65,65.0,25568.0,9221.167572975159,3581920.0,2.3489583333333335,65,8.5625
2.6125,1.3592277219068187,0.0,8.25,0.075395755,57,65,65,65.0,26560.0,9571.837134361267,3646400.0,2.522303427419355,65,8.5625
1.71875,1.5171545117422944,0.0,7.3125,0.069115855,58,65,65,65.0,27552.0,9925.408555746078,3710880.0,2.023626512096774,65,8.5625
2.13125,1.58125,0.0,7.625,0.068816975,59,65,65,65.0,28544.0,10278.643415212631,3775360.0,2.0453629032258065,65,8.5625
2.9625,1.8074714728039278,0.0,7.9375,0.07029141,60,65,65,65.0,29536.0,10631.518329381943,3839840.0,2.221774193548387,65,8.5625
2.259375,1.5187982245430103,0.0,7.3125,0.06979174,61,65,65,65.0,30496.0,10985.342147111893,3902240.0,2.2093098958333335,65,8.5625
2.071875,1.458310639704381,0.0,9.1875,0.07052615,62,65,65,65.0,31488.0,11338.770967960358,3966720.0,2.3102948588709675,65,9.1875
2.340625,1.9465990976251377,0.0,7.625,0.066303946,63,65,65,65.0,32480.0,11694.00978398323,4031200.0,2.060483870967742,65,9.1875
1.93125,1.7960351298067645,0.0,8.25,0.07421119,64,65,65,65.0,33472.0,12046.81828212738,4095680.0,2.639805947580645,65,9.1875
3.371875,2.140063795047942,0.0,7.625,0.069928296,65,65,65,65.0,34432.0,12400.559434652328,4158080.0,2.43359375,65,9.1875
