eprew_recent,rew_mean,epcount,best_eplen,recent_best_ext_ret,n_updates,total_secs,recent_best_eplen,tcount,eprew,eplen,recent_worst_eplen,eprew_std,eplen_std,best_ext_ret
15.62787543,0.28570685,63968,55,23.0625,55,20358.9111,55,3518240,15.059375,55,55,1.752729456,0,23.0625
15.4416174,0.2829792,65152,55,20.5625,56,20725.75321,55,3583360,16.03125,55,55,1.660960283,0,23.0625
15.61892361,0.2878067,66304,55,22.125,57,21094.57127,55,3646720,16.028125,55,55,1.824044592,0,23.0625
15.42630912,0.28241467,67488,55,20.25,58,21461.76037,55,3711840,15.8125,55,55,1.565621881,0,23.0625
15.84977214,0.29010874,68640,55,21.1875,59,21832.60771,55,3775200,15.896875,55,55,1.710637103,0,23.0625
15.74180773,0.2932989,69792,55,20.5625,60,22201.26199,55,3838560,16.234375,55,55,1.836253297,0,23.0625
15.64458404,0.2827938,70976,55,21.1875,61,22571.57992,55,3903680,15.7,55,55,1.836755802,0,23.0625
15.42171224,0.28532374,72128,55,21.5,62,22940.54449,55,3967040,15.18125,55,55,1.925152186,0,23.0625
15.84434679,0.2922223,73280,55,20.875,63,23309.38997,55,4030400,16.26875,55,55,1.599328472,0,23.0625
15.81323902,0.28751177,74464,55,21.1875,64,23673.55077,55,4095520,15.340625,55,55,2.060744992,0,23.0625
15.82671441,0.293775,75616,55,21.8125,65,24041.28862,55,4158880,15.9875,55,55,1.511363209,0,23.0625
15.61892361,0.2858632,76768,55,20.25,66,24412.50088,55,4222240,14.9375,55,55,1.553096705,0,23.0625
16.10805532,0.29449475,77952,55,21.5,67,24780.01123,55,4287360,16.190625,55,55,1.594971958,0,23.0625
15.62679036,0.2890913,79104,55,21.5,68,25148.35061,55,4350720,15.675,55,55,1.601098256,0,23.0625
15.66094806,0.285957,80288,55,20.875,69,25515.05714,55,4415840,15.96875,55,55,1.607781371,0,23.0625
15.84217665,0.29015392,81440,55,20.875,70,25880.26498,55,4479200,15.38125,55,55,2.146117497,0,23.0625
15.73475477,0.29220048,82592,55,21.1875,71,26250.56241,55,4542560,15.709375,55,55,1.501597457,0,23.0625
16.06213049,0.29144323,83776,55,22.125,72,26618.19769,55,4607680,16.10625,55,55,1.530688673,0,23.0625
16.01199002,0.29617727,84928,55,21.1875,73,26983.54256,55,4671040,16.1625,55,55,1.474178797,0,23.0625
16.1875,0.29856592,86080,55,21.5,74,27351.24721,55,4734400,15.3,55,55,1.677470193,0,23.0625
16.02808277,0.2909054,87264,55,20.875,75,27716.30291,55,4799520,16.009375,55,55,1.55514205,0,23.0625
16.21137153,0.3012479,88416,55,21.5,76,28086.4131,55,4862880,16.159375,55,55,1.895252601,0,23.0625
15.89154731,0.29024667,89568,55,20.875,77,28452.62251,55,4926240,15.184375,55,55,1.491705583,0,23.0625
15.65197424,0.28601027,90752,55,21.1875,78,28817.06689,55,4991360,15.825,55,55,1.938870483,0,23.0625
16.26291233,0.3003379,91904,55,22.75,79,29185.53083,55,5054720,17.35625,55,55,1.649822434,0,23.0625
15.79212416,0.28893965,93088,55,20.5625,80,29552.31722,55,5119840,15.390625,55,55,1.389395524,0,23.0625
16.06434462,0.2944757,94240,55,20.25,81,29918.68178,55,5183200,15.771875,55,55,1.427311037,0,23.0625
15.87391493,0.29470438,95392,55,21.1875,82,30287.08907,55,5246560,16.628125,55,55,1.490919782,0,23.0625
