recent_best_eplen,best_ext_ret,n_updates,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen,eprew_recent,eplen_std,epcount,total_secs,tcount,recent_worst_eplen,rew_mean
55,1.5,1,-8.1875,1.5,1.953062498999968,55,55.0,-8.670084635416666,0.0,1152.0,441.79106974601746,63360.0,55,-0.12722194
55,1.5,2,-8.39375,-1.0,1.9071309439836583,55,55.0,-8.50759548611111,0.0,2304.0,871.655796289444,126720.0,55,-0.14298686
55,4.9375,3,-7.65,4.9375,2.009294807886588,55,55.0,-7.667282516891892,0.0,3488.0,1267.9199261665344,191840.0,55,-0.12856866
55,4.9375,4,-6.796875,4.0,2.3075855719506917,55,55.0,-6.779893663194445,0.0,4640.0,1645.8237204551697,255200.0,55,-0.113967896
55,6.5,5,-5.63125,6.5,2.829248740832096,55,55.0,-5.803602430555555,0.0,5792.0,2027.419290304184,318560.0,55,-0.09477737
55,7.125,6,-5.284375,7.125,2.677413849571075,55,55.0,-4.840529983108108,0.0,6976.0,2406.963563680649,383680.0,55,-0.077848636
55,7.4375,7,-3.09375,7.4375,3.39706329974877,55,55.0,-3.202419704861111,0.0,8128.0,2789.3218955993652,447040.0,55,-0.04885877
55,14.3125,8,-1.621875,14.3125,2.9736784748649274,55,55.0,-1.5593532986111112,0.0,9280.0,3169.9306721687317,510400.0,55,-0.01718512
55,14.3125,9,0.628125,11.8125,3.8061666144396518,55,55.0,0.5105046452702703,0.0,10464.0,3549.935830593109,575520.0,55,0.018463539
55,14.3125,10,2.43125,12.75,3.6943738897815965,55,55.0,2.7266710069444446,0.0,11616.0,3941.6021695137024,638880.0,55,0.059054114
55,14.625,11,3.75,14.625,3.5089172119045497,55,55.0,4.097113715277778,0.0,12768.0,4331.34744143486,702240.0,55,0.08524248
55,16.8125,12,6.034375,16.8125,2.988420033541972,55,55.0,5.990339949324325,0.0,13952.0,4718.995615720749,767360.0,55,0.11618308
55,16.8125,13,7.696875,15.25,2.9235222629347293,55,55.0,7.489854600694445,0.0,15104.0,5110.847275495529,830720.0,55,0.1460232
55,17.75,14,8.709375,17.75,2.954490425077563,55,55.0,8.765625,0.0,16288.0,5502.427706956863,895840.0,55,0.16967914
55,17.75,15,9.228125,17.75,2.8908716111019186,55,55.0,9.485297309027779,0.0,17440.0,5892.665106534958,959200.0,55,0.17958646
55,18.375,16,10.925,18.375,2.498718421511316,55,55.0,10.79660373263889,0.0,18592.0,6283.266543626785,1022560.0,55,0.20684509
55,18.375,17,12.503125,18.375,2.4879769486221135,55,55.0,11.494193412162161,0.0,19776.0,6673.752689123154,1087680.0,55,0.21556762
55,19.3125,18,11.54375,19.3125,2.573156196677535,55,55.0,12.13693576388889,0.0,20928.0,7064.378618240356,1151040.0,55,0.22775315
55,19.625,19,12.440625,19.625,2.2588778844539164,55,55.0,13.052191840277779,0.0,22080.0,7457.237192153931,1214400.0,55,0.2475938
55,19.9375,20,13.30625,19.9375,2.320753851122518,55,55.0,13.337521114864865,0.0,23264.0,7847.619156837463,1279520.0,55,0.24798587
55,20.5625,21,12.525,20.5625,1.738286692407211,55,55.0,13.688313802083334,0.0,24416.0,8238.196701526642,1342880.0,55,0.2579544
55,22.125,22,14.725,22.125,1.9579964249201274,55,55.0,14.177680121527779,0.0,25568.0,8632.914738178253,1406240.0,55,0.26843733
55,22.125,23,14.228125,20.25,2.047700215333045,55,55.0,14.331503378378379,0.0,26752.0,9023.034661769867,1471360.0,55,0.26290464
55,22.125,24,13.84375,21.5,1.927646314161392,55,55.0,14.54172092013889,0.0,27904.0,9414.602750062943,1534720.0,55,0.2743474
55,22.125,25,15.60625,20.25,1.7738442540144275,55,55.0,15.069731841216216,0.0,29088.0,9804.953152656555,1599840.0,55,0.28284556
55,22.125,26,15.75625,21.5,1.8878621341347996,55,55.0,15.353352864583334,0.0,30240.0,10196.614314556122,1663200.0,55,0.2851077
55,22.125,27,15.86875,21.8125,2.0883699534565228,55,55.0,15.8359375,0.0,31392.0,10587.948069095612,1726560.0,55,0.2971726
55,22.125,28,16.31875,21.5,1.738904558191737,55,55.0,15.961834881756756,0.0,32576.0,10979.15315079689,1791680.0,55,0.29616144
55,22.125,29,16.26875,21.1875,2.032749446562463,55,55.0,16.18939887152778,0.0,33728.0,11366.935963392258,1855040.0,55,0.29988602
55,22.125,30,16.371875,21.1875,1.6788522632664853,55,55.0,16.44900173611111,0.0,34880.0,11759.188713550568,1918400.0,55,0.31058407
55,22.4375,31,15.8875,22.4375,1.9359469582093407,55,55.0,16.322899070945947,0.0,36064.0,12146.677140712738,1983520.0,55,0.3005522
55,22.4375,32,16.878125,21.5,1.6795501397323627,55,55.0,16.75363498263889,0.0,37216.0,12536.112881183624,2046880.0,55,0.31308264
55,22.4375,33,17.240625,22.4375,1.4794523638410937,55,55.0,16.54448784722222,0.0,38368.0,12929.562088489532,2110240.0,55,0.31023082
55,22.4375,34,17.18125,21.8125,1.5157892952188308,55,55.0,17.19072001689189,0.0,39552.0,13319.9283285141,2175360.0,55,0.3154597
55,22.4375,35,17.45625,22.4375,1.6722809086693537,55,55.0,17.11469184027778,0.0,40704.0,13711.583868980408,2238720.0,55,0.32076973
55,23.0625,36,17.65,23.0625,1.689743878521239,55,55.0,17.595069679054053,0.0,41888.0,14098.921118497849,2303840.0,55,0.3288144
55,23.0625,37,17.3,22.4375,1.959213011645237,55,55.0,17.72992621527778,0.0,43040.0,14489.33806014061,2367200.0,55,0.32772067
55,23.0625,38,17.89375,22.75,1.3253979355272891,55,55.0,17.88699001736111,0.0,44192.0,14881.520598173141,2430560.0,55,0.3346785
55,23.0625,39,16.8625,23.0625,1.844396073244573,55,55.0,17.47682643581081,0.0,45376.0,15270.683061599731,2495680.0,55,0.32321563
55,23.375,40,18.325,23.375,1.33662354460783,55,55.0,17.839246961805557,0.0,46528.0,15658.502237081528,2559040.0,55,0.3302792
52,125.225,41,16.909375,125.225,1.5377381675288546,52,55.0,17.933897569444444,0.0,47680.0,16047.401294469833,2622397.0,55,0.33706206
55,125.225,42,17.4,23.0625,1.6173377043771655,52,55.0,18.031355574324323,0.0,48864.0,16435.588371276855,2687517.0,55,0.33143604
55,125.225,43,18.128125,23.0625,1.4626168489645537,52,55.0,18.324815538194443,0.0,50016.0,16827.81680369377,2750877.0,55,0.34250084
55,125.225,44,18.103125,24.3125,1.40496816578704,52,55.0,18.33380312228968,0.0,51169.0,17217.670295476913,2814292.0,55,0.34257916
55,125.225,45,18.725,23.0625,1.273436541410682,52,55.0,18.35201817413356,0.0,52352.0,17605.936119794846,2879357.0,55,0.33549452
55,125.225,46,18.98125,23.6875,1.5057312384685388,52,55.0,18.63134765625,0.0,53504.0,17996.203389167786,2942717.0,55,0.3484004
55,125.225,47,18.765625,24.0,1.233781502890605,52,55.0,18.581661739864863,0.0,54688.0,18386.39860868454,3007837.0,55,0.34650835
55,125.225,48,19.44375,23.6875,1.7327159858153327,52,55.0,18.676106770833332,0.0,55840.0,18773.46574282646,3071197.0,55,0.34513593
55,125.225,49,18.903125,23.375,1.362654091057228,52,55.0,18.81906467013889,0.0,56992.0,19165.00947546959,3134557.0,55,0.35150918
55,125.225,50,19.4375,24.0,1.4496766880929002,52,55.0,19.239917652027028,0.0,58176.0,19558.611107349396,3199677.0,55,0.3551533
55,125.225,51,18.134375,22.75,1.3763168410199014,52,55.0,18.683430989583332,0.0,59328.0,19949.527101039886,3263037.0,55,0.34507978
55,125.225,52,19.834375,24.0,1.3125409219811015,52,55.0,19.12179904513889,0.0,60480.0,20337.32715988159,3326397.0,55,0.358545
55,125.225,53,19.61875,23.375,1.3827763060235017,52,55.0,19.13355152027027,0.0,61664.0,20729.548357248306,3391517.0,55,0.3519232
55,125.225,54,18.8625,23.0625,1.3580776855541068,52,55.0,19.12424045138889,0.0,62816.0,21116.775892734528,3454877.0,55,0.35681722
55,125.225,55,19.109375,23.6875,1.8731110276422485,52,55.0,19.133076756287945,0.0,63969.0,21509.10917019844,3518292.0,55,0.35705683
55,125.225,56,18.603125,23.375,1.1674750733420394,52,55.0,18.930526204564668,0.0,65152.0,21900.8779900074,3583357.0,55,0.34632826
55,125.225,57,20.203125,23.6875,1.4411468685997968,52,55.0,19.218641493055557,0.0,66304.0,22291.75775194168,3646717.0,55,0.35828787
55,125.225,58,18.71875,24.0,2.205948987964137,52,55.0,19.35789695945946,0.0,67488.0,22682.191220521927,3711837.0,55,0.36162183
55,125.225,59,18.575,24.625,1.3350152152690993,52,55.0,19.41314019097222,0.0,68640.0,23074.458309173584,3775197.0,55,0.35822824
55,125.225,60,20.365625,24.3125,1.1855699776373387,52,55.0,19.360514322916668,0.0,69792.0,23465.496436595917,3838557.0,55,0.36090925
55,125.225,61,19.815625,24.625,2.2325254582814953,52,55.0,19.43021537162162,0.0,70976.0,23857.164135456085,3903677.0,55,0.35952944
55,125.225,62,19.559375,23.6875,1.4818531208844554,52,55.0,19.182020399305557,0.0,72128.0,24244.81063246727,3967037.0,55,0.3546607
55,125.225,63,18.83125,23.375,1.0197464452009628,52,55.0,19.225694444444443,0.0,73280.0,24635.88021159172,4030397.0,55,0.36115637
55,125.225,64,20.00625,23.6875,1.8815406752180512,52,55.0,19.564294763513512,0.0,74464.0,25022.548501729965,4095517.0,55,0.35897583
55,125.225,65,18.725,24.3125,1.4745762103058628,52,55.0,19.201280381944443,0.0,75616.0,25410.914619922638,4158877.0,55,0.35873178
55,125.225,66,19.15625,24.0,1.4879069821396766,52,55.0,19.25070468343452,0.0,76769.0,25803.351614952087,4222292.0,55,0.35986072
55,125.225,67,19.184375,23.0625,1.3877920582259433,52,55.0,19.473372781065088,0.0,77952.0,26193.13571214676,4287357.0,55,0.35546526
55,125.225,68,19.621875,23.375,1.1469175741416644,52,55.0,19.57861328125,0.0,79104.0,26583.13006711006,4350717.0,55,0.36607507
55,125.225,69,18.846875,24.3125,1.676756891107056,52,55.0,19.29903927364865,0.0,80288.0,26977.65330171585,4415837.0,55,0.35950512
55,125.225,70,19.628125,24.9375,1.0693665984474172,52,55.0,19.98822699652778,0.0,81440.0,27365.462444782257,4479197.0,55,0.36921874
55,125.225,71,19.125,23.6875,1.3050383136138188,52,55.0,19.196397569444443,0.0,82592.0,27755.163657426834,4542557.0,55,0.3571368
55,125.225,72,19.840625,23.6875,1.2245016524590728,52,55.0,19.29032939189189,0.0,83776.0,28140.64984369278,4607677.0,55,0.35751724
53,125.225,73,19.496875,125.175,1.4149694950333733,52,55.0,19.576649305555556,0.0,84928.0,28527.34697651863,4671035.0,55,0.36171043
55,125.225,74,18.890625,24.625,1.281916747248042,52,55.0,19.77446831597222,0.0,86080.0,28918.24241089821,4734395.0,55,0.37163875
55,125.225,75,18.75625,23.6875,1.668632954696748,52,55.0,19.658519847972972,0.0,87264.0,29306.0555434227,4799515.0,55,0.36040565
55,125.225,76,20.365625,24.0,1.6733521511848604,52,55.0,19.621744791666668,0.0,88416.0,29698.09423685074,4862875.0,55,0.36653313
55,125.225,77,19.296875,24.0,1.3327126647837484,52,55.0,19.9583513864818,0.0,89570.0,30089.562056303024,4926345.0,55,0.3716626
55,125.225,78,19.784375,24.625,1.6162595465688672,52,55.0,19.50259094754653,0.0,90752.0,30475.295201063156,4991355.0,55,0.3570162
55,125.225,79,19.915625,23.375,1.3421174676141427,52,55.0,19.394694010416668,0.0,91904.0,30868.76864886284,5054715.0,55,0.3624336
55,125.225,80,20.24375,24.3125,1.5637370103377357,52,55.0,19.952016469594593,0.0,93088.0,31262.91128396988,5119835.0,55,0.3722386
55,125.225,81,19.459375,24.0,1.1604274199082851,52,55.0,19.90874565972222,0.0,94240.0,31654.433329820633,5183195.0,55,0.36731523
55,125.225,82,19.753125,23.6875,1.6869761918518589,52,55.0,19.922037760416668,0.0,95392.0,32047.101182937622,5246555.0,55,0.37182435
55,125.225,83,19.878125,24.0,1.4460986037871,52,55.0,19.69415118243243,0.0,96576.0,32438.121079683304,5311675.0,55,0.36428407
55,125.225,84,20.334375,23.375,1.3988381060276418,52,55.0,19.88189019097222,0.0,97728.0,32829.820888757706,5375035.0,55,0.36791858
55,125.225,85,19.45,23.375,1.174534482252437,52,55.0,19.421278211805557,0.0,98880.0,33219.89636898041,5438395.0,55,0.36378488
55,125.225,86,18.915625,24.3125,1.449579006772311,52,55.0,19.62869510135135,0.0,100064.0,33610.25003695488,5503515.0,55,0.3612075
55,125.225,87,20.54375,24.625,1.6966303921302361,52,55.0,19.84906684027778,0.0,101216.0,34000.94607877731,5566875.0,55,0.37019074
55,125.225,88,19.7,24.3125,1.3814620877896,52,55.0,19.935604419410744,0.0,102370.0,34392.56505513191,5630345.0,55,0.37278494
55,125.225,89,20.796875,24.3125,1.26118046760763,52,55.0,19.91529187817259,0.0,103552.0,34778.96855592728,5695355.0,55,0.36391363
55,125.225,90,19.603125,24.0,1.1860640989739972,52,55.0,19.81597222222222,0.0,104704.0,35169.70485329628,5758715.0,55,0.37051922
