total_secs,eprew_std,recent_best_ext_ret,recent_best_eplen,eprew_recent,best_ext_ret,epcount,eplen,best_eplen,tcount,recent_worst_eplen,eplen_std,eprew,rew_mean,n_updates
35353.8825,1.38655919,-6.09375,100,-10.30029297,-5,31968,100,100,3196800,100,0,-9.9453125,-0.08806169,50
36032.55407,1.393528395,-6.25,100,-10.0690918,-5,32608,100,100,3260800,100,0,-9.7921875,-0.085606195,51
36707.93099,1.130173651,-5.625,100,-10.13305664,-5,33248,100,100,3324800,100,0,-10.5640625,-0.08653265,52
37384.08181,1.166896717,-5,100,-9.571533203,-5,33888,100,100,3388800,100,0,-9.5890625,-0.08095965,53
38061.35381,1.226979428,-5.15625,100,-9.706054688,-5,34528,100,100,3452800,100,0,-9.896875,-0.08251904,54
38741.59609,1.480487508,-5.46875,100,-9.598632813,-5,35168,100,100,3516800,100,0,-10.0609375,-0.081772864,55
39413.84256,1.581543328,-4.21875,100,-9.260009766,-4.21875,35808,100,100,3580800,100,0,-9.490625,-0.07840313,56
40095.25195,1.322676323,-4.21875,100,-8.799072266,-4.21875,36448,100,100,3644800,100,0,-8.74375,-0.07363452,57
40768.08415,1.165640709,-5.3125,100,-8.802001953,-4.21875,37088,100,100,3708800,100,0,-8.3796875,-0.07358947,58
41444.04477,1.30809902,-3.90625,100,-8.476074219,-3.90625,37728,100,100,3772800,100,0,-8.721875,-0.071068816,59
42115.28058,1.34490775,-4.21875,100,-8.263427734,-3.90625,38368,100,100,3836800,100,0,-8.0859375,-0.068755776,60
42792.67704,1.345938443,-4.375,100,-8.118896484,-3.90625,39008,100,100,3900800,100,0,-7.9953125,-0.067606375,61
43471.44032,1.342567612,-3.90625,100,-7.876708984,-3.90625,39648,100,100,3964800,100,0,-7.6578125,-0.06501955,62
44152.31605,1.312182811,-3.75,100,-7.662841797,-3.75,40288,100,100,4028800,100,0,-8.1703125,-0.06372357,63
44827.62721,1.345714407,-3.28125,100,-7.572509766,-3.28125,40928,100,100,4092800,100,0,-7.646875,-0.062341597,64
45506.68057,1.374659049,-3.125,100,-7.5703125,-3.125,41568,100,100,4156800,100,0,-7.3,-0.062454276,65
46178.73085,1.281821519,-4.21875,100,-7.739013672,-3.125,42208,100,100,4220800,100,0,-7.40625,-0.06413105,66
46859.53867,1.480579852,-3.125,100,-7.332763672,-3.125,42848,100,100,4284800,100,0,-6.7140625,-0.060189296,67
