best_ext_ret,eplen_std,eplen,epcount,best_eplen,rew_mean,eprew_recent,tcount,recent_best_eplen,recent_worst_eplen,n_updates,eprew_std,total_secs,eprew,recent_best_ext_ret
9.0625,0.0,50.0,48608.0,50,0.08865524,4.10888671875,2430400.0,50,50,38,1.237953673153806,14196.597059726715,4.334375,8.125
9.0625,0.0,50.0,49888.0,50,0.08815436,4.046875,2494400.0,50,50,39,1.0822204820991885,14568.05978679657,4.490625,8.4375
9.6875,0.0,50.0,51168.0,50,0.09426201,4.41552734375,2558400.0,50,50,40,1.0071763980927075,14937.469130277634,4.296875,9.6875
9.6875,0.0,50.0,52448.0,50,0.096045956,4.504150390625,2622400.0,50,50,41,1.4800232261691029,15308.336624860764,4.4875,9.0625
9.6875,0.0,50.0,53728.0,50,0.10067198,4.686767578125,2686400.0,50,50,42,1.1836244323580853,15679.0163834095,4.128125,8.75
9.6875,0.0,50.0,55008.0,50,0.09747557,4.596435546875,2750400.0,50,50,43,1.5527036651837336,16050.603804588318,4.234375,9.375
9.6875,0.0,50.0,56288.0,50,0.09810814,4.552001953125,2814400.0,50,50,44,1.4234194908300926,16420.361442565918,4.359375,9.6875
9.6875,0.0,50.0,57568.0,50,0.10016722,4.701904296875,2878400.0,50,50,45,1.0825137123842818,16791.834257364273,4.36875,8.75
9.6875,0.0,50.0,58848.0,50,0.10280135,4.825439453125,2942400.0,50,50,46,1.1110946179331445,17167.86003112793,4.775,8.125
9.6875,0.0,50.0,60128.0,50,0.10188655,4.774658203125,3006400.0,50,50,47,1.0335391260131375,17536.110009670258,4.9875,9.375
9.6875,0.0,50.0,61408.0,50,0.10420408,4.89501953125,3070400.0,50,50,48,1.003236948581939,17905.03479409218,5.175,9.0625
9.6875,0.0,50.0,62688.0,50,0.105362765,4.923095703125,3134400.0,50,50,49,1.002263064270055,18276.68087530136,5.175,9.375
10.0,0.0,50.0,63968.0,50,0.10430078,4.901123046875,3198400.0,50,50,50,1.2688077265192703,18651.47374677658,4.865625,10.0
10.0,0.0,50.0,65248.0,50,0.108275205,5.06494140625,3262400.0,50,50,51,1.0798717733485768,19022.800421714783,4.896875,9.375
10.3125,0.0,50.0,66528.0,50,0.106766984,5.033203125,3326400.0,50,50,52,1.3179759280332095,19393.689975738525,4.546875,10.3125
10.3125,0.0,50.0,67808.0,50,0.109195165,5.15234375,3390400.0,50,50,53,0.9943738214952164,19766.167382001877,5.021875,9.375
10.3125,0.0,50.0,69088.0,50,0.10927709,5.140625,3454400.0,50,50,54,1.4452069218195018,20136.0574259758,5.046875,9.375
10.3125,0.0,50.0,70368.0,50,0.113447815,5.33251953125,3518400.0,50,50,55,1.4473170221136764,20505.32892203331,5.15625,10.3125
10.3125,0.0,50.0,71648.0,50,0.11212451,5.31494140625,3582400.0,50,50,56,1.1787299507838935,20873.90134358406,5.046875,9.0625
10.3125,0.0,50.0,72928.0,50,0.112879544,5.30908203125,3646400.0,50,50,57,1.1306282821953464,21248.283352136612,5.53125,9.375
10.3125,0.0,50.0,74208.0,50,0.11350892,5.335693359375,3710400.0,50,50,58,1.0499023392082714,21618.84732723236,5.109375,10.3125
10.625,0.0,50.0,75488.0,50,0.11482776,5.435791015625,3774400.0,50,50,59,1.3971091805939861,21993.398060321808,4.94375,10.625
10.9375,0.0,50.0,76768.0,50,0.11589807,5.46142578125,3838400.0,50,50,60,1.3818578979041225,22366.93286728859,5.6,10.9375
10.9375,0.0,50.0,78048.0,50,0.113272965,5.33935546875,3902400.0,50,50,61,1.2295634070168973,22741.090681552887,5.103125,10.3125
10.9375,0.0,50.0,79328.0,50,0.11649387,5.491943359375,3966400.0,50,50,62,1.232292547196079,23114.329218149185,5.465625,10.3125
10.9375,0.0,50.0,80608.0,50,0.117259435,5.54443359375,4030400.0,50,50,63,1.035389419493941,23484.773753404617,5.2125,10.3125
10.9375,0.0,50.0,81888.0,50,0.11694133,5.51318359375,4094400.0,50,50,64,1.3311876452532903,23852.931003808975,5.378125,10.625
11.5625,0.0,50.0,83168.0,50,0.122131236,5.755859375,4158400.0,50,50,65,1.2406328715115522,24222.75270318985,5.728125,11.5625
11.5625,0.0,50.0,84448.0,50,0.11818467,5.584716796875,4222400.0,50,50,66,1.3340639274412602,24595.251679182053,5.41875,10.625
11.5625,0.0,50.0,85728.0,50,0.12217875,5.773681640625,4286400.0,50,50,67,1.3966477723463422,24967.31847000122,5.2625,11.25
11.5625,0.0,50.0,87008.0,50,0.12407531,5.852783203125,4350400.0,50,50,68,1.2963101179405336,25337.63718008995,6.078125,10.3125
11.5625,0.0,50.0,88288.0,50,0.12742484,6.031494140625,4414400.0,50,50,69,1.1282029058972505,25712.85154080391,5.684375,11.5625
