rew_mean,eplen_std,eprew_recent,recent_worst_eplen,best_eplen,recent_best_ext_ret,eprew,n_updates,total_secs,epcount,eplen,best_ext_ret,eprew_std,tcount,recent_best_eplen
0.20339772,0,13.29427083,75,75,18.125,13.715625,85,21855.12974,46912,75,19.375,1.373504158,5438400,75
0.20086512,0,12.69639757,75,75,18.4375,12.603125,86,22252.21111,47776,75,19.375,1.566279803,5503200,75
0.20741497,0,13.17495493,75,75,17.5,13.56875,87,22649.40164,48608,75,19.375,1.267980062,5565600,75
0.20947877,0,13.69285301,75,75,17.8125,13.95625,88,23046.10501,49472,75,19.375,1.358005776,5630400,75
0.20662989,0,13.18576389,75,75,17.8125,11.715625,89,23443.54467,50336,75,19.375,1.330600634,5695200,75
0.21457951,0,13.92052284,75,75,18.4375,14.159375,90,23843.07303,51168,75,19.375,1.045540194,5757600,75
0.2076303,0,13.52105035,75,75,18.4375,14.1,91,24236.10792,52032,75,19.375,1.620956508,5822400,75
0.21291378,0,13.77965856,75,75,18.75,13.578125,92,24633.82242,52896,75,19.375,1.59795707,5887200,75
0.2148185,0,13.92578125,75,75,19.6875,13.821875,93,25035.46787,53728,75,19.6875,1.067867874,5949600,75
0.20712136,0,13.63823785,75,75,19.0625,13.5,94,25430.28295,54592,75,19.6875,2.231696384,6014400,75
0.21084051,0,13.56915509,75,75,18.125,15.16875,95,25826.55578,55456,75,19.6875,1.233817121,6079200,75
0.21464399,0,14.00127704,75,75,18.4375,12.6,96,26226.01279,56288,75,19.6875,1.131819608,6141600,75
0.20641819,0,13.61762153,75,75,17.8125,13.39375,97,26621.86772,57152,75,19.6875,1.290757408,6206400,75
0.21424808,0,13.92144097,75,75,18.75,14.409375,98,27021.7713,58016,75,19.6875,1.364229837,6271200,75
0.21586233,0,14.10719651,75,75,17.8125,14.0375,99,27422.77088,58848,75,19.6875,1.353294591,6333600,75
0.20924003,0,13.79412616,75,75,18.4375,14.28125,100,27819.6975,59712,75,19.6875,1.194469678,6398400,75
0.21325329,0,13.90805845,75,75,18.4375,13.74375,101,28213.28244,60576,75,19.6875,1.911611313,6463200,75
0.20765564,0,13.37327224,75,75,18.75,14.609375,102,28610.61301,61408,75,19.6875,1.654406403,6525600,75
0.20714301,0,13.72721354,75,75,17.8125,13.946875,103,29006.52299,62272,75,19.6875,1.402881382,6590400,75
0.21633323,0,14.15726273,75,75,19.0625,14.215625,104,29398.89939,63136,75,19.6875,1.31361188,6655200,75
0.21378286,0,13.99676983,75,75,18.125,14.5375,105,29797.85649,63968,75,19.6875,1.468071652,6717600,75
0.2104777,0,14.01548032,75,75,18.75,13.63125,106,30192.34247,64832,75,19.6875,1.574193742,6782400,75
0.21426237,0,13.99594907,75,75,18.4375,14.18125,107,30587.10646,65696,75,19.6875,1.305621859,6847200,75
0.21110572,0,13.75976563,75,75,18.125,14.5125,108,30989.26621,66528,75,19.6875,1.382310114,6909600,75
0.21011668,0,14.06647859,75,75,18.4375,13.75625,109,31385.88055,67392,75,19.6875,1.494116064,6974400,75
0.20784466,0,13.48307292,75,75,18.125,12,110,31781.23742,68256,75,19.6875,1.456397525,7039200,75
0.21955703,0,14.46664663,75,75,19.0625,13.815625,111,32178.40063,69088,75,19.6875,2.017644337,7101600,75
0.20710586,0,13.88310185,75,75,20.3125,14.05,112,32576.36623,69952,75,20.3125,1.471022179,7166400,75
0.20871155,0,13.58253762,75,75,18.125,13.8625,113,32970.56855,70816,75,20.3125,1.240211675,7231200,75
0.21484695,0,14.16541466,75,75,18.75,14.371875,114,33366.13169,71648,75,20.3125,1.909830142,7293600,75
0.20843484,0,13.88708044,75,75,18.4375,13.253125,115,33757.91855,72512,75,20.3125,1.575009301,7358400,75
0.20877355,0,13.70515046,75,75,18.125,14.865625,116,34153.80353,73376,75,20.3125,1.46392492,7423200,75
0.2125547,0,13.89723558,75,75,19.0625,14.865625,117,34552.50292,74208,75,20.3125,1.500816835,7485600,75
0.20087668,0,13.39662905,75,75,17.8125,13.46875,118,34945.0354,75072,75,20.3125,1.988001116,7550400,75
0.20874968,0,13.62521701,75,75,18.75,13.6,119,35339.5919,75936,75,20.3125,1.177158921,7615200,75
0.21062134,0,13.73685397,75,75,19.375,15.775,120,35735.31585,76768,75,20.3125,1.621679299,7677600,75
0.21043442,0,14.03320313,75,75,18.125,14.64375,121,36130.75458,77632,75,20.3125,1.309535342,7742400,75
