recent_best_eplen,best_eplen,rew_mean,n_updates,tcount,epcount,eprew_recent,recent_best_ext_ret,eprew,eplen_std,best_ext_ret,eprew_std,recent_worst_eplen,eplen,total_secs
105,105,0.035126828,80,5117280,48736,3.345960115,7.28125,2.4828125,0,8.6875,1.597620148,105,105,50510.74758
105,105,0.03383391,81,5181120,49344,3.27785773,7.28125,4.1546875,0,8.6875,1.385347253,105,105,51115.60097
105,105,0.032291703,82,5244960,49952,3.065583882,7.75,3.4515625,0,8.6875,1.293858502,105,105,51721.29055
105,105,0.037082534,83,5308800,50560,3.55001028,7.28125,3.4453125,0,8.6875,0.994951858,105,105,52330.0093
105,105,0.03509251,84,5372640,51168,3.125205592,6.34375,3.0625,0,8.6875,1.118470636,105,105,52936.78
105,105,0.035626836,85,5439840,51808,3.405273438,6.96875,3.2734375,0,8.6875,0.988551408,105,105,53545.17994
105,105,0.0373202,86,5503680,52416,3.624280428,7.28125,3.54375,0,8.6875,1.127748379,105,105,54149.85073
105,105,0.031996157,87,5567520,53024,3.052477385,7.125,3.315625,0,8.6875,1.284823523,105,105,54756.60005
105,105,0.03017421,88,5631360,53632,2.855879934,6.65625,2.7296875,0,8.6875,1.3994026,105,105,55362.32497
105,105,0.03628719,89,5695200,54240,3.508377878,6.65625,3.23125,0,8.6875,1.432682144,105,105,55964.77191
105,105,0.038052566,90,5759040,54848,3.385022615,7.59375,3.2421875,0,8.6875,1.245965168,105,105,56570.2995
105,105,0.034154516,91,5822880,55456,3.289936266,7.125,2.7953125,0,8.6875,0.938097466,105,105,57179.69489
105,105,0.03363999,92,5886720,56064,3.23776727,7.59375,3.1203125,0,8.6875,1.227861573,105,105,57786.77273
105,105,0.038160987,93,5950560,56672,3.697265625,6.96875,4.190625,0,8.6875,0.895839995,105,105,58392.6154
105,105,0.035814006,94,6014400,57280,3.440018503,7.4375,3.5296875,0,8.6875,1.0749489,105,105,59001.17394
105,105,0.0344485,95,6078240,57888,2.989771793,6.03125,3.2984375,0,8.6875,1.09942612,105,105,59610.48854
105,105,0.034802604,96,6142080,58496,3.333367599,6.8125,2.93125,0,8.6875,1.175872349,105,105,60216.46391
105,105,0.037136637,97,6205920,59104,3.634560033,7.59375,3.2578125,0,8.6875,1.238693987,105,105,60818.34057
105,105,0.035893578,98,6269760,59712,3.463918586,7.4375,3.6390625,0,8.6875,1.265083796,105,105,61426.51744
105,105,0.034133438,99,6333600,60320,3.280941612,7.28125,3.4703125,0,8.6875,0.875807384,105,105,62033.51964
105,105,0.041907318,100,6397440,60928,3.684416118,7.4375,4.7234375,0,8.6875,1.23855207,105,105,62637.93117
105,105,0.036607217,101,6461280,61536,3.569284539,7.28125,4.1578125,0,8.6875,0.834291604,105,105,63245.25813
105,105,0.034533516,102,6525120,62144,3.389905428,6.96875,3.7890625,0,8.6875,1.565680357,105,105,63853.47026
105,105,0.036398776,103,6588960,62752,3.521484375,6.8125,3.1203125,0,8.6875,0.887096904,105,105,64461.48005
105,105,0.03410984,104,6652800,63360,3.182514391,6.34375,3.771875,0,8.6875,1.122919082,105,105,65067.86764
105,105,0.035970878,105,6716640,63968,3.144222862,6.8125,3.4421875,0,8.6875,1.060028145,105,105,65674.4407
