epcount,recent_best_eplen,best_eplen,n_updates,tcount,eprew,eplen_std,recent_worst_eplen,eprew_recent,best_ext_ret,recent_best_ext_ret,eplen,total_secs,eprew_std,rew_mean
512.0,120,120,1,61440.0,-23.5984375,0.0,120,-23.68841552734375,-19.3125,-19.3125,120.0,644.5706543922424,0.7102950393806434,-0.17023313
1056.0,120,120,2,126720.0,-23.565625,0.0,120,-23.609087775735293,-19.3125,-20.5625,120.0,1283.4684100151062,0.6531100476757342,-0.18611991
1568.0,120,120,3,188160.0,-23.6953125,0.0,120,-23.6575927734375,-19.3125,-20.25,120.0,1925.3272714614868,0.658617381693461,-0.18819873
2112.0,120,120,4,253440.0,-23.5703125,0.0,120,-23.572035845588236,-19.3125,-19.3125,120.0,2558.545162677765,0.6204423667583879,-0.18828636
2656.0,120,120,5,318720.0,-23.546875,0.0,120,-23.507697610294116,-19.3125,-19.625,120.0,3197.534703731537,0.7835902448824896,-0.18778342
3168.0,120,120,6,380160.0,-23.2578125,0.0,120,-23.298095703125,-18.53125,-18.53125,120.0,3846.196258544922,0.7989785348923649,-0.18588208
3712.0,120,120,7,445440.0,-23.0984375,0.0,120,-23.20151654411765,-18.53125,-19.46875,120.0,4476.5545217990875,0.9940877472430439,-0.1852198
4256.0,120,120,8,510720.0,-23.221875,0.0,120,-23.225643382352942,-18.53125,-19.46875,120.0,5115.9360518455505,0.9684929094345502,-0.18548284
