epcount,eprew_recent,tcount,eplen,recent_best_eplen,eprew,eprew_std,n_updates,best_ext_ret,best_eplen,total_secs,eplen_std,rew_mean,recent_worst_eplen,recent_best_ext_ret,,
46112,-9.691145833,3135616,68,68,-9.59375,1.284964129,49,-4.225,68,17948.01545,0,-0.13310644,68,-4.225,,
47040,-9.711260776,3198720,68,68,-9.721875,1.042172273,50,-4.225,68,18310.93415,0,-0.13267902,68,-6.1,,
47968,-9.577909483,3261824,68,68,-9.359375,1.125221332,51,-4.225,68,18677.69795,0,-0.13121194,68,-5.7875,,
48928,-9.605859375,3327104,68,68,-9.834375,1.082869993,52,-4.225,68,19043.90331,0,-0.13165423,68,-5.7875,,
49856,-9.512917565,3390208,68,68,-9.5,1.145030021,53,-4.225,68,19411.04383,0,-0.12936333,68,-6.1,,
50816,-9.415755208,3455488,68,68,-9.25625,1.200179023,54,-4.225,68,19777.3218,0,-0.12941939,68,-6.1,,
51744,-9.479916487,3518592,68,68,-9.6375,1.068804823,55,-4.225,68,20145.85577,0,-0.12870236,68,-4.5375,,
52704,-9.313541667,3583872,68,68,-9.678125,1.168745822,56,-4.225,68,20512.89373,0,-0.12736137,68,-4.85,,
53632,-9.306155711,3646976,68,68,-9.040625,1.124214135,57,-4.225,68,20879.12539,0,-0.12704326,68,-5.475,,
54560,-9.394719828,3710080,68,68,-9.571875,1.066989595,58,-4.225,68,21244.01031,0,-0.12750654,68,-4.5375,,
55520,-9.338606771,3775360,68,68,-9.6125,1.069024088,59,-4.225,68,21610.87619,0,-0.12785815,68,-5.475,,
56448,-9.185264009,3838464,68,68,-9.365625,1.133108797,60,-4.225,68,21977.05369,0,-0.12473842,68,-5.475,,
57408,-9.223372396,3903744,68,68,-9.128125,1.183129292,61,-4.225,68,22347.36488,0,-0.12551796,68,-5.475,,
58336,-9.22028556,3966848,68,68,-9.340625,0.930867161,62,-4.225,68,22712.99668,0,-0.12525633,68,-5.475,,
59264,-9.120945582,4029952,68,68,-9.390625,1.052763291,63,-4.225,68,23081.49605,0,-0.123340435,68,-5.7875,,
60224,-8.98671875,4095232,68,68,-9.325,1.066975867,64,-4.225,68,23447.17057,0,-0.122787535,68,-4.85,,
61152,-9.232745151,4158336,68,68,-9.2875,1.069827673,65,-4.225,68,23813.60644,0,-0.12522873,68,-4.225,,
62112,-9.178125,4223616,68,68,-8.975,1.143083822,66,-4.225,68,24179.29166,0,-0.12486369,68,-5.475,,
63040,-9.026656789,4286720,68,68,-9.209375,1.116613708,67,-4.225,68,24545.53611,0,-0.121974684,68,-4.85,,
63968,-8.933714978,4349824,68,68,-9.409375,1.044044681,68,-4.225,68,24914.0714,0,-0.12124377,68,-4.225,,
64928,-8.929752604,4415104,68,68,-9.028125,1.252852215,69,-4.225,68,25274.38368,0,-0.12110757,68,-4.5375,,
65856,-8.95627694,4478208,68,68,-8.509375,1.154386167,70,-4.225,68,25640.29843,0,-0.12070932,68,-4.5375,,
66816,-8.991927083,4543488,68,68,-9.075,1.063859424,71,-4.225,68,26004.09074,0,-0.12253116,68,-4.5375,,
67744,-8.782179418,4606592,68,68,-9.125,1.150645199,72,-4.225,68,26370.94105,0,-0.11853593,68,-5.475,,
68704,-8.857161458,4671872,68,68,-9.140625,1.00570152,73,-4.225,68,26736.80237,0,-0.11983788,68,-4.85,,
69632,-8.733014547,4734976,68,68,-8.9375,1.232439147,74,-4.225,68,27103.80702,0,-0.11826428,68,-4.5375,,
70560,-8.834711746,4798080,68,68,-8.9375,1.134232946,75,-4.225,68,27474.02121,0,-0.1186679,68,-4.5375,,
71520,-8.703190104,4863360,68,68,-8.4125,0.950945253,76,-4.225,68,27841.58513,0,-0.11798982,68,-4.5375,,
72448,-8.853232759,4926464,68,68,-8.790625,1.154047734,77,-4.225,68,28209.51656,0,-0.119421,68,-4.85,,
73408,-8.733463542,4991744,68,68,-8.759375,0.977775497,78,-4.225,68,28574.67879,0,-0.118182205,68,-4.225,,
74336,-8.687553879,5054848,68,68,-8.796875,1.052948798,79,-4.225,68,28939.58509,0,-0.11677842,68,-5.475,,
75264,-8.651858836,5117952,68,68,-8.434375,1.02264879,80,-4.225,68,29303.31488,0,-0.11641592,68,-4.85,,
76224,-8.641015625,5183232,68,68,-8.734375,1.038567786,81,-4.225,68,29665.50138,0,-0.1171102,68,-4.85,,
77152,-8.637715517,5246336,68,68,-8.725,1.106620701,82,-4.225,68,30032.15655,0,-0.11582864,68,-4.85,,
78112,-8.5765625,5311616,68,68,-8.55,1.114289291,83,-4.225,68,30396.26419,0,-0.11556882,68,-4.5375,,
79040,-8.717860991,5374720,68,68,-8.978125,1.261892645,84,-4.225,68,30759.67311,0,-0.117174834,68,-4.85,,
79968,-8.717860991,5437824,68,68,-8.559375,1.237164569,85,-4.225,68,31127.79899,0,-0.11688475,68,-4.5375,,
80928,-8.718489583,5503104,68,68,-8.890625,1.115633753,86,-4.225,68,31495.65417,0,-0.117603086,68,-5.7875,,
81856,-8.694625539,5566208,68,68,-8.553125,1.147666621,87,-4.225,68,31861.85621,0,-0.11621407,68,-4.85,,
82816,-8.562890625,5631488,68,68,-8.3125,1.223691904,88,-4.225,68,32227.76073,0,-0.115490936,68,-4.225,,
83744,-8.361247306,5694592,68,68,-8.73125,1.07272652,89,-4.225,68,32594.62683,0,-0.11130731,68,-4.225,,
84704,-8.548893229,5759872,68,68,-8.696875,1.104584728,90,-3.9125,68,32961.68762,0,-0.11469615,68,-3.9125,,
85632,-8.506384698,5822976,68,68,-8.284375,1.166336914,91,-3.9125,68,33326.17389,0,-0.11415486,68,-4.5375,,
86560,-8.388523707,5886080,68,68,-8.34375,1.217852233,92,-3.9125,68,33694.15406,0,-0.11091721,68,-4.85,,
87520,-8.446354167,5951360,68,68,-8.8625,1.157279947,93,-3.9125,68,34056.65837,0,-0.113987885,68,-4.85,,
88448,-8.394585129,6014464,68,68,-8.334375,1.037739995,94,-3.9125,68,34422.92564,0,-0.111506596,68,-4.225,,
89408,-8.566145833,6079744,68,68,-8.79375,1.185672937,95,-3.9125,68,34792.0404,0,-0.11532759,68,-4.225,,
90336,-8.401656789,6142848,68,68,-8.4875,1.114113998,96,-3.9125,68,35158.9808,0,-0.11234068,68,-5.1625,,
91264,-8.495608836,6205952,68,68,-8.34375,1.155303667,97,-3.9125,68,35527.12056,0,-0.11306368,68,-4.5375,,
92224,-8.408268229,6271232,68,68,-8.13125,1.197735494,98,-3.9125,68,35890.69492,0,-0.112269856,68,-4.5375,,
93152,-8.432637392,6334336,68,68,-8.303125,1.128791354,99,-3.9125,68,36256.97785,0,-0.11256949,68,-4.5375,,
94112,-8.315820312,6399616,68,68,-8.203125,1.176640311,100,-3.9125,68,36622.79691,0,-0.1111503,68,-4.5375,,
95040,-8.518170797,6462720,68,68,-8.371875,1.028742216,101,-3.9125,68,36987.63785,0,-0.11355304,68,-4.85,,
95968,-8.347440733,6525824,68,68,-8.415625,1.1345902,102,-3.9125,68,37352.40971,0,-0.11113622,68,-4.225,,
96928,-8.364322917,6591104,68,68,-8.565625,1.135278566,103,-3.9125,68,37716.73978,0,-0.11172627,68,-4.5375,,
97856,-8.445096983,6654208,68,68,-8.740625,1.186162899,104,-3.9125,68,38084.16254,0,-0.111803845,68,-4.85,,
98816,-8.265690104,6719488,68,68,-8.165625,1.094994827,105,-3.9125,68,38452.66468,0,-0.11094714,68,-4.225,,
99744,-8.248774246,6782592,68,68,-8.51875,1.214029319,106,-3.9125,68,38820.08849,0,-0.10952296,68,-4.85,,
100704,-8.358789062,6847872,68,68,-8.28125,1.091497681,107,-3.9125,68,39188.95045,0,-0.110954754,68,-4.225,,
101632,-8.202976832,6910976,68,68,-8.015625,1.358318555,108,-3.9125,68,39552.79963,0,-0.109325364,68,-4.5375,,
102560,-8.347777478,6974080,68,68,-8.41875,1.111182506,109,-3.9125,68,39917.28927,0,-0.11021936,68,-4.85,,
103520,-8.288476562,7039360,68,68,-8.175,1.282027203,110,-3.9125,68,40280.05964,0,-0.11056238,68,-4.225,,
104448,-8.208701509,7102464,68,68,-8.121875,1.151133103,111,-3.9125,68,40645.87613,0,-0.10888771,68,-4.225,,
105408,-8.331770833,7167744,68,68,-8.203125,1.129206545,112,-3.9125,68,41011.59395,0,-0.11111463,68,-4.5375,,
106336,-8.088820043,7230848,68,68,-7.859375,1.230833527,113,-3.6,68,41374.65769,0,-0.10725951,68,-3.6,,
107264,-8.165934806,7293952,68,68,-8.0375,1.15329013,114,-3.6,68,41739.82602,0,-0.10779665,68,-4.5375,,
108224,-8.270898437,7359232,68,68,-7.821875,1.234667687,115,-3.6,68,42102.12275,0,-0.11058438,68,-3.6,,
109152,-8.117780172,7422336,68,68,-8.259375,1.175178677,116,-3.6,68,42468.11367,0,-0.10671486,68,-4.225,,
110112,-8.072330729,7487616,68,68,-7.953125,1.150963421,117,-2.975,68,42832.73896,0,-0.10748987,68,-2.975,,
111040,-8.2875,7550720,68,68,-8.703125,1.036497068,118,-2.975,68,43195.33834,0,-0.109182954,68,-3.6,,
111968,-7.993184267,7613824,68,68,-8.39375,1.213707517,119,-2.975,68,43560.42018,0,-0.10614658,68,-3.9125,,
112928,-8.212955729,7679104,68,68,-8.246875,1.04363304,120,-2.975,68,43923.13771,0,-0.10832564,68,-3.6,,
113856,-8.222171336,7742208,68,68,-7.9875,1.050409146,121,-2.975,68,44286.49849,0,-0.10882695,68,-4.5375,,
114816,-8.147851562,7807488,68,68,-7.796875,1.120873508,122,-2.975,68,44653.26785,0,-0.10831863,68,-3.2875,,
115744,-8.29221444,7870592,68,68,-7.925,1.143698769,123,-2.975,68,45015.68922,0,-0.109235294,68,-3.6,,
116704,-8.093489583,7935872,68,68,-8.115625,1.078351425,124,-2.975,68,45381.21168,0,-0.106832385,68,-4.5375,,
117632,-8.243049569,7998976,68,68,-8.4,1.109722657,125,-2.975,68,45743.36161,0,-0.10926083,68,-4.5375,,
118560,-8.088146552,8062080,68,68,-8.146875,1.140839021,126,-2.975,68,46108.48828,0,-0.10616529,68,-4.225,,
119520,-8.16640625,8127360,68,68,-8.325,1.00124922,127,-2.975,68,46468.84389,0,-0.108706705,68,-4.5375,,
120448,-8.065921336,8190464,68,68,-7.54375,1.3417718,128,-2.975,68,46832.39585,0,-0.10595202,68,-4.5375,,
121408,-8.138411458,8255744,68,68,-8.35,0.96217527,129,-2.975,68,47198.734,0,-0.1076727,68,-4.5375,,
122336,-8.035277478,8318848,68,68,-7.91875,1.115743166,130,-2.975,68,47563.11418,0,-0.10577724,68,-4.5375,,
123264,-8.028542565,8381952,68,68,-7.825,1.022672663,131,-2.975,68,47933.42688,0,-0.10533468,68,-3.2875,,
124224,-8.14296875,8447232,68,68,-7.715625,1.180120988,132,-2.975,68,48298.0151,0,-0.108270094,68,-3.9125,,
125152,-8.116769935,8510336,68,68,-7.69375,1.427615473,133,-2.975,68,48662.20921,0,-0.10647274,68,-3.6,,
126112,-8.1,8575616,68,68,-8.25625,1.229916791,134,-2.975,68,49027.09169,0,-0.10694073,68,-4.225,,
127040,-7.949744073,8638720,68,68,-8.40625,1.233310459,135,-2.975,68,49391.11518,0,-0.104141384,68,-3.6,,
127968,-7.96018319,8701824,68,68,-7.5,1.156233108,136,-2.975,68,49760.47844,0,-0.1039813,68,-4.225,,
128928,-8.082421875,8767104,68,68,-8.159375,1.117243224,137,-2.975,68,50122.71357,0,-0.10684738,68,-4.85,,
129856,-8.043696121,8830208,68,68,-8.1,1.194878393,138,-2.975,68,50490.38623,0,-0.10548392,68,-4.5375,,
130816,-7.967513021,8895488,68,68,-7.584375,1.120106545,139,-2.975,68,50854.49018,0,-0.104831375,68,-4.225,,
131744,-8.050094289,8958592,68,68,-8.146875,1.054542814,140,-2.975,68,51217.01896,0,-0.10488301,68,-3.9125,,
132672,,9023104,,,-7.875,1.116180709,,-2.975,,,,,,,928,131744
133600,,9086208,,,-8.065625,1.096242695,,-2.975,,,,,,,1856,131744
