tcount,best_eplen,recent_worst_eplen,eplen,eprew_std,recent_best_eplen,eplen_std,eprew_recent,best_ext_ret,rew_mean,total_secs,eprew,epcount,recent_best_ext_ret,n_updates
3199680,90,90,90,1.006880625,90,0,-11.96866508,-8.625,-0.12575237,32636.64865,-11.925,35552,-8.625,50
3263040,90,90,90,1.082183259,90,0,-11.97105824,-8.625,-0.12564254,33263.98264,-11.9109375,36256,-8.9375,51
3326400,90,90,90,0.920157298,90,0,-11.85364879,-8.625,-0.123676114,33898.639,-12.040625,36960,-8.625,52
3389760,90,90,90,0.993606269,90,0,-12.00790128,-8.625,-0.12486389,34530.87388,-12.2359375,37664,-8.9375,53
3453120,90,90,90,0.800811356,90,0,-11.90846946,-8.625,-0.124887176,35168.7269,-12.090625,38368,-8.9375,54
3519360,90,90,90,1.157105891,90,0,-11.90582541,-8.625,-0.12501699,35799.35073,-11.7765625,39104,-9.09375,55
3582720,90,90,90,0.923831346,90,0,-11.68386009,-8.625,-0.12192549,36427.43275,-11.8453125,39808,-8.625,56
3646080,90,90,90,0.898235032,90,0,-11.84854403,-8.625,-0.1234129,37061.58201,-11.934375,40512,-9.09375,57
3709440,90,90,90,0.825905043,90,0,-11.66876776,-8.625,-0.12149623,37699.93151,-11.753125,41216,-8.78125,58
3775680,90,90,90,0.940495215,90,0,-11.70923913,-8.625,-0.12261984,38335.74419,-11.85,41952,-8.625,59
3839040,90,90,90,0.981542303,90,0,-11.75621449,-8.625,-0.12307765,38966.96681,-11.4234375,42656,-8.625,60
3902400,90,90,90,1.027640463,90,0,-11.57710405,-8.625,-0.12036918,39599.33627,-11.809375,43360,-8.625,61
3965760,90,90,90,0.940235592,90,0,-11.55690696,-7.53125,-0.12027076,40238.16198,-11.65,44064,-7.53125,62
4029120,90,90,90,0.840903764,90,0,-11.46724077,-7.53125,-0.11899337,40873.92651,-11.659375,44768,-8.625,63
4095360,90,90,90,0.873451476,90,0,-11.5381284,-7.53125,-0.1213006,41502.52175,-11.5109375,45504,-8.625,64
4158720,90,90,90,0.952580531,90,0,-11.61394709,-7.53125,-0.12087982,42136.5563,-11.4921875,46208,-8.78125,65
4222080,90,90,90,0.775118124,90,0,-11.30033736,-7.53125,-0.11737375,42775.55748,-11.2078125,46912,-8.78125,66
4285440,90,90,90,0.986850805,90,0,-11.45525568,-7.53125,-0.118810065,43412.772,-11.4390625,47616,-7.84375,67
4351680,90,90,90,0.950606303,90,0,-11.36043648,-7.53125,-0.118615225,44052.3872,-11.26875,48352,-8.78125,68
4415040,90,90,90,0.940988302,90,0,-11.42041016,-7.53125,-0.118993096,44686.5453,-11.196875,49056,-8.78125,69
4478400,90,90,90,1.002403118,90,0,-11.39865945,-7.53125,-0.11830089,45319.33548,-11.1609375,49760,-8.15625,70
4541760,90,90,90,0.853615644,90,0,-11.38467685,-7.53125,-0.11838806,45953.06042,-11.4046875,50464,-8.625,71
4605120,90,90,90,1.313946376,90,0,-11.21644176,-7.53125,-0.11642781,46589.02669,-11.340625,51168,-8.78125,72
4671360,90,90,90,0.826064654,90,0,-11.35088315,-7.53125,-0.11863068,47224.50031,-11.5375,51904,-8.625,73
4734720,90,90,90,1.025676225,90,0,-11.32919034,-7.53125,-0.11770051,47858.35336,-11.49375,52608,-8.625,74
4798080,90,90,90,0.825998153,90,0,-11.30433239,-7.53125,-0.11697571,48498.03426,-11.2359375,53312,-7.84375,75
4861440,90,90,90,0.833268227,90,0,-11.32874645,-7.53125,-0.117272146,49137.52428,-11.09375,54016,-8.78125,76
4927680,90,90,90,0.716155303,90,0,-11.33029042,-7.53125,-0.118382215,49769.56985,-11.1484375,54752,-8.9375,77
4991040,90,90,90,0.905833687,90,0,-11.06063565,-7.53125,-0.11503614,50399.41872,-10.6515625,55456,-7.84375,78
5054400,90,90,90,1.067492864,90,0,-11.14275568,-7.53125,-0.11532085,51033.94197,-11.221875,56160,-7.84375,79
5117760,90,90,90,0.792352362,90,0,-11.27969638,-7.53125,-0.116606385,51669.35742,-11.378125,56864,-8.78125,80
5181120,90,90,90,0.962696561,90,0,-11.16872337,-7.53125,-0.11579563,52305.45953,-11.3328125,57568,-8.46875,81
5247360,90,90,90,0.734115646,90,0,-11.14453125,-7.53125,-0.11620786,52935.41105,-11.4625,58304,-8.9375,82
5310720,90,90,90,0.800780869,90,0,-11.02090732,-7.53125,-0.11424184,53565.762,-10.83125,59008,-7.84375,83
5374080,90,90,90,0.84296694,90,0,-11.16672585,-7.53125,-0.1153759,54200.18439,-11.2359375,59712,-8.46875,84
5437440,90,90,90,0.779176937,90,0,-11.06107955,-7.53125,-0.11379589,54834.14232,-10.8203125,60416,-7.84375,85
5503680,90,90,90,0.970391754,90,0,-11.16024117,-7.53125,-0.11622889,55466.07603,-11.225,61152,-8.46875,86
5567040,90,90,90,0.889665053,90,0,-11.24928977,-7.53125,-0.1165935,56101.0917,-11.78125,61856,-8.625,87
5630400,90,90,90,1.080924807,90,0,-11.05197976,-7.53125,-0.11461398,56732.93655,-11.33125,62560,-7.6875,88
5693760,90,90,90,0.954051803,90,0,-11.1360973,-7.53125,-0.11430365,57369.79365,-11.31875,63264,-8.625,89
5757120,90,90,90,0.830533055,90,0,-10.98428622,-7.53125,-0.11355275,58003.79762,-10.825,63968,-8.46875,90
5823360,90,90,90,0.842151263,90,0,-11.04878567,-7.53125,-0.115169555,58632.48069,-11.2,64704,-8,91
5886720,90,90,90,0.978908432,90,0,-11.07594993,-7.53125,-0.11427434,59260.50251,-10.9125,65408,-8.3125,92
5950080,90,90,90,1.062586164,90,0,-11.07373047,-7.53125,-0.11411862,59897.50668,-10.9765625,66112,-8.15625,93
6013440,90,90,90,0.918924038,90,0,-10.976962,-7.53125,-0.113074176,60540.39762,-11.1484375,66816,-7.84375,94
6079680,90,90,90,0.851725902,90,0,-10.95134171,-7.53125,-0.11350339,61172.18654,-11.1734375,67552,-7.84375,95
6143040,90,90,90,0.916657641,90,0,-10.90860263,-7.53125,-0.112979755,61807.09149,-11.0046875,68256,-8.15625,96
6206400,90,90,90,0.865849193,90,0,-11.20223722,-7.53125,-0.11559858,62439.3599,-11.3359375,68960,-8,97
6269760,90,90,90,0.859930218,90,0,-11.02112926,-7.21875,-0.11279705,63071.69453,-10.8953125,69664,-7.21875,98
6333120,90,90,90,0.92689839,90,0,-10.78342507,-7.21875,-0.11122284,63705.08967,-11.025,70368,-7.6875,99
6399360,90,90,90,0.877912285,90,0,-10.90930707,-7.21875,-0.113604456,64329.73641,-11.0515625,71104,-7.84375,100
6462720,90,90,90,1.026594606,90,0,-10.91526101,-7.21875,-0.112381235,64961.16546,-11.096875,71808,-7.6875,101
6526080,90,90,90,0.78187475,90,0,-10.96120384,-7.21875,-0.112773634,65596.33097,-10.78125,72512,-7.84375,102
6589440,90,90,90,0.863422288,90,0,-11.02689986,-7.21875,-0.113022506,66230.83808,-10.715625,73216,-8.625,103
6655680,90,90,90,0.897276424,90,0,-11.04453974,-7.21875,-0.11461603,66866.46579,-11.2453125,73952,-7.6875,104
6719040,90,90,90,0.984472961,90,0,-10.98894709,-7.21875,-0.11339325,67494.80948,-11.0640625,74656,-7.53125,105
6782400,90,90,90,0.88461652,90,0,-10.96941584,-7.21875,-0.113133326,68128.90694,-11.4171875,75360,-8.625,106
6845760,90,90,90,1.009433048,90,0,-10.96608665,-7.21875,-0.11208634,68763.51653,-11.446875,76064,-7.53125,107
6909120,90,90,90,0.846031349,90,0,-10.97096946,-7.21875,-0.1134413,69397.28269,-10.7953125,76768,-8,108
6975360,90,90,90,0.954546839,90,0,-10.9131284,-7.21875,-0.11278503,70025.35997,-11.2296875,77504,-8.15625,109
7038720,90,90,90,0.908155325,90,0,-10.83269709,-7.21875,-0.11145317,70660.48847,-10.76875,78208,-7.84375,110
7102080,90,90,90,0.86948457,90,0,-11.01558061,-7.21875,-0.112700544,71289.78851,-11.2484375,78912,-8.78125,111
7165440,90,90,90,1.010805874,90,0,-11.01780007,-7.21875,-0.11315438,71923.42827,-10.828125,79616,-8.15625,112
7231680,90,90,90,0.858520882,90,0,-11.0078125,-7.21875,-0.11373877,72555.8753,-11.2046875,80352,-8.46875,113
7295040,90,90,90,0.905790562,90,0,-10.97252308,-7.21875,-0.113143645,73185.84803,-11.0796875,81056,-8.15625,114
7358400,90,90,90,1.149994693,90,0,-10.90660511,-7.21875,-0.112197526,73817.48212,-10.6515625,81760,-7.53125,115
7421760,90,90,90,0.983039769,90,0,-11.12255859,-7.21875,-0.11368351,74449.33805,-10.5375,82464,-8.625,116
7485120,90,90,90,0.850199597,90,0,-10.84357244,-7.21875,-0.11160548,75084.58316,-10.6640625,83168,-8,117
7551360,90,90,90,0.843894664,90,0,-10.86642323,-7.21875,-0.112103045,75709.07321,-11.046875,83904,-7.84375,118
7614720,90,90,90,1.100136488,90,0,-10.85466974,-7.21875,-0.11134275,76336.63202,-10.8609375,84608,-8,119
7678080,90,90,90,0.693825657,90,0,-10.87531072,-7.21875,-0.11100591,76965.80195,-10.7515625,85312,-8.46875,120
7741440,90,90,90,0.757918807,90,0,-10.79296875,-7.21875,-0.11045338,77597.02028,-11.0421875,86016,-7.84375,121
7807680,90,90,90,0.774035438,90,0,-10.7621858,-7.21875,-0.11087069,78221.91233,-10.365625,86752,-7.375,122
7871040,90,90,90,0.818869266,90,0,-10.7681108,-7.21875,-0.110957064,78850.63531,-10.83125,87456,-8,123
7934400,90,90,90,0.83440426,90,0,-10.90371982,-7.21875,-0.11129475,79486.97238,-11.23125,88160,-8,124
7997760,90,90,90,0.937208288,90,0,-10.95876243,-7.21875,-0.11198731,80120.18858,-10.91875,88864,-7.6875,125
8061120,90,90,90,0.755067516,90,0,-10.79141513,-7.21875,-0.111319214,80756.8362,-10.853125,89568,-7.6875,126
8127360,90,90,90,0.940521174,90,0,-10.92140795,-7.21875,-0.11240338,81379.76854,-10.853125,90304,-7.84375,127
8190720,90,90,90,0.90896549,90,0,-10.78142756,-7.21875,-0.11051809,82010.23546,-10.8265625,91008,-8,128
8254080,90,90,90,0.805104564,90,0,-10.95343572,-7.21875,-0.11183079,82642.16947,-11.296875,91712,-7.84375,129
8317440,90,90,90,0.940718434,90,0,-10.726163,-7.21875,-0.108968735,83277.78248,-10.371875,92416,-8,130
8383680,90,90,90,0.924877262,90,0,-10.74817425,-7.21875,-0.11071561,83908.46946,-11.0109375,93152,-8,131
