recent_best_ext_ret,n_updates,total_secs,best_ext_ret,eplen_std,eplen,eprew,eprew_recent,best_eplen,rew_mean,tcount,eprew_std,epcount,recent_best_eplen,recent_worst_eplen
14.4375,31,361.9224503040314,14.4375,0.0,70.0,8.2125,8.4755859375,70,0.15041088,1982720.0,2.000332003693387,896.0,70,70
16.9375,32,717.7693445682526,16.9375,0.0,70.0,9.025,9.438846982758621,70,0.17309694,2047680.0,2.051523823892864,1824.0,70,70
16.0,33,1071.2401058673859,16.9375,0.0,70.0,9.934375,9.980538504464286,70,0.18790574,2110400.0,1.8900929003292404,2720.0,70,70
17.25,34,1423.8202884197235,17.25,0.0,70.0,9.865625,10.140625,70,0.19466203,2175360.0,1.766471036240051,3648.0,70,70
17.25,35,1777.0691514015198,17.25,0.0,70.0,10.671875,10.42626953125,70,0.20046522,2238080.0,1.766316236373034,4544.0,70,70
16.625,36,2129.255247592926,17.25,0.0,70.0,10.55,10.621497844827585,70,0.2053385,2303040.0,2.0113544876525373,5472.0,70,70
16.625,37,2486.0822565555573,17.25,0.0,70.0,11.55625,11.274832589285714,70,0.21821617,2365760.0,2.137637057009445,6368.0,70,70
17.25,38,2838.512342453003,17.25,0.0,70.0,11.2125,11.514547413793103,70,0.21768485,2430720.0,1.8322629451036767,7296.0,70,70
18.1875,39,3191.5284416675568,18.1875,0.0,70.0,11.553125,11.555630387931034,70,0.21902086,2495680.0,1.6086041843396406,8224.0,70,70
18.1875,40,3544.051357269287,18.1875,0.0,70.0,11.378125,11.691266741071429,70,0.22386688,2558400.0,1.3060070049103871,9120.0,70,70
17.25,41,3899.010000228882,18.1875,0.0,70.0,11.24375,11.681910021551724,70,0.22451001,2623360.0,1.848024705597845,10048.0,70,70
16.3125,42,4253.061819314957,18.1875,0.0,70.0,11.628125,11.666155133928571,70,0.22368123,2686080.0,2.0398830963746426,10944.0,70,70
17.25,43,4605.060703039169,18.1875,0.0,70.0,13.15,11.803811961206897,70,0.2244852,2751040.0,1.6365455233509394,11872.0,70,70
16.625,44,4959.164231538773,18.1875,0.0,70.0,11.625,11.672084263392858,70,0.226819,2813760.0,1.5562374497485916,12768.0,70,70
17.25,45,5309.253983974457,18.1875,0.0,70.0,11.25,11.846915409482758,70,0.22604966,2878720.0,1.7196020615247005,13696.0,70,70
17.875,46,5662.537873506546,18.1875,0.0,70.0,12.478125,12.312634698275861,70,0.23137997,2943680.0,1.853446430808023,14624.0,70,70
17.25,47,6013.855159521103,18.1875,0.0,70.0,12.765625,12.17919921875,70,0.23066632,3006400.0,2.2349212618960426,15520.0,70,70
16.625,48,6366.728546142578,18.1875,0.0,70.0,11.540625,12.039870689655173,70,0.22913052,3071360.0,1.2860846285820386,16448.0,70,70
17.5625,49,6718.734977006912,18.1875,0.0,70.0,12.609375,11.966099330357142,70,0.22664653,3134080.0,2.165683621140216,17344.0,70,70
16.625,50,7069.457022428513,18.1875,0.0,70.0,11.81875,11.939857219827585,70,0.224834,3199040.0,1.9866645256560052,18272.0,70,70
16.9375,51,7421.720269918442,18.1875,0.0,70.0,12.509375,12.205357142857142,70,0.23207556,3261760.0,1.7019376595148838,19168.0,70,70
16.9375,52,7775.711285829544,18.1875,0.0,70.0,13.475,12.305563038793103,70,0.23012705,3326720.0,1.5566641015325047,20096.0,70,70
18.5,53,8129.933068752289,18.5,0.0,70.0,13.1,12.722117456896552,70,0.23413819,3391680.0,1.6214384046272006,21024.0,70,70
17.25,54,8481.393201589584,18.5,0.0,70.0,12.01875,12.336146763392858,70,0.23089768,3454400.0,1.4754633806028534,21920.0,70,70
18.5,55,8835.66998052597,18.5,0.0,70.0,11.93125,12.615032327586206,70,0.23313539,3519360.0,2.17675037326286,22848.0,70,70
17.5625,56,9192.077484607697,18.5,0.0,70.0,12.51875,12.5478515625,70,0.23071213,3582080.0,1.4537263540639276,23744.0,70,70
17.25,57,9544.206250190735,18.5,0.0,70.0,12.146875,12.449353448275861,70,0.22852683,3647040.0,1.673001956626172,24672.0,70,70
17.875,58,9900.735390424728,18.5,0.0,70.0,12.665625,12.554827008928571,70,0.23322155,3709760.0,1.930458474527489,25568.0,70,70
17.25,59,10249.092110157013,18.5,0.0,70.0,12.403125,12.430158943965518,70,0.22845757,3774720.0,1.5177948385322044,26496.0,70,70
17.875,60,10603.44992518425,18.5,0.0,70.0,13.471875,13.173693426724139,70,0.2360791,3839680.0,1.6898681300252396,27424.0,70,70
17.875,61,10958.752974033356,18.5,0.0,70.0,12.3875,12.537737165178571,70,0.23006271,3902400.0,1.3275329562764155,28320.0,70,70
16.625,62,11312.339653730392,18.5,0.0,70.0,12.2125,12.307246767241379,70,0.22701275,3967360.0,1.7646042403326587,29248.0,70,70
17.5625,63,11667.562093019485,18.5,0.0,70.0,13.4375,12.673758370535714,70,0.22968824,4030080.0,1.9054814024282682,30144.0,70,70
17.5625,64,12016.423066616058,18.5,0.0,70.0,12.36875,12.828529094827585,70,0.23040538,4095040.0,1.752108105254924,31072.0,70,70
18.5,65,12370.70062160492,18.5,0.0,70.0,12.259375,12.683523995535714,70,0.23184884,4157760.0,1.8835508147844064,31968.0,70,70
17.5625,66,12720.67307806015,18.5,0.0,70.0,13.446875,12.892847521551724,70,0.23192072,4222720.0,1.7309538329704233,32896.0,70,70
18.8125,67,13075.614729642868,18.8125,0.0,70.0,12.88125,12.71807650862069,70,0.2285766,4287680.0,1.9916721147066347,33824.0,70,70
18.8125,68,13429.110525608063,18.8125,0.0,70.0,12.759375,12.674107142857142,70,0.2297058,4350400.0,1.8417123273939935,34720.0,70,70
18.1875,69,13781.671266555786,18.8125,0.0,70.0,12.671875,12.507947198275861,70,0.22742432,4415360.0,1.365288860232515,35648.0,70,70
18.5,70,14137.51080417633,18.8125,0.0,70.0,13.6125,13.008579799107142,70,0.23234175,4478080.0,1.5325377238423854,36544.0,70,70
18.5,71,14490.120658397675,18.8125,0.0,70.0,12.615625,12.723127693965518,70,0.22822796,4543040.0,1.5606582895928887,37472.0,70,70
18.8125,72,14841.747745037079,18.8125,0.0,70.0,12.440625,12.758510044642858,70,0.23138924,4605760.0,1.7627299273782702,38368.0,70,70
18.1875,73,15192.991962432861,18.8125,0.0,70.0,13.009375,12.814049030172415,70,0.22903836,4670720.0,1.6130903715771783,39296.0,70,70
17.875,74,15547.209223508835,18.8125,0.0,70.0,11.928125,12.62042025862069,70,0.22494724,4735680.0,1.9928852944600202,40224.0,70,70
17.5625,75,15900.086294412613,18.8125,0.0,70.0,12.4125,12.702706473214286,70,0.228684,4798400.0,1.4317002566878307,41120.0,70,70
18.5,76,16253.32020354271,18.8125,0.0,70.0,13.428125,12.626481681034482,70,0.22761713,4863360.0,1.6422491960342072,42048.0,70,70
17.25,77,16607.604684591293,18.8125,0.0,70.0,13.053125,12.983816964285714,70,0.23116037,4926080.0,1.417148738444557,42944.0,70,70
18.5,78,16960.704895734787,18.8125,0.0,70.0,12.8375,12.830886314655173,70,0.22731757,4991040.0,1.4545725317081992,43872.0,70,70
18.5,79,17314.803913354874,18.8125,0.0,70.0,13.4125,13.228306361607142,70,0.23471859,5053760.0,1.757839583124695,44768.0,70,70
17.5625,80,17664.82679796219,18.8125,0.0,70.0,12.509375,12.734913793103448,70,0.2267879,5118720.0,1.3643443652080658,45696.0,70,70
18.5,81,18019.49622654915,18.8125,0.0,70.0,12.609375,12.888469827586206,70,0.22736111,5183680.0,2.0871514491945713,46624.0,70,70
18.1875,82,18371.353598833084,18.8125,0.0,70.0,13.30625,13.3095703125,70,0.23466861,5246400.0,1.4393873479713513,47520.0,70,70
