best_eplen,eplen_std,tcount,eprew_std,epcount,eprew_recent,eplen,recent_best_ext_ret,recent_best_eplen,recent_worst_eplen,total_secs,eprew,best_ext_ret,n_updates,rew_mean
105,0.0,63840.0,0.3795170656571322,608.0,-20.800832648026315,105.0,-17.71875,105,105,657.985924243927,-20.846875,-17.71875,1,-0.16990216
105,0.0,127680.0,0.4715825873786584,1216.0,-20.783871299342106,105.0,-18.5,105,105,1305.2093749046326,-20.7703125,-17.71875,2,-0.18694638
105,0.0,191520.0,0.6138935040990416,1824.0,-20.755345394736842,105.0,-17.71875,105,105,1954.336936712265,-20.696875,-17.71875,3,-0.18800037
105,0.0,255360.0,0.5541921203427562,2432.0,-20.74583675986842,105.0,-18.5,105,105,2598.197676181793,-20.6875,-17.71875,4,-0.18845244
105,0.0,319200.0,0.5388790448699967,3040.0,-20.735557154605264,105.0,-17.71875,105,105,3245.947756290436,-20.7125,-17.71875,5,-0.18847726
105,0.0,383040.0,0.49485635542043915,3648.0,-20.752518503289473,105.0,-17.71875,105,105,3896.4420404434204,-20.74375,-17.71875,6,-0.1887552
105,0.0,446880.0,0.6844820121814743,4256.0,-20.605006167763158,105.0,-17.5625,105,105,4541.201289653778,-20.5875,-17.5625,7,-0.18742241
105,0.0,510720.0,0.6527043352228863,4864.0,-20.554122121710527,105.0,-17.5625,105,105,5191.935359954834,-20.5328125,-17.5625,8,-0.18688093
