best_eplen,eprew_std,eplen_std,eprew,tcount,recent_worst_eplen,epcount,best_ext_ret,recent_best_ext_ret,recent_best_eplen,n_updates,rew_mean,eprew_recent,eplen,total_secs
102,20.115491443163897,7.599335497265533,-77.50199999999997,229074.0,250,922.0,79.5,79.5,102,1,-0.28796977,-76.78275488069414,249.01,199.21102142333984
102,23.97751603064838,12.214331745945008,-75.49499999999998,489530.0,250,1969.0,79.5,66.8,134,2,-0.28715378,-76.82215854823305,248.01,395.7993631362915
102,26.1802420729832,10.920164833920778,-74.36499999999997,748926.0,250,3012.0,79.5,75.7,112,3,-0.28705293,-76.47919463087248,247.7,592.4709613323212
98,29.283488504616383,14.572779419177385,-72.99899999999998,1009331.0,250,4063.0,81.2,81.2,98,4,-0.2854689,-74.82987630827782,246.79,784.8577768802643
70,29.473894533977013,12.696026937589574,-71.87099999999997,1266685.0,250,5107.0,92.4,92.4,70,5,-0.2748115,-71.47365900383141,247.47,976.2958705425262
70,19.838347612641535,7.037975561196556,-76.64199999999997,1522307.0,250,6146.0,92.4,75.2,113,6,-0.26879913,-69.24051973051009,248.87,1168.8150017261505
70,36.82163282636988,17.587777005636614,-67.06599999999997,1777987.0,250,7192.0,92.4,82.9,94,7,-0.26273033,-66.80391969407265,245.49,1358.115389585495
70,48.283030756156975,24.291973983190417,-55.92899999999999,2032461.0,250,8247.0,92.4,88.0,81,8,-0.24261239,-60.94872037914691,240.2,1546.291324853897
70,51.13892109734033,32.03759510325331,-54.59299999999998,2288829.0,250,9323.0,92.4,84.9,89,9,-0.22018602,-54.63280669144981,236.85,1735.9653022289276
55,52.103908529015364,30.343465523898228,-52.75399999999998,2544979.0,250,10431.0,98.2,98.2,55,10,-0.18025555,-43.523646209386285,236.79,1920.966587305069
55,62.149705582568934,42.32239478101398,-35.836,2801629.0,250,11553.0,98.2,96.3,60,11,-0.16194397,-39.06515151515152,225.07,2114.0036573410034
55,58.89632131126698,37.37817009967181,-41.74400000000001,3057747.0,250,12671.0,98.2,91.5,72,12,-0.16002347,-38.43953488372093,229.82,2303.6626164913177
53,62.5043334497697,39.33345141225214,-26.330000000000005,3314141.0,250,13849.0,99.0,99.0,53,13,-0.09438701,-22.276485568760616,223.86,2495.138774394989
53,64.56723066695675,49.83036825069628,2.5179999999999967,3568595.0,250,15071.0,99.0,96.3,60,14,-0.031562034,-7.72504091653028,201.88,2686.8249146938324
50,67.28278445486632,59.376776604999364,9.153999999999998,3827320.0,250,16399.0,100.2,100.2,50,15,0.056166038,8.615135542168673,190.28,2878.60684466362
50,60.640425097454596,56.196035447351626,20.962000000000003,4083154.0,250,17816.0,100.2,97.6,57,16,0.14215142,24.301905434015527,185.84,3068.4405233860016
45,53.82613353195639,59.44420829651951,40.242999999999995,4339859.0,250,19364.0,102.2,102.2,45,17,0.2289089,36.546834625322994,162.69,3258.6874272823334
37,50.64823219027492,57.18537837594502,49.07599999999999,4595985.0,250,20972.0,105.6,105.6,37,18,0.27336466,42.374315920398004,148.15,3451.784450531006
37,50.85726963768307,58.030712558092894,49.30500000000001,4853345.0,250,22755.0,105.6,103.9,41,19,0.39827368,55.93813796971397,147.58,3645.2033231258392
35,38.8944672029326,49.2767693746252,60.661,5111461.0,250,24687.0,106.2,106.2,35,20,0.48863652,63.18819875776398,134.2,3839.0594124794006
35,34.060831625196705,48.48412008070271,65.94300000000001,5367636.0,250,26839.0,106.2,104.0,41,21,0.60750276,71.39572490706318,125.99,4032.646476984024
35,14.086923013916133,35.209764270724676,78.24,5623397.0,250,29192.0,106.2,105.1,38,22,0.7084605,76.28946026349341,105.35,4223.524387598038
35,11.944488729116873,29.873238860224046,82.21700000000001,5880651.0,250,31845.0,106.3,106.3,35,23,0.85396034,81.35016961929891,95.36,4415.210139989853
35,12.90262279538544,32.224666018439976,84.97499999999998,6137269.0,250,34710.0,106.3,106.1,36,24,0.9534432,84.42485165794066,88.47,4607.878451824188
32,10.856231574538192,27.171181424443066,84.89399999999998,6393717.0,228,37776.0,107.6,107.6,32,25,1.0509576,86.90039138943247,88.63,4802.56650519371
28,8.861866846212484,22.211249402048505,90.346,6650059.0,250,41050.0,109.0,109.0,28,26,1.145799,88.9757788637752,75.02,4995.136132955551
28,10.447089355413784,26.13383056499755,89.88199999999999,6906561.0,199,44553.0,109.0,106.9,34,27,1.2553254,91.06728518412788,76.23,5186.241801977158
28,7.407135141200005,18.54485373358334,92.44300000000001,7162733.0,235,48223.0,109.0,108.5,30,28,1.3352627,92.43386920980926,69.78,5378.922120094299
28,6.901346173030303,17.245068860401805,94.26100000000001,7419489.0,232,52129.0,109.0,108.4,30,29,1.4431627,94.0621095750128,65.26,5572.740288972855
19,5.9271081481612935,14.822533521635227,95.833,7675415.0,171,56185.0,112.6,112.6,19,30,1.5159837,95.11718441814595,61.35,5767.71617269516
19,6.604155055720604,16.581347954855783,95.84400000000001,7931847.0,175,60470.0,112.6,109.9,26,31,1.6233537,96.41600933488914,61.33,5961.909785985947
19,7.1048244876281075,17.781777189021348,96.287,8188225.0,250,64923.0,112.6,109.3,28,32,1.701418,97.30074107343366,60.22,6155.088490486145
19,6.155895060833965,15.4,98.76599999999999,8444404.0,195,69616.0,112.6,111.0,23,33,1.814678,98.51698274025142,54.0,6350.95481801033
19,5.156404173452659,12.897224507621786,99.53599999999999,8699590.0,221,74425.0,112.6,110.0,26,34,1.872844,99.12778124350177,52.04,6539.3332352638245
