value_loss,clipfrac,serial_timesteps,curbestrew,explained_variance,time_elapsed,nupdates,policy_loss,epbestrew,eprewmean,policy_entropy,approxkl,eplenmean,epbestlen,fps,total_timesteps,curbestlen
20.168783,0.013430595,2048,-277.0,0.007110416889190674,249.91574835777283,1,-5.7166213e-05,-277.0,-287.54,2.0778875,0.0014624908,3000.0,3000,1048,262144,3000
19.807173,0.01615715,4096,-275.0,0.015075981616973877,491.15966987609863,2,-0.0004643537,-275.0,-287.28,2.0786653,0.0017988903,3000.0,3000,1086,524288,3000
19.388554,0.010345459,6144,-279.0,0.016816020011901855,739.5526266098022,3,-0.00037661896,-275.0,-287.18,2.0784075,0.0011941425,3000.0,3000,1055,786432,3000
19.260708,9.536743e-07,8192,-281.0,0.020634174346923828,985.4317173957825,4,-9.9540106e-05,-275.0,-287.26,2.076401,0.0005468755,3000.0,3000,1066,1048576,3000
18.364826,0.003162384,10240,-275.0,0.02250581979751587,1233.9788427352905,5,-0.0001787586,-275.0,-286.66,2.0732775,0.0008732042,3000.0,3000,1054,1310720,3000
18.00282,0.0038805008,12288,-279.0,0.01984351873397827,1483.3756499290466,6,-0.00015155999,-275.0,-287.18,2.072407,0.00070485123,3000.0,3000,1051,1572864,3000
17.815048,0.0058021545,14336,-277.0,0.00846409797668457,1730.977695465088,7,-0.0001841991,-275.0,-287.04,2.073339,0.0009152342,3000.0,3000,1058,1835008,3000
17.864393,0.030828476,16384,-279.0,0.014652073383331299,1977.404697418213,8,-0.0008499895,-275.0,-287.18,2.071905,0.0019781855,3000.0,3000,1063,2097152,3000
17.363922,0.01439476,18432,-281.0,0.012561380863189697,2223.480189561844,9,-0.00029498473,-275.0,-287.9,2.0712664,0.0007704967,3000.0,3000,1065,2359296,3000
17.233915,0.009170532,20480,-281.0,0.004079997539520264,2468.8222482204437,10,-0.0003615453,-275.0,-287.42,2.068703,0.0011849317,3000.0,3000,1068,2621440,3000
17.046963,0.011429787,22528,-279.0,-0.03692018985748291,2713.709728240967,11,-0.00030688767,-275.0,-287.44,2.0677686,0.0009914433,3000.0,3000,1070,2883584,3000
17.068468,0.006825447,24576,-275.0,-0.00511777400970459,2961.580663204193,12,-8.430481e-05,-275.0,-287.32,2.0668063,0.000646459,3000.0,3000,1057,3145728,3000
16.522497,0.019285202,26624,-277.0,0.000452578067779541,3210.6535832881927,13,-0.0002930671,-275.0,-287.4,2.068508,0.00094688655,3000.0,3000,1052,3407872,3000
16.343996,0.008283615,28672,-271.0,-0.004902958869934082,3459.4906470775604,14,-0.00029180344,-271.0,-287.42,2.069883,0.00093882706,3000.0,3000,1053,3670016,3000
16.55456,0.0030374527,30720,-271.0,0.010645925998687744,3705.0674362182617,15,-0.00010767972,-271.0,-287.16,2.0700984,0.0005713889,3000.0,3000,1067,3932160,3000
16.084873,0.017395973,32768,-279.0,0.023033499717712402,3949.979439496994,16,-0.00030191278,-271.0,-287.12,2.0705788,0.0010755768,3000.0,3000,1070,4194304,3000
15.953353,0.0034599304,34816,-269.0,0.027286052703857422,4194.643859386444,17,-0.00017085699,-269.0,-287.28,2.0740755,0.0006549345,3000.0,3000,1071,4456448,3000
15.548051,0.004655838,36864,-277.0,0.012060046195983887,4441.599549770355,18,-0.000117978205,-269.0,-287.24,2.0736637,0.0007119232,3000.0,3000,1061,4718592,3000
15.729108,0.041737556,38912,-281.0,0.043793439865112305,4690.28911447525,19,-0.00042947248,-269.0,-287.42,2.075174,0.0016433414,3000.0,3000,1054,4980736,3000
15.156037,0.010957718,40960,-275.0,0.050557076930999756,4939.507089138031,20,-0.00011155666,-269.0,-287.2,2.075619,0.0010780271,3000.0,3000,1051,5242880,3000
14.865733,0.0027132034,43008,-279.0,0.05632913112640381,5182.828550577164,21,-5.867726e-05,-269.0,-287.06,2.0753121,0.00032673398,3000.0,3000,1077,5505024,3000
15.162314,0.017148018,45056,-281.0,0.020035624504089355,5431.897034168243,22,-0.00013224546,-269.0,-286.9,2.0737462,0.0009142485,3000.0,3000,1052,5767168,3000
15.138851,0.007364273,47104,-281.0,0.07918739318847656,5675.496034383774,23,-0.00013873084,-269.0,-287.16,2.0743034,0.0012964617,3000.0,3000,1076,6029312,3000
14.421202,0.014204979,49152,-275.0,0.07999229431152344,5921.038016319275,24,-0.00025097016,-269.0,-287.02,2.0727513,0.0013673998,3000.0,3000,1067,6291456,3000
14.532031,0.006362915,51200,-279.0,0.0832558274269104,6161.880227327347,25,-1.8624301e-05,-269.0,-287.88,2.0752418,0.0007512623,3000.0,3000,1088,6553600,3000
14.513142,0.013715744,53248,-277.0,0.10253429412841797,6407.026650428772,26,-0.00021631923,-269.0,-287.38,2.0743392,0.0013482772,3000.0,3000,1069,6815744,3000
14.212316,0.012389183,55296,-277.0,0.12525272369384766,6652.267628908157,27,-0.00022557116,-269.0,-287.1,2.068617,0.0011882001,3000.0,3000,1068,7077888,3000
14.016241,0.007566452,57344,-275.0,0.13952070474624634,6895.668796777725,28,-0.00017100286,-269.0,-287.36,2.070643,0.0009912931,3000.0,3000,1077,7340032,3000
13.756451,0.0018205643,59392,-275.0,0.13053417205810547,7143.2103390693665,29,-0.00012809993,-269.0,-287.36,2.073138,0.0010328267,3000.0,3000,1059,7602176,3000
13.820826,0.024122238,61440,-275.0,0.16375339031219482,7388.265018701553,30,-0.0001700357,-269.0,-287.2,2.0742507,0.0010307241,3000.0,3000,1069,7864320,3000
13.263755,0.011572838,63488,-275.0,0.173570454120636,7635.237536907196,31,-0.00022910995,-269.0,-287.28,2.0726619,0.0010122911,3000.0,3000,1061,8126464,3000
13.165846,0.008299828,65536,-277.0,0.18267977237701416,7880.165490865707,32,-0.00010331351,-269.0,-287.52,2.073036,0.000735649,3000.0,3000,1070,8388608,3000
13.355626,0.0122795105,67584,-273.0,0.13948273658752441,8126.016987323761,33,-0.00023556559,-269.0,-286.96,2.0736022,0.0011700377,3000.0,3000,1066,8650752,3000
13.4143715,0.021453857,69632,-275.0,0.20184862613677979,8371.472135305405,34,-0.0002524483,-269.0,-287.14,2.0710125,0.0012725635,3000.0,3000,1068,8912896,3000
12.8776865,0.0015220642,71680,-277.0,0.22756129503250122,8617.651917696,35,-7.047425e-05,-269.0,-287.32,2.0673044,0.0005441846,3000.0,3000,1064,9175040,3000
12.78987,0.00073337555,73728,-273.0,0.22338783740997314,8861.49480009079,36,-0.00011003839,-269.0,-287.5,2.069728,0.0004761997,3000.0,3000,1075,9437184,3000
12.874739,0.0058841705,75776,-275.0,0.16280478239059448,9107.738092899323,37,-0.0001050292,-269.0,-286.68,2.0716784,0.0007134024,3000.0,3000,1064,9699328,3000
12.706195,0.005982399,77824,-271.0,0.26727837324142456,9351.823768377304,38,-6.1414576e-05,-269.0,-286.96,2.0714707,0.0006474277,3000.0,3000,1073,9961472,3000
12.493216,0.004714012,79872,-281.0,0.28210514783859253,9598.18278336525,39,-5.7618377e-05,-269.0,-287.58,2.0695162,0.0006801433,3000.0,3000,1064,10223616,3000
12.218366,0.008184433,81920,-279.0,0.26602065563201904,9843.99302816391,40,-0.0001489555,-269.0,-286.92,2.0665898,0.00063515647,3000.0,3000,1066,10485760,3000
11.990757,0.031309128,83968,-281.0,0.2936531901359558,10091.806319952011,41,-0.00029091752,-269.0,-287.14,2.0628011,0.0013163127,3000.0,3000,1057,10747904,3000
11.713172,0.023116112,86016,-277.0,0.3396379351615906,10340.416800498962,42,-0.00028800685,-269.0,-288.14,2.058847,0.00119296,3000.0,3000,1054,11010048,3000
11.541025,0.009882927,88064,-277.0,0.32703733444213867,10588.99868106842,43,-0.00014839484,-269.0,-287.94,2.0554717,0.0007479947,3000.0,3000,1054,11272192,3000
11.426002,0.011517525,90112,-279.0,0.3068404197692871,10835.638703584671,44,-0.00025138262,-269.0,-287.54,2.0508904,0.0008439997,3000.0,3000,1062,11534336,3000
11.81896,0.04328537,92160,-259.0,0.34237557649612427,11081.609149456024,45,-0.00016771496,-259.0,-288.12,2.04493,0.0012054619,3000.0,3000,1065,11796480,3000
11.234619,0.027744293,94208,-281.0,0.35817092657089233,11328.367759943008,46,-0.00033223804,-259.0,-288.54,2.0300999,0.0013719737,3000.0,3000,1062,12058624,3000
11.432141,0.019862175,96256,-273.0,0.3482586741447449,11574.486676216125,47,-0.0005161287,-259.0,-288.74,2.0233154,0.0014418652,3000.0,3000,1065,12320768,3000
11.612339,0.017525673,98304,-273.0,0.3040379285812378,11821.443280696869,48,-9.206302e-05,-259.0,-288.9,2.019412,0.0010804194,3000.0,3000,1061,12582912,3000
11.433875,0.03780651,100352,-273.0,0.3874250650405884,12065.242966651917,49,-0.0004053407,-259.0,-289.44,2.0017083,0.0013646111,3000.0,3000,1075,12845056,3000
10.875099,0.025366783,102400,-287.0,0.40218585729599,12313.193011283875,50,-0.00043704957,-259.0,-289.32,1.987122,0.0014869785,3000.0,3000,1057,13107200,3000
11.228914,0.027881622,104448,-283.0,0.38472431898117065,12554.161713123322,51,-0.00025985917,-259.0,-289.58,1.9754748,0.0012291035,3000.0,3000,1087,13369344,3000
11.926363,0.022055626,106496,-281.0,0.37821871042251587,12797.08210015297,52,-2.2512624e-05,-259.0,-289.64,1.9762286,0.0011061588,3000.0,3000,1079,13631488,3000
11.222316,0.037620544,108544,-277.0,0.419461727142334,13040.870122432709,53,-0.00034526287,-259.0,-289.86,1.9512306,0.0013441619,3000.0,3000,1075,13893632,3000
10.935952,0.013442993,110592,-283.0,0.41272401809692383,13287.133448600769,54,-0.0001280556,-259.0,-290.02,1.9272019,0.00094652193,3000.0,3000,1064,14155776,3000
11.203844,0.01928711,112640,-283.0,0.40308594703674316,13532.769010305405,55,-0.0002882031,-259.0,-290.02,1.9213288,0.000933902,3000.0,3000,1067,14417920,3000
11.533606,0.023489952,114688,-287.0,0.4120965600013733,13777.065409183502,56,-8.715353e-05,-259.0,-290.02,1.9163544,0.0014255851,3000.0,3000,1073,14680064,3000
10.786968,0.03573227,116736,-283.0,0.43303996324539185,14021.810724020004,57,-0.00032468754,-259.0,-289.96,1.8967763,0.0016950633,3000.0,3000,1071,14942208,3000
10.566219,0.022248268,118784,-283.0,0.42119407653808594,14264.664029359818,58,-0.0004074724,-259.0,-290.18,1.874345,0.0010086296,3000.0,3000,1079,15204352,3000
10.762172,0.029841423,120832,-283.0,0.38608860969543457,14509.148770570755,59,-0.00048240452,-259.0,-290.28,1.8478798,0.0014543706,3000.0,3000,1072,15466496,3000
10.773612,0.07013798,122880,-287.0,0.41809993982315063,14757.00622010231,60,9.892638e-05,-259.0,-290.34,1.8384047,0.0016285972,3000.0,3000,1057,15728640,3000
