opt_vf,opt_dyn_loss,ev,tps,epcount,total_secs,vpredmean,rank,best_ext_ret,opt_approxkl,opt_clipfrac,retstd,eprew_recent,advstd,recent_best_ext_ret,tcount,eplen,opt_pg,rew_mean,n_updates,opt_tot,vpredstd,advmean,ups,opt_feat_var,eprew,opt_aux,opt_ent,retmean
7.3876553,0.3553601,-0.01694929599761963,1288.4040522894034,320.0,99.34719610214233,-0.31688115,0,-95.2,3.761741e-14,0.0,1.9702567,-138.33499999999998,1.9868839,-95.2,120000.0,375.0,3.1691377,-0.19927068,1,10.555431,0.20194954,-3.3274004,0.010065656658510964,0.055803508,-138.056,1.4271308,1.3612753,-3.6442816
7.669546,0.3520297,0.27057111263275146,1292.4985411116324,640.0,198.38018989562988,-3.5864635,0,-95.2,3.781553e-14,0.0,3.4213064,-136.01218749999998,2.9220216,-95.2,240000.0,375.0,2.5772333,-0.19184051,2,10.245412,0.9621475,-2.593232,0.010097644852434627,0.43927968,-136.87599999999998,0.33914232,1.367877,-6.1796956
7.8159494,0.47007284,0.39135682582855225,1298.5798728801624,961.0,296.9494059085846,-5.656597,0,13.7,6.564726e-14,0.0,4.965653,-138.26791277258567,3.8739836,13.7,360353.0,375.0,1.2305356,-0.13500622,3,9.04512,2.303686,-1.2108696,0.01014515525687627,0.94371456,-138.58499999999995,0.058728922,1.365302,-6.8674664
8.143018,0.40571246,0.5289545953273773,1295.7053343198024,1344.0,395.7372989654541,-6.215897,0,13.7,8.861034e-14,0.0,5.0635324,-139.54203655352478,3.4752412,-95.2,503978.0,375.0,1.9233494,-0.16253957,4,10.065013,4.1119003,-1.822976,0.010122697924373456,1.0548239,-140.85899999999995,0.02538184,1.3538005,-8.038875
6.265828,0.3513477,0.4548223614692688,1301.554933790672,1664.0,494.08120799064636,-8.098457,0,13.7,1.0523571e-13,0.0,4.426234,-139.389375,3.2681603,12.1,623960.0,375.0,2.029798,-0.19608176,5,8.294273,3.8544006,-1.9234438,0.010168397920239627,0.9902275,-141.14799999999997,0.019052614,1.3522701,-10.021901
5.5053153,0.33291,0.43796873092651367,1292.4507946604094,1986.0,593.1178603172302,-10.049662,0,13.7,1.2281281e-13,0.0,3.8255348,-140.54627329192547,2.8679554,-95.2,744710.0,375.0,1.6640735,-0.2133267,6,7.1680403,3.3433552,-1.7544693,0.010097271833284448,0.9884384,-140.70000000000002,0.01959372,1.3482671,-11.8041315
4.2810764,0.3255159,0.5038226544857025,1265.2103407970365,2368.0,694.2868089675903,-11.822333,0,13.7,1.4976853e-13,0.0,3.1313264,-141.77198952879579,2.2057018,-103.3,887960.0,375.0,1.745437,-0.21562639,7,6.025174,2.7871122,-1.7237254,0.009884455787476848,1.0290437,-141.96499999999997,0.015979137,1.3393433,-13.546058
3.1752338,0.30888712,0.4541143774986267,1294.6238337785976,2688.0,793.1572272777557,-13.383542,0,13.7,1.7247742e-13,0.0,2.708701,-140.6890625,2.0012987,-103.3,1007960.0,375.0,1.4449006,-0.22490844,8,4.61879,2.2640152,-1.517089,0.010114248701395295,0.9274596,-140.69699999999997,0.010855229,1.3444166,-14.900631
2.8801713,0.28481635,0.40710771083831787,1291.623584953187,3010.0,892.2573068141937,-14.582294,0,13.7,1.9239948e-13,0.0,2.5956147,-139.8136645962733,1.9986103,-95.2,1128710.0,375.0,1.2805611,-0.22797607,9,4.1593914,1.9789305,-1.2965676,0.010090809257446773,0.9072023,-140.455,0.013858364,1.3409021,-15.87886
2.2031996,0.2941872,0.4462709426879883,1248.9116171429475,3392.0,994.7465448379517,-15.531576,0,13.7,2.2289732e-13,0.0,2.379853,-137.9897905759162,1.7709194,-95.2,1271960.0,375.0,1.1512499,-0.22470401,10,3.3531203,1.8361931,-1.2291498,0.00975712200892928,1.005684,-138.424,0.008339012,1.3293298,-16.760727
2.118704,0.2688459,0.42668527364730835,1272.684023391915,3712.0,1095.3213911056519,-16.821386,0,13.7,2.3518364e-13,0.0,2.2614436,-137.07062499999998,1.7123097,-95.2,1391960.0,375.0,1.0635823,-0.23490262,11,3.180959,1.5853759,-1.1065227,0.009942843932749336,0.9326622,-137.246,0.007041153,1.3273853,-17.927912
2.1014187,0.25303036,0.43393534421920776,1280.9440306930915,4034.0,1195.2476930618286,-17.585445,0,13.7,2.4245317e-13,0.0,2.3990753,-135.33664596273292,1.8049986,-95.2,1512710.0,375.0,0.99268335,-0.23458406,12,3.0927765,1.6150929,-0.92789745,0.010007375239789777,0.9261845,-134.121,0.02128577,1.3254893,-18.513344
1.7764047,0.24877408,0.44278794527053833,1308.0272011891768,4416.0,1293.1049852371216,-17.993294,0,13.7,2.6845448e-13,0.0,2.4426618,-132.66465968586385,1.8233649,-95.2,1655960.0,375.0,0.9478196,-0.22859202,13,2.7229035,1.687026,-0.87559974,0.010218962509290445,0.9316003,-132.738,0.008174631,1.320798,-18.868893
