n_updates,advstd,eplen,advmean,opt_vf,best_ext_ret,vpredmean,eprew,ups,opt_feat_var,rank,eprew_recent,vpredstd,total_secs,retmean,recent_best_ext_ret,opt_pg,retstd,ev,opt_ent,opt_tot,opt_clipfrac,tps,epcount,tcount,opt_dyn_loss,rew_mean,opt_approxkl
356,11.8539,927.25,-0.076138526,62.050358,370.45,7.8838215,62.1385,0.0021841346878002845,0.1963316,0,65.07982142857144,43.874992,163006.86287164688,7.807684,351.25,-0.16393074,45.668365,0.9326261207461357,1.064017,61.885365,0.0,559.1384800768728,94487.0,91079679.0,0.07077016,0.08003623,1.1663222e-11
357,11.748025,919.45,-0.10832166,82.136925,370.45,6.708301,63.982,0.002181145445314121,0.18288997,0,58.7659420289855,42.292904,163465.337569952,6.599979,348.4,0.5210955,44.026882,0.9287977293133736,1.1068617,82.65691,0.0,558.373234000415,94763.0,91334906.0,0.06650681,0.06624551,1.3281047e-11
358,11.540206,920.82,0.41464192,69.97724,370.45,5.1129136,56.543,0.0021579945945505194,0.18930143,0,74.52446808510639,41.576546,163928.73076033592,5.527556,356.8,-0.94146633,44.596687,0.9330390021204948,1.1087894,69.03467,0.0,552.446616204933,95045.0,91591451.0,0.06936602,0.08847049,1.26665275e-11
359,12.128765,939.96,0.8995915,81.476974,370.45,3.3277037,59.924499999999995,0.0021188223637855575,0.19918805,0,86.44620938628158,42.596157,164400.69104218483,4.227295,358.45,-0.32806733,45.62272,0.9293241947889328,1.0629731,81.14784,0.0,542.4185251291027,95322.0,91846945.0,0.071206935,0.09585547,1.34909835e-11
360,11.622505,912.32,1.2032847,62.83989,370.45,1.1960186,72.63999999999999,0.0021828659341359036,0.19253932,0,65.9062271062271,43.265408,164858.80438041687,2.3993037,347.35,-1.8952022,45.380497,0.9344064742326736,1.0665332,60.943623,0.0,558.8136791387913,95595.0,92098431.0,0.07098051,0.07392886,1.2372985e-11
361,11.506385,916.01,1.1605123,55.351322,370.45,0.7852395,48.141999999999996,0.002148277594203075,0.18629654,0,59.71774193548387,43.307404,165324.2935717106,1.9457515,361.9,-0.8155298,45.006462,0.9346375837922096,1.098746,54.534695,0.0,549.9590641159872,95874.0,92355754.0,0.067741975,0.06932653,1.2560695e-11
362,11.836141,916.98,1.1456683,63.081093,370.45,4.7581954,85.35700000000001,0.0021931514510362816,0.19533435,0,87.59590747330961,45.759136,165780.25843429565,5.903864,351.6,-1.8549439,47.913013,0.9389742277562618,1.0340786,61.225117,0.0,561.4467714652881,96155.0,92611700.0,0.069815636,0.101616375,1.3245754e-11
363,11.446265,918.79,0.6640841,55.32535,370.45,3.743669,39.351,0.002177193441594485,0.19772393,0,67.55301418439716,41.98286,166239.56534790993,4.407753,370.15,-1.1824937,44.617355,0.9341857358813286,1.0656277,54.141792,0.0,557.3615210481881,96437.0,92868920.0,0.06987872,0.0798629,1.3561561e-11
364,11.859198,921.88,1.0076177,85.51307,370.45,5.578112,60.5675,0.0021912927410084305,0.1934391,0,85.27744755244754,46.61246,166695.91697144508,6.585731,356.4,-2.2823687,48.64977,0.9405777454376221,1.062742,83.22964,0.0,560.9709416981583,96723.0,93128344.0,0.06979525,0.10437447,1.2816267e-11
365,12.337767,896.07,0.24727735,82.48391,370.45,8.752377,89.6995,0.002220565521342897,0.19586842,0,90.07401433691757,46.910995,167146.2527036667,8.999653,362.8,0.77221835,48.417442,0.9350664168596268,1.0692574,83.25506,0.0,568.4647734637816,97002.0,93381408.0,0.06941627,0.09982564,1.2918706e-11
366,11.747671,913.9,0.23976023,61.318356,370.45,7.0144024,74.48700000000002,0.002227516839417497,0.19896773,0,73.88056537102474,44.31061,167595.1830921173,7.254163,357.95,-0.7334179,46.142193,0.9351802840828896,1.0596994,60.583878,0.0,570.2443108908792,97285.0,93638701.0,0.071782336,0.086627126,1.2630132e-11
367,11.802389,927.84,0.5151913,68.804535,370.45,5.0537386,52.936499999999995,0.0022449367569221195,0.17882302,0,60.6068100358423,42.11523,168040.62993907928,5.5689306,357.9,0.28759196,44.252598,0.9288684353232384,1.0890529,69.09104,0.0,574.7038097720625,97564.0,93895985.0,0.06587987,0.07200284,1.2339237e-11
368,11.423521,912.82,1.0293192,76.041405,370.45,3.0338848,73.184,0.0021974091126867688,0.18867545,0,81.59267857142858,42.144238,168495.71133208275,4.063204,356.7,-1.1480407,45.192356,0.9361045360565186,1.0304984,74.892334,0.0,562.5367328478128,97844.0,94149618.0,0.069237076,0.09216874,1.31035235e-11
369,12.020485,904.25,0.62544304,80.591995,370.45,6.616639,82.65799999999999,0.0021914595267715827,0.19761243,0,89.81119133574006,45.729584,168952.0282239914,7.2420826,356.95,-1.1377583,47.6971,0.9364873841404915,1.0447859,79.45319,0.0,561.0136388535252,98121.0,94401126.0,0.06874403,0.10021709,1.23475275e-11
370,12.03568,883.77,0.07120427,54.56812,370.45,10.8815155,130.65,0.00218529881391526,0.19537339,0,99.04017543859649,47.812008,169409.63154745102,10.95272,357.75,-0.3761648,49.55918,0.9410215988755226,1.0444155,54.19091,0.0,559.4364963623065,98406.0,94656417.0,0.071324065,0.11442315,1.2799569e-11
371,11.696261,911.26,0.03695303,69.93616,370.45,9.527428,59.2135,0.002202148947856391,0.18859373,0,68.56329787234041,47.5991,169863.73343777657,9.564381,368.5,0.16838287,48.528896,0.9419110827147961,1.081003,70.10346,0.0,563.7501306512361,98688.0,94912407.0,0.06972579,0.08306986,1.3052702e-11
372,11.672549,886.46,0.4302285,63.36513,370.45,7.221826,102.74549999999999,0.0021717901195297297,0.19917214,0,96.11214788732394,45.58949,170324.18308758736,7.6520543,359.75,-0.36269566,48.035217,0.940951082855463,0.97627664,63.00146,0.0,555.9782705996108,98972.0,95167159.0,0.071931206,0.10844305,1.1928575e-11
373,11.900666,901.08,0.3698172,81.57252,370.45,9.83965,97.022,0.0022074754509364427,0.20371479,0,99.4740350877193,50.184464,170777.18925786018,10.209469,369.8,-0.9043821,51.532623,0.946669202297926,1.0290381,80.66711,0.0,565.1137154397293,99257.0,95423688.0,0.07282443,0.1172406,1.4441317e-11
