eprew_recent,tcount,total_secs,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen_std,n_updates,epcount,eplen,recent_best_eplen,rew_mean,recent_worst_eplen,best_ext_ret
104.65984083256811,25341159.0,20769.571817159653,104.85300000000001,111.1,2.3545468778514476,18,5.8935473188903815,99,488417.0,38.69,23,2.6836147,250,113.0
104.73078094078247,25597554.0,20980.904471874237,104.62799999999999,112.6,1.7865654200168546,18,4.455771538128947,100,494986.0,39.31,19,2.6990063,154,113.0
104.73375533862111,25853400.0,21190.756843566895,104.833,111.2,1.6172850707281017,18,4.009625917713521,101,501542.0,38.77,23,2.6958382,165,113.0
104.73376524390244,26109373.0,21402.248796224594,104.771,111.2,2.4898311187709092,18,6.226845108078408,102,508102.0,38.92,23,2.695852,127,113.0
104.71936222154409,26365368.0,21609.515624284744,104.81899999999997,111.1,2.0069725957272064,18,5.020717080258557,103,514656.0,38.82,23,2.6956813,249,113.0
104.74097211641018,26621335.0,21818.435460567474,104.913,111.3,1.5531680527232072,18,3.9048047326338873,104,521219.0,38.55,23,2.6964848,141,113.0
104.78870477348738,26877139.0,22029.302956342697,105.12299999999999,111.1,1.8349307888855106,18,4.583393938993243,105,527797.0,38.05,23,2.7064683,123,113.0
104.75115536637276,27133276.0,22236.03777694702,105.09399999999998,111.1,1.7609554224908712,18,4.45397575206691,106,534375.0,38.11,23,2.7032955,250,113.0
104.73411029859841,27389395.0,22445.54025197029,104.86300000000001,111.4,1.8765742724443384,18,4.743880268303575,107,540939.0,38.66,22,2.6985278,147,113.0
104.69734351145038,27645334.0,22654.743265867233,104.949,111.3,2.5020989189078833,18,6.2697687357668945,108,547489.0,38.5,23,2.6922336,250,113.0
104.81387625113739,27901364.0,22862.961033582687,105.06300000000002,111.1,1.9449244201253686,18,4.892555569434037,109,554083.0,38.23,23,2.7122421,147,113.0
104.78465399239543,28157127.0,23074.16409611702,104.39999999999998,111.9,2.527330607577885,18,6.299293611191655,110,560658.0,39.83,21,2.7042148,183,113.0
104.76565012896373,28413555.0,23282.129885435104,104.97200000000001,111.4,1.767884611619209,18,4.40475879021769,111,567249.0,38.41,22,2.7105505,250,113.0
104.80613795199028,28669186.0,23492.338164806366,104.916,111.4,1.7514976448742374,18,4.35682223644711,112,573831.0,38.59,22,2.7084455,99,113.0
104.8415142813964,28925333.0,23702.393391370773,104.81999999999998,111.2,2.2126454754433658,18,5.5365964274091715,113,580448.0,38.81,23,2.7226837,250,113.0
104.84623184019371,29181332.0,23912.15004324913,104.86800000000001,111.2,3.6027178629473613,18,9.031301124422772,114,587056.0,38.66,23,2.7217584,158,113.0
104.82711171662126,29437569.0,24119.80558037758,105.27,111.2,2.0724623036378733,18,5.228183240859103,115,593662.0,37.69,23,2.7155187,122,113.0
104.81889715934983,29693029.0,24328.494065523148,104.241,111.2,4.0211962150584,18,10.125072839244169,116,600245.0,40.23,23,2.7101705,115,113.0
104.87718080289767,29949267.0,24541.454592466354,105.125,110.9,1.7926168023311628,18,4.445177161823812,117,606871.0,38.02,24,2.726431,206,113.0
104.78048225659691,30205276.0,24753.909785032272,104.90299999999999,112.6,2.063659613405273,18,5.1382779216387275,118,613465.0,38.59,19,2.713578,250,113.0
104.90378296910326,30461337.0,24960.494961738586,105.244,112.0,2.1171358010293058,18,5.294563249220846,119,620100.0,37.74,21,2.732449,131,113.0
104.88235649546827,30717228.0,25167.742965459824,104.86699999999999,111.5,1.860862971849351,18,4.6419284785528525,120,626720.0,38.75,22,2.7252572,201,113.0
104.88550746493742,30973485.0,25377.307812213898,104.778,111.4,2.033842668448078,18,5.041616804161141,121,633351.0,38.89,22,2.7293282,130,113.0
