total_secs,tcount,opt_vf,tps,ev,rank,n_updates,best_ext_ret,retstd,recent_best_ext_ret,vpredstd,rew_mean,vpredmean,opt_feat_var,ups,eprew,opt_tot,eplen,epcount,opt_dyn_loss,advstd,opt_clipfrac,eprew_recent,opt_pg,retmean,advmean,opt_ent,opt_approxkl
87090.36655402184,201687486.0,70.13328,555.5938701065164,0.9734781160950661,0,788,393.75,73.05965,380.85,73.3832,0.4201554,49.172104,0.21854763,0.0021702885551035797,257.00100000000003,71.80068,611.99,72857.0,0.07171254,11.898158,0.0,252.9167064439141,1.6682302,47.586582,-1.5855123,0.82787544,2.0926053e-11
87559.88881421089,201936784.0,80.96337,545.2350648868487,0.9788185060024261,0,789,393.75,72.782906,382.25,72.90435,0.39384702,45.11104,0.2193734,0.0021298244722142527,274.003,82.37498,622.34,73255.0,0.072742574,10.592725,0.0,250.1904522613065,1.412477,44.0344,-1.0766444,0.8737139,2.0468176e-11
88033.45605969429,202201149.0,41.55345,540.577927298763,0.9784754104912281,0,790,393.75,74.288284,385.85,74.417465,0.43915883,45.58328,0.23327896,0.002111632528510793,247.7705,41.358063,617.67,73686.0,0.07625708,10.899028,0.0,254.46276102088166,-0.1945581,45.185368,-0.39790323,0.8318834,1.8597873e-11
88493.67571139336,202454787.0,66.20369,556.2561247762542,0.9769424088299274,0,791,393.75,73.9017,384.9,73.89717,0.44288754,47.1299,0.22882287,0.002172875487407243,288.798,66.77316,605.59,74101.0,0.07524613,11.221771,0.0,268.8309638554217,0.5703057,46.757023,-0.37288,0.83094275,1.9034403e-11
88961.28516054153,202711487.0,60.888332,547.4654125709885,0.9731241669505835,0,792,393.75,72.505264,383.9,73.14979,0.38588434,44.55449,0.21281643,0.002138536767855424,251.60599999999994,61.52723,624.27,74513.0,0.07053424,11.886405,0.0,233.60145631067962,0.63971823,43.645405,-0.90907335,0.8218125,1.8026625e-11
89424.23046183586,202965935.0,66.45624,552.9810957887719,0.97296685539186,0,793,393.75,70.12502,388.4,70.35573,0.36512703,43.627262,0.23457895,0.0021600824054248905,241.574,67.90361,633.94,74913.0,0.07608476,11.529787,0.0,230.45675000000003,1.4481785,42.358494,-1.2687656,0.80537105,1.917234e-11
89892.51464653015,203222562.0,57.02429,546.6765873528793,0.9732601791620255,0,794,393.75,71.7629,385.2,72.124756,0.39029658,42.845837,0.21889324,0.002135455419347185,238.07749999999996,57.131847,630.32,75321.0,0.07065855,11.734895,0.0,238.92095588235293,0.108395495,42.445904,-0.39993384,0.83675086,1.9384445e-11
90346.18870949745,203479145.0,76.05706,564.2817628268332,0.9744078256189823,0,795,393.75,70.013535,381.8,69.044655,0.4052403,40.8416,0.22488138,0.002204225636042317,268.4005,76.350876,602.8,75734.0,0.07026299,11.200453,0.0,247.52917675544793,0.2946485,40.809464,-0.032131422,0.83013684,1.9369624e-11
90801.10157299042,203733112.0,83.95838,562.745133286297,0.9751598089933395,0,796,393.75,70.84215,385.75,70.26168,0.4047847,41.881535,0.21698366,0.0021982231768995974,279.818,84.391136,603.21,76144.0,0.07121165,11.165268,0.0,247.21341463414635,0.43358457,41.926872,0.045331754,0.8337067,1.9708174e-11
91260.81375265121,203993004.0,94.7183,556.8701707857555,0.9739339035004377,0,797,393.75,70.984955,386.35,70.54186,0.40666026,41.652596,0.21890438,0.0021752741046318575,242.887,94.77178,627.9,76562.0,0.07274237,11.46052,0.0,243.95035885167465,0.054351866,41.41994,-0.23265283,0.8662216,2.0303096e-11
91722.25824522972,204246431.0,74.7107,554.7796194716664,0.9758659861981869,0,798,393.75,70.71388,388.75,69.611984,0.40986764,40.41075,0.2114577,0.002167107888561197,280.7505,75.41622,602.76,76972.0,0.06969437,10.985491,0.0,252.11158536585367,0.70639455,40.465485,0.05473467,0.87420505,1.8913444e-11
92179.0585258007,204504671.0,53.40315,560.4199710210537,0.9743204694241285,0,799,393.75,71.269356,385.8,70.55111,0.4017936,39.273773,0.22972067,0.002189140511800991,241.88400000000001,53.753456,622.37,77387.0,0.07558392,11.420796,0.0,243.8178313253012,0.35109562,39.31245,0.038667157,0.78656447,1.8528496e-11
92633.98462343216,204755938.0,66.25057,562.7287626118807,0.9738846179097891,0,800,393.75,69.27636,388.5,67.71204,0.39849842,41.756725,0.22702411,0.002198159228952659,245.73,67.32291,614.31,77794.0,0.07312863,11.195236,0.0,242.8410319410319,1.0732119,41.375233,-0.38149172,0.87422395,2.0757366e-11
93087.64959573746,205017517.0,47.322758,564.2930700581453,0.9744632598012686,0,801,393.75,70.71437,383.05,68.987686,0.43984157,42.038692,0.23703027,0.00220426980491463,254.9545,46.05748,615.11,78222.0,0.07888976,11.300312,0.0,260.31039719626165,-1.2644283,41.819386,-0.21930514,0.8486626,2.0060079e-11
93545.57607483864,205275573.0,74.47115,559.0417057831582,0.976564783602953,0,802,393.75,72.00642,386.65,70.56464,0.45220894,44.320324,0.20739762,0.002183756663215462,258.2705,75.53348,612.63,78646.0,0.06982272,11.023149,0.0,267.62912735849056,1.0632149,44.129623,-0.19069463,0.8898051,2.0735733e-11
94001.64773631096,205530556.0,76.31153,561.3152967530672,0.9788827616721392,0,803,393.75,74.83382,385.55,74.06816,0.4808818,46.597607,0.2236122,0.0021926378779416685,254.95649999999995,76.4118,606.47,79075.0,0.07159341,10.874679,0.0,281.07319347319344,0.10109625,46.834667,0.23705105,0.8305431,1.9789543e-11
94456.56038117409,205784457.0,65.66286,562.7454037401482,0.9767796341329813,0,804,393.75,72.6934,383.75,72.20353,0.42655468,44.388184,0.22127593,0.002198224233359954,234.1115,66.82663,616.73,79491.0,0.07207161,11.077187,0.0,260.2676682692308,1.1645894,43.834507,-0.553675,0.81578255,1.9598658e-11
94913.02654147148,206039640.0,58.561245,560.8301825336024,0.9779164157807827,0,805,393.75,73.67678,384.55,73.138,0.4500115,45.629795,0.2174566,0.002190742900521885,271.728,58.25473,602.62,79916.0,0.0717612,10.948772,0.0,265.8417647058823,-0.30567944,45.531372,-0.098431885,0.83588773,1.9708998e-11
95382.70279860497,206295977.0,59.06667,545.0562938020598,0.9780027214437723,0,806,393.75,72.51692,385.25,71.33294,0.4528773,42.98022,0.22402328,0.0021291261476642964,253.616,58.818546,615.91,80340.0,0.07302736,10.755333,0.0,267.10683962264153,-0.24728394,43.284878,0.30465612,0.8398462,1.9747976e-11
95851.17409563065,206553025.0,44.409164,546.4582390113148,0.976718332618475,0,807,393.75,71.35793,382.6,69.26139,0.46355253,40.10433,0.24672523,0.0021346024961379486,284.854,42.89773,600.44,80768.0,0.07994888,10.88803,0.0,273.23235981308414,-1.5106541,41.054787,0.950454,0.7784645,1.9325281e-11
96315.16749310493,206807711.0,57.65847,551.7319888462112,0.9758694786578417,0,808,393.75,70.7597,386.2,68.25211,0.45716912,37.554707,0.22407247,0.002155203081430512,268.9595,56.034554,602.58,81193.0,0.07430502,10.991813,0.0,269.8897647058823,-1.6230744,39.034214,1.4795141,0.84222317,2.0055697e-11
96783.10501003265,207061389.0,61.400616,547.0815883299725,0.9787514917552471,0,809,393.75,73.243225,388.75,71.43138,0.47008824,37.822296,0.23807597,0.0021370374544139553,276.794,59.57223,593.12,81619.0,0.07778271,10.676568,0.0,279.3963615023474,-1.8275685,39.442486,1.6201823,0.81679577,1.8908963e-11
97246.37709522247,207317343.0,40.389755,552.5910327515363,0.9802554193884134,0,810,393.75,74.06947,385.1,72.63388,0.48355964,40.26926,0.23174492,0.0021585587216856887,275.045,38.358112,593.92,82050.0,0.07541445,10.407903,0.0,281.98932714617166,-2.030793,41.8329,1.5636423,0.8483383,2.0242568e-11
97711.99278259277,207577857.0,38.535133,549.8096540643514,0.9814054649323225,0,811,393.75,76.4459,384.1,75.93593,0.497437,42.48388,0.23518194,0.002147693961188873,289.4275,37.55836,583.44,82490.0,0.07651776,10.424299,0.0,283.4953409090909,-0.9759374,43.894875,1.4109951,0.83373266,2.0832015e-11
98187.3304708004,207833238.0,41.010593,538.5644907840335,0.981899818405509,0,812,393.75,75.935104,385.65,75.28188,0.49278063,43.045803,0.23547322,0.002103767542125131,272.166,39.381138,602.49,82928.0,0.07666628,10.216075,0.0,284.2462328767123,-1.6286544,44.37693,1.3311275,0.8017009,2.0663173e-11
98659.11258459091,208088576.0,39.97132,542.6233689598353,0.9797465838491917,0,813,393.75,75.89671,390.15,75.44751,0.49482727,45.28615,0.23200417,0.0021196225349993563,311.7215,39.12165,588.9,83358.0,0.07487332,10.801202,0.0,289.7503488372093,-0.8488612,46.223656,0.9375145,0.8108906,1.906473e-11
99130.2808508873,208348211.0,37.23892,543.3303095989154,0.9836254511028528,0,814,393.75,78.579445,387.65,78.07997,0.569065,48.356964,0.23625799,0.002122384021870763,338.08099999999996,35.31649,542.72,83818.0,0.07490771,10.055267,0.0,312.0415217391305,-1.9216129,50.024548,1.667589,0.81605446,1.9553408e-11
99599.5817155838,208598606.0,35.97168,545.4922827929487,0.9809848628938198,0,815,393.75,73.561104,389.45,72.29572,0.48077106,47.405037,0.23000413,0.002130829229659956,292.2,36.04121,577.82,84246.0,0.074658744,10.143737,0.0,281.35771028037385,0.0703587,47.425095,0.020059336,0.8269212,1.941438e-11
100065.16940951347,208853156.0,33.96963,549.8427113468107,0.9808546118438244,0,816,393.75,74.95084,386.2,73.96418,0.49849725,47.535217,0.24651203,0.002147823091198479,263.9105,33.474987,597.89,84686.0,0.08034558,10.370712,0.0,288.9884090909091,-0.49388403,47.758583,0.22336385,0.7589397,1.8223926e-11
100522.79682302475,209113437.0,40.92548,559.4070469593754,0.9826321862637997,0,817,393.75,75.59296,384.6,74.14632,0.5324254,49.319576,0.23635913,0.00218518377718506,295.45149999999995,39.97768,580.64,85135.0,0.075655594,9.96217,0.0,297.46057906458793,-0.94698083,49.795147,0.4755722,0.82018167,1.9849442e-11
100979.25840973854,209370067.0,60.602596,560.8358018536098,0.981213916093111,0,818,393.75,76.24329,388.85,75.47703,0.5179978,48.980064,0.26958668,0.0021907648509906638,290.933,59.49503,582.25,85579.0,0.08398206,10.450084,0.0,293.7277027027027,-1.1067991,49.473698,0.49363846,0.7686415,1.9646779e-11
101445.62036585808,209624960.0,40.907078,548.9298529624967,0.982535919174552,0,819,393.75,76.93399,384.9,76.4996,0.5316567,52.0183,0.23245949,0.002144257238134753,315.924,40.026783,575.32,86024.0,0.07430163,10.16696,0.0,300.1298876404494,-0.87949294,52.24696,0.22867355,0.80166566,1.9909066e-11
101905.95608329773,209884288.0,44.353996,556.1158743532882,0.9826370310038328,0,820,393.75,77.7422,388.55,77.05187,0.57049125,53.536873,0.24841796,0.0021723276341925318,297.485,43.350895,568.51,86489.0,0.078769624,10.243982,0.0,310.2267741935484,-1.0022951,53.98067,0.44380212,0.8047008,2.0918716e-11
102370.81978034973,210138496.0,45.619686,550.6990578603142,0.982766518369317,0,821,393.75,76.60925,388.1,75.84023,0.53565294,51.884438,0.22864608,0.0021511681947668526,312.3725,45.69076,554.54,86938.0,0.07438158,10.056985,0.0,301.6273942093541,0.07188944,52.059258,0.17483167,0.81257063,1.8826463e-11
102830.73368501663,210393746.0,58.212055,556.6259193346453,0.9823411367833614,0,822,393.75,77.072014,385.2,76.61975,0.53606445,51.6603,0.21824114,0.0021743199974009583,318.54949999999997,57.702633,558.33,87385.0,0.07072031,10.241842,0.0,302.24653243847877,-0.5085772,51.973618,0.313313,0.8432455,2.0050248e-11
103287.95111513138,210651502.0,42.907475,559.908663009091,0.985068709589541,0,823,393.75,78.50517,387.9,77.820724,0.58284575,54.587566,0.2407788,0.002187143214879262,335.787,42.237347,533.05,87848.0,0.07643162,9.592834,0.0,317.14546436285093,-0.66933054,55.113125,0.5255658,0.79881495,1.9869101e-11
103743.08626914024,210905320.0,42.820446,562.4702854638504,0.9817619472742081,0,824,393.75,79.8618,386.75,81.00854,0.53837776,56.12437,0.23051473,0.0021971495525931655,310.80349999999993,42.747154,561.33,88294.0,0.073521994,10.785203,0.0,303.2174887892377,-0.0724713,55.98125,-0.14312103,0.82147735,2.0045377e-11
104209.7852396965,211163994.0,76.63757,548.5334576480279,0.9798216838389635,0,825,393.75,77.22202,385.5,77.424164,0.5408826,55.455624,0.24143839,0.002142708818937609,283.7615,77.04741,571.07,88752.0,0.07685424,10.9694195,0.0,298.85622270742357,0.41064537,55.15677,-0.2988658,0.81312716,2.0407724e-11
104679.86248803139,211420936.0,47.546844,544.5913430331024,0.981310373172164,0,826,393.75,76.21576,388.95,75.068115,0.57679975,56.449112,0.23707417,0.002127309933723056,329.75449999999995,47.893066,539.41,89215.0,0.074872255,10.419457,0.0,315.0341252699784,0.34704596,56.37002,-0.0790999,0.8237266,2.0560354e-11
105143.87021780014,211676639.0,45.477978,551.7149469203506,0.9838603008538485,0,827,393.75,75.806526,385.6,74.97765,0.5335156,55.53734,0.25261426,0.0021551365114076196,310.006,46.158604,555.92,89667.0,0.07987782,9.630622,0.0,296.3888274336283,0.68141276,55.021294,-0.5160439,0.78858244,2.1164001e-11
105607.11927866936,211929550.0,65.945404,552.6184975305824,0.981018727645278,0,828,393.75,75.20813,388.4,74.130005,0.54185736,54.750027,0.21707693,0.0021586660059788377,286.8095,66.81548,571.98,90115.0,0.069217496,10.361615,0.0,306.24620535714286,0.8709038,54.393864,-0.3561582,0.8221246,1.8483633e-11
106074.67699623108,212185084.0,36.37088,547.5259853158251,0.9824406802654266,0,829,393.75,75.78037,386.85,74.07178,0.5749862,51.307816,0.24635032,0.0021387733801399417,319.96500000000003,34.686543,559.1,90573.0,0.07893855,10.041778,0.0,317.03635371179035,-1.683508,52.35706,1.0492476,0.8277561,2.1397835e-11
106542.41980791092,212446775.0,66.39659,547.3093195822889,0.9818426687270403,0,830,393.75,75.064316,387.65,73.57022,0.54726875,49.233875,0.24678937,0.0021379270296183164,287.56899999999996,65.651306,571.02,91031.0,0.0786689,10.114853,0.0,301.10480349344977,-0.74448115,50.03852,0.80464494,0.8038173,2.1110443e-11
107003.75099372864,212697853.0,54.409363,554.915877941863,0.9832617789506912,0,831,393.75,77.2263,385.65,76.58043,0.5439369,54.06777,0.22788826,0.0021676401482104025,292.3505,54.376244,568.06,91475.0,0.07326564,9.991251,0.0,308.3474099099099,-0.032282136,54.206642,0.13886878,0.83527386,2.0920123e-11
107461.82234573364,212956599.0,43.917274,558.8648992770954,0.9837229046970606,0,832,393.75,78.487206,390.65,78.30274,0.55948246,52.57796,0.23671399,0.0021830660128011542,313.9285,43.029354,563.21,91936.0,0.07632522,10.013533,0.0,307.4741865509761,-0.88708234,53.08779,0.5098364,0.83939016,2.1897699e-11
107924.71936154366,213213235.0,38.74714,553.0387780790323,0.9822001308202744,0,833,393.75,76.38723,388.65,74.97195,0.5554972,49.898323,0.25738287,0.00216030772687122,301.035,37.634594,565.24,92391.0,0.08123853,10.19129,0.0,306.5174725274725,-1.1117572,50.79556,0.897239,0.78662145,1.9361648e-11
108393.81984472275,213467456.0,35.981827,545.7252959218649,0.9846900040283799,0,834,393.75,76.66719,385.15,74.84358,0.5925567,52.31711,0.23360913,0.002131739437194785,328.18850000000003,34.781086,538.01,92851.0,0.074263446,9.486305,0.0,325.8697826086957,-1.1999466,53.387146,1.0700306,0.79388314,1.9638836e-11
108856.30393743515,213726971.0,38.727844,553.5325517870183,0.9824353754520416,0,835,393.75,76.88048,386.9,75.50397,0.57870996,50.509785,0.25401086,0.00216223653041804,313.87449999999995,36.875122,558.32,93317.0,0.079845555,10.189093,0.0,313.0723175965665,-1.8519328,51.64276,1.1329861,0.7901958,1.9522545e-11
109327.37080430984,213978948.0,58.844734,543.4472640761991,0.9845278346911073,0,836,393.75,79.90479,385.6,79.6732,0.60352665,53.936813,0.24010882,0.002122840875297653,341.09700000000004,57.94798,534.89,93780.0,0.0763714,9.93913,0.0,329.77224622030235,-0.89595556,55.276188,1.3393776,0.79912156,2.0747343e-11
109790.42780923843,214234600.0,38.99835,552.8476996897596,0.9820393081754446,0,837,393.75,78.84432,385.85,78.420876,0.57913595,56.199387,0.23515859,0.0021595613269131233,309.988,38.582684,562.45,94239.0,0.07549649,10.566519,0.0,317.8708061002178,-0.41485113,56.340332,0.1409588,0.8143887,2.0537572e-11
110260.94650697708,214494193.0,77.49939,544.080397294215,0.9834087770432234,0,838,393.75,81.34552,387.35,82.35211,0.58069307,54.28936,0.24389899,0.0021253140519305277,309.4055,76.49493,554.02,94706.0,0.07748006,10.477867,0.0,314.58811563169166,-1.0036678,55.16223,0.87285864,0.7931272,1.879059e-11
110729.54318141937,214746019.0,45.749176,546.3120290059313,0.9829927664250135,0,839,393.75,80.27279,386.65,80.91436,0.5650125,54.068466,0.23880431,0.0021340313633044193,303.2905,45.38437,553.87,95160.0,0.07398095,10.468517,0.0,314.7800660792952,-0.36399826,54.785255,0.71678835,0.80966896,1.9648979e-11
111192.23709726334,215001634.0,38.287148,553.2815350144609,0.9844666915014386,0,840,393.75,80.47632,384.65,81.08072,0.5843508,56.175163,0.2488076,0.002161255996150238,325.8575,36.835976,549.45,95623.0,0.0769651,10.029981,0.0,318.2742980561555,-1.4503819,56.754917,0.579764,0.7890962,2.035499e-11
111653.3348300457,215257795.0,33.113266,555.1968309521723,0.9861528864130378,0,841,393.75,80.50194,385.8,80.752335,0.6117097,59.49312,0.25105163,0.002168737620906923,333.07550000000003,32.807335,546.0,96093.0,0.07840746,9.472965,0.0,327.87063829787235,-0.30516192,59.800316,0.30720982,0.7710823,1.9809836e-11
