best_ext_ret,eplen_std,eplen,epcount,best_eplen,rew_mean,eprew_recent,tcount,recent_best_eplen,recent_worst_eplen,n_updates,eprew_std,total_secs,eprew,recent_best_ext_ret
10.3125,0,50,69088,50,0.10927709,5.140625,3454400,50,50,54,1.445206922,20136.05743,5.046875,9.375
10.3125,0,50,70368,50,0.113447815,5.332519531,3518400,50,50,55,1.447317022,20505.32892,5.15625,10.3125
10.3125,0,50,71648,50,0.11212451,5.314941406,3582400,50,50,56,1.178729951,20873.90134,5.046875,9.0625
10.3125,0,50,72928,50,0.112879544,5.309082031,3646400,50,50,57,1.130628282,21248.28335,5.53125,9.375
10.3125,0,50,74208,50,0.11350892,5.335693359,3710400,50,50,58,1.049902339,21618.84733,5.109375,10.3125
10.625,0,50,75488,50,0.11482776,5.435791016,3774400,50,50,59,1.397109181,21993.39806,4.94375,10.625
10.9375,0,50,76768,50,0.11589807,5.461425781,3838400,50,50,60,1.381857898,22366.93287,5.6,10.9375
10.9375,0,50,78048,50,0.113272965,5.339355469,3902400,50,50,61,1.229563407,22741.09068,5.103125,10.3125
10.9375,0,50,79328,50,0.11649387,5.491943359,3966400,50,50,62,1.232292547,23114.32922,5.465625,10.3125
10.9375,0,50,80608,50,0.117259435,5.544433594,4030400,50,50,63,1.035389419,23484.77375,5.2125,10.3125
10.9375,0,50,81888,50,0.11694133,5.513183594,4094400,50,50,64,1.331187645,23852.931,5.378125,10.625
11.5625,0,50,83168,50,0.122131236,5.755859375,4158400,50,50,65,1.240632872,24222.7527,5.728125,11.5625
11.5625,0,50,84448,50,0.11818467,5.584716797,4222400,50,50,66,1.334063927,24595.25168,5.41875,10.625
11.5625,0,50,85728,50,0.12217875,5.773681641,4286400,50,50,67,1.396647772,24967.31847,5.2625,11.25
11.5625,0,50,87008,50,0.12407531,5.852783203,4350400,50,50,68,1.296310118,25337.63718,6.078125,10.3125
11.5625,0,50,88288,50,0.12742484,6.031494141,4414400,50,50,69,1.128202906,25712.85154,5.684375,11.5625
11.5625,0,50,89568,50,0.12608315,5.975341797,4478400,50,50,70,1.359181021,26082.73918,6.165625,10.3125
12.1875,0,50,90848,50,0.12843078,6.031738281,4542400,50,50,71,1.089415518,26455.91577,5.428125,12.1875
12.1875,0,50,92128,50,0.12412076,5.890625,4606400,50,50,72,1.456997528,26825.89945,6.528125,11.25
12.5,0,50,93408,50,0.13632321,6.465820313,4670400,50,50,73,1.23558485,27200.3935,6.603125,12.5
12.5,0,50,94688,50,0.13098037,6.148925781,4734400,50,50,74,1.79466168,27572.18079,5.990625,11.5625
