eprew,eprew_recent,recent_best_ext_ret,eprew_std,epcount,n_updates,eplen_std,best_eplen,tcount,rew_mean,eplen,recent_worst_eplen,best_ext_ret,recent_best_eplen,total_secs
235.971,235.9056433,237.6,1.186700889,459988,295,3.00031665,110,75512501,2.05023,115.09,218,238,111,72498.98537
235.993,235.8606321,237.6,1.161572641,462203,296,2.931961801,110,75768075,2.0499575,115.06,243,238,111,72745.49911
235.844,235.6978398,237.6,1.25190415,464425,297,3.169400574,110,76024749,2.0555928,115.43,375,238,111,72989.80974
236.031,235.8934205,237.6,0.996764265,466644,298,2.50926284,110,76280589,2.0514643,114.94,315,238,111,73235.42134
236.102,235.8409029,237.6,0.645442484,468859,299,1.664812302,110,76536272,2.0526354,114.78,207,238,111,73479.39023
235.497,235.8106661,237.2,4.627039118,471081,300,11.59698237,110,76792918,2.0527847,116.3,264,238,112,73726.28441
236.127,235.8673736,237.6,0.844257662,473297,301,2.136796668,110,77048565,2.0516338,114.71,214,238,111,73972.57653
235.893,235.8601081,237.6,1.131570148,475518,302,2.883383429,110,77304823,2.0530818,115.31,258,238,111,74217.17511
235.647,235.959684,237.6,3.417965916,477733,303,8.600790661,110,77559837,2.0503597,115.92,196,238,111,74461.96468
235.765,235.8947912,237.6,2.25913147,479960,304,5.686220186,110,77816593,2.0596383,115.63,254,238,111,74706.88739
235.924,235.9922352,237.6,0.974486531,482188,305,2.450693779,110,78072916,2.0621068,115.21,236,238,111,74953.98863
236.075,236.0532614,237.6,0.732034835,484411,306,1.88,110,78328320,2.059216,114.84,140,238,111,75201.26502
235.811,235.8485624,237.6,1.299838067,486637,307,3.287856445,110,78584611,2.0588193,115.5,375,238,111,75447.0883
236.107,235.9474087,237.6,0.70174853,488856,308,1.761363109,110,78840151,2.0535295,114.76,193,238,111,75693.08732
235.922,235.9908113,237.6,1.612425502,491087,309,4.051802068,110,79096832,2.0650017,115.23,354,238,111,75940.50458
232.539,235.7839784,237.6,35.04811235,493309,310,26.04553513,110,79353008,2.0536327,117.49,375,238,111,76187.20287
236.029,235.959541,237.6,1.051312989,495531,311,2.658477008,110,79608818,2.0579202,114.95,199,238,111,76433.52957
235.952,235.9375225,237.6,1.112967205,497751,312,2.829752639,110,79864521,2.0545237,115.15,276,238,111,76678.44776
235.773,235.9557104,237.6,2.302340331,499975,313,5.76020833,110,80120587,2.0587053,115.6,281,238,111,76923.46524
235.931,236.0303724,237.6,1.7958672,502204,314,4.527018887,110,80376814,2.060071,115.19,201,238,111,77169.3803
236.114,235.9963628,237.6,0.931237886,504431,315,2.369050443,110,80632994,2.0591092,114.74,241,238,111,77414.86064
