eprew,epcount,best_ext_ret,best_eplen,total_secs,eplen,recent_worst_eplen,recent_best_ext_ret,eprew_recent,tcount,rew_mean,n_updates,eplen_std,eprew_std,recent_best_eplen
-0.3453125,27168,3.1875,120,32995.38588,120,120,3.1875,-1.07824707,3260160,-0.003274435,51,0,1.244106223,120
-0.6828125,27712,3.1875,120,33643.43022,120,120,2.71875,-0.908892463,3325440,-0.003806306,52,0,1.227105771,120
-1.2921875,28256,3.1875,120,34290.18061,120,120,2.40625,-1.127182904,3390720,-0.003827032,53,0,1.327123703,120
-0.9546875,28768,3.1875,120,34941.74325,120,120,2.40625,-1.045288086,3452160,-0.002735804,54,0,1.159938163,120
-0.9296875,29312,3.1875,120,35576.38813,120,120,2.5625,-1.008846507,3517440,-0.005015969,55,0,1.194137494,120
-1.1109375,29856,3.1875,120,36226.042,120,120,2.875,-0.85144761,3582720,-0.001611658,56,0,1.413608352,120
-1.1640625,30368,3.1875,120,36884.37897,120,120,2.40625,-0.819152832,3644160,-0.00052373,57,0,1.215615962,120
-0.796875,30912,3.5,120,37523.7154,120,120,3.5,-0.707261029,3709440,-0.003139075,58,0,1.256137277,120
-1.040625,31456,3.5,120,38166.48363,120,120,2.71875,-0.979836857,3774720,-0.002874006,59,0,1.333503814,120
-0.7265625,31968,3.5,120,38817.38482,120,120,2.875,-0.832580566,3836160,-0.000880335,60,0,1.072192692,120
-0.95,32512,3.5,120,39454.07237,120,120,3.03125,-0.899414063,3901440,-0.005025886,61,0,1.2091933,120
-1.309375,33056,3.5,120,40097.40125,120,120,3.1875,-0.959731158,3966720,-0.001671997,62,0,1.041984847,120
-1.09375,33568,3.5,120,40747.0854,120,120,3.5,-0.695861816,4028160,-0.000677702,63,0,1.124782965,120
-0.8265625,34112,3.5,120,41385.98177,120,120,2.40625,-0.706686581,4093440,-0.002440141,64,0,1.106112059,120
-1.1390625,34656,3.5,120,42030.62649,120,120,3.34375,-0.665613511,4158720,7.98E-05,65,0,1.243281751,120
-0.9890625,35168,3.5,120,42680.82289,120,120,3.1875,-0.68548584,4220160,0.000456864,66,0,1.034760832,120
-0.559375,35712,3.5,120,43315.76663,120,120,3.03125,-0.54900046,4285440,-0.002343252,67,0,1.10573346,120
-0.7859375,36256,3.5,120,43955.88714,120,120,2.25,-0.939338235,4350720,-0.00183889,68,0,1.329182483,120
-0.459375,36768,3.5,120,44600.99661,120,120,3.34375,-0.383056641,4412160,0.002984133,69,0,1.242402694,120
-0.2234375,37312,3.5,120,45234.18848,120,120,3.1875,-0.45134421,4477440,-0.001157493,70,0,1.368602839,120
-0.3140625,37856,3.5,120,45869.98861,120,120,3.34375,-0.517980239,4542720,0.000689783,71,0,1.340675079,120
-0.3078125,38368,3.5,120,46514.88545,120,120,2.71875,-0.723327637,4604160,0.00076311,72,0,1.236381873,120
-0.5734375,38912,3.5,120,47150.82964,120,120,3.34375,-0.47087546,4669440,-0.002087796,73,0,1.106897542,120
-0.81875,39456,3.5,120,47786.416,120,120,3.5,-0.587775735,4734720,0.00118215,74,0,1.185961174,120
-0.9375,39968,3.5,120,48428.52771,120,120,3.5,-0.766967773,4796160,-0.000294507,75,0,1.283154073,120
-0.084375,40512,3.65625,120,49068.26218,120,120,3.65625,-0.354836857,4861440,-0.0004393,76,0,1.48278204,120
-0.3953125,41056,3.65625,120,49706.72044,120,120,3.03125,-0.374080882,4926720,0.002768562,77,0,1.174321405,120
-0.3875,41568,3.65625,120,50348.29484,120,120,3.1875,-0.419067383,4988160,0.00202075,78,0,1.103589668,120
-0.0859375,42112,3.65625,120,50981.0661,120,120,3.65625,-0.273265165,5053440,0.000894884,79,0,1.048244207,120
-0.9671875,42656,3.65625,120,51617.80856,120,120,3.03125,-0.625689338,5118720,0.000309172,80,0,1.184225543,120
-0.7328125,43168,3.65625,120,52264.13703,120,120,2.5625,-0.561279297,5180160,0.001771534,81,0,1.272472794,120
-0.5984375,43712,3.65625,120,52897.24552,120,120,2.40625,-0.399931066,5245440,-0.001262977,82,0,1.135767697,120
-0.50625,44256,3.8125,120,53533.18617,120,120,3.8125,-0.065027574,5310720,0.005467991,83,0,1.119674897,120
-0.325,44768,3.8125,120,54178.97019,120,120,3.5,-0.395874023,5372160,0.002709969,84,0,1.341109324,120
0.290625,45312,5.0625,120,54811.58123,120,120,5.0625,0.043543199,5437440,0.002935378,85,0,1.413595399,120
0.0484375,45856,5.0625,120,55448.65181,120,120,4.28125,-0.17790671,5502720,0.004561742,86,0,1.195918964,120
0.1828125,46368,5.0625,120,56089.72454,120,120,3.34375,-0.150512695,5564160,0.004722133,87,0,1.411942472,120
-0.1921875,46912,5.0625,120,56724.63175,120,120,3.03125,-0.28303079,5629440,0.000130873,88,0,1.127093322,120
0.225,47456,5.0625,120,57364.8805,120,120,3.34375,0.103285846,5694720,0.007016411,89,0,1.379594596,120
-0.5953125,47968,5.0625,120,58014.90409,120,120,3.34375,-0.483764648,5756160,0.001908833,90,0,1.0020231,120
0.0921875,48512,5.0625,120,58651.11665,120,120,3.65625,-0.412568934,5821440,-0.000226327,91,0,1.733698489,120
0.1453125,49056,5.0625,120,59295.06158,120,120,3.1875,-0.144588695,5886720,0.004123453,92,0,1.289503712,120
-0.4328125,49568,5.0625,120,59940.50205,120,120,3.1875,-0.359863281,5948160,0.003113944,93,0,1.310462518,120
0.0265625,50112,5.0625,120,60574.92299,120,120,3.5,-0.067899816,6013440,0.002191335,94,0,1.225513086,120
-0.2078125,50656,5.0625,120,61209.65474,120,120,3.34375,-0.222426471,6078720,0.004372023,95,0,1.426221893,120
-0.3171875,51168,5.0625,120,61852.99076,120,120,3.03125,-0.369628906,6140160,0.00275169,96,0,1.244765407,120
0.3625,51712,5.0625,120,62483.35987,120,120,4.125,0.044117647,6205440,0.002660475,97,0,1.619383322,120
0.159375,52256,5.0625,120,63119.0807,120,120,3.65625,-0.179342831,6270720,0.004962657,98,0,1.541227063,120
0.08125,52768,5.84375,120,63761.6936,120,120,5.84375,-0.03729248,6332160,0.006101186,99,0,1.233737969,120
-0.196875,53312,5.84375,120,64397.70457,120,120,3.5,-0.045496324,6397440,0.002263954,100,0,1.268846209,120
0.3015625,53856,5.84375,120,65035.5038,120,120,3.5,-0.006721048,6462720,0.00545889,101,0,1.018494744,120
0.64375,54368,5.84375,120,65680.21111,120,120,3.34375,0.119873047,6524160,0.006264164,102,0,1.21796449,120
