rew_mean,eprew_std,best_eplen,eprew,eplen,eprew_recent,n_updates,recent_worst_eplen,eplen_std,recent_best_eplen,tcount,epcount,best_ext_ret,total_secs,recent_best_ext_ret
-0.005601252,1.304903612,70,-1.20625,70,-1.364327567,52,70,0,70,3326400,47520,4.4375,19198.86282,4.125
-0.005509882,1.265312461,70,-1.55,70,-1.271686422,53,70,0,70,3391360,48448,4.4375,19568.81242,3.8125
-0.006101109,1.340854438,70,-0.7625,70,-1.490583147,54,70,0,70,3454080,49344,4.4375,19935.57491,2.875
-0.00576426,1.554136994,70,-2.084375,70,-1.362607759,55,70,0,70,3519040,50272,5.375,20298.65238,5.375
-0.010915088,1.640443442,70,-1.48125,70,-1.7734375,56,70,0,70,3581760,51168,5.375,20671.51217,3.1875
-0.002118384,1.783920695,70,-0.484375,70,-1.066271552,57,70,0,70,3646720,52096,5.375,21038.1348,3.8125
-0.00780757,1.236406556,70,-2.028125,70,-1.53434806,58,70,0,70,3711680,53024,5.375,21407.85274,4.4375
-0.001874841,1.497967373,70,-1.2875,70,-1.128208705,59,70,0,70,3774400,53920,5.375,21775.22925,3.1875
-0.005253727,1.359285198,70,-1.125,70,-1.28279903,60,70,0,70,3839360,54848,5.375,22142.32966,3.1875
-0.005383006,1.581953895,70,-1.325,70,-1.426757813,61,70,0,70,3902080,55744,5.375,22509.92409,2.5625
-0.010361537,1.284295162,70,-1.71875,70,-1.733028017,62,70,0,70,3967040,56672,5.375,22874.94485,2.875
-0.003250272,1.343659154,70,-0.515625,70,-1.308523996,63,70,0,70,4029760,57568,5.375,23245.19871,3.8125
-0.008184165,1.4657416,70,-0.56875,70,-1.472723599,64,70,0,70,4094720,58496,5.375,23608.59789,3.5
-0.005164082,1.315190694,70,-1.73125,70,-1.405374461,65,70,0,70,4159680,59424,5.375,23979.49273,3.1875
-0.005592007,1.672199151,70,-2.15,70,-1.484654018,66,70,0,70,4222400,60320,5.375,24343.23078,4.125
-0.004719507,1.409825316,70,-1.928125,70,-1.217807112,67,70,0,70,4287360,61248,5.375,24713.22589,4.125
-0.003268292,1.283956745,70,-1.134375,70,-1.342006138,68,70,0,70,4350080,62144,5.375,25081.16905,3.1875
-0.011625612,1.233579649,70,-1.7375,70,-1.791285022,69,70,0,70,4415040,63072,5.375,25444.65355,3.5
-0.003822502,1.796097658,70,-0.815625,70,-1.414202009,70,70,0,70,4477760,63968,5.375,25813.59909,3.5
-0.005974527,1.437075345,70,-1.421875,70,-1.330616918,71,70,0,70,4542720,64896,5.375,26178.1585,3.5
-0.002796833,1.315858798,70,-0.9875,70,-1.267308728,72,70,0,70,4607680,65824,5.375,26548.73818,2.875
-0.003539834,1.138336746,70,-0.553125,70,-1.359444754,73,70,0,70,4670400,66720,5.375,26914.8777,3.8125
-0.005971247,1.411988292,70,-1.38125,70,-1.343413254,74,70,0,70,4735360,67648,5.375,27282.16122,3.1875
-0.002910361,1.304664109,70,-1.40625,70,-1.372000558,75,70,0,70,4798080,68544,5.375,27648.23956,3.1875
-0.002039634,1.782170815,70,-0.74375,70,-1.140018858,76,70,0,70,4863040,69472,5.375,28010.09586,4.4375
-0.001248878,1.499270656,70,-0.975,70,-1.171107701,77,70,0,70,4925760,70368,5.375,28376.19477,3.5
-0.001988168,1.335698992,70,-1.803125,70,-1.182112069,78,70,0,70,4990720,71296,5.375,28738.49637,3.8125
-0.004001801,1.67161505,70,-1.1625,70,-1.329943427,79,70,0,70,5055680,72224,5.375,29104.47972,5.0625
0.000314335,1.663401424,70,-0.678125,70,-1.120884487,80,70,0,70,5118400,73120,5.375,29469.72285,3.8125
0.000135533,1.544723883,70,-0.5125,70,-0.944369612,81,70,0,70,5183360,74048,5.375,29840.39248,3.8125
-0.001564897,1.382009831,70,-0.684375,70,-1.279575893,82,70,0,70,5246080,74944,5.375,30210.85482,2.875
-0.004480986,1.550185851,70,-1.890625,70,-1.367658944,83,70,0,70,5311040,75872,5.375,30580.27474,2.5625
-0.003172218,1.587610724,70,-1.34375,70,-1.332589286,84,70,0,70,5373760,76768,5.375,30948.1271,2.875
-0.002932547,1.267070933,70,-0.4375,70,-1.246430496,85,70,0,70,5438720,77696,5.375,31312.415,4.125
0.000290788,1.777012503,70,-1.61875,70,-1.090853987,86,70,0,70,5503680,78624,5.375,31684.91966,3.1875
0.001590512,1.419534475,70,-0.925,70,-1.003348214,87,70,0,70,5566400,79520,5.375,32052.87659,3.1875
-0.002120538,1.41245506,70,-0.865625,70,-1.161233836,88,70,0,70,5631360,80448,5.375,32419.21902,2.875
0.007650968,1.469069114,70,-0.25625,70,-0.665039063,89,70,0,70,5694080,81344,6,32791.53084,6
-0.003457741,1.19665876,70,-1.63125,70,-1.26326778,90,70,0,70,5759040,82272,6,33159.19473,4.125
-0.001348288,1.645009024,70,-2.03125,70,-1.316894531,91,70,0,70,5821760,83168,6,33531.33124,2.875
-0.002071964,1.440279243,70,-1.471875,70,-1.152815194,92,70,0,70,5886720,84096,6,33899.12203,3.8125
-0.003574587,1.264490232,70,-1.696875,70,-1.389884159,93,70,0,70,5951680,85024,6,34267.73373,3.8125
0.006396416,1.335527167,70,-1.29375,70,-0.689801897,94,70,0,70,6014400,85920,6,34634.48157,3.5
-0.00031106,1.364820272,70,-0.925,70,-1.044046336,95,70,0,70,6079360,86848,6,34998.85687,3.8125
0.001354293,1.666020708,70,-1.575,70,-1.142857143,96,70,0,70,6142080,87744,6,35368.77108,3.8125
0.001539553,1.473396904,70,-1.09375,70,-0.985115841,97,70,0,70,6207040,88672,6,35734.51385,3.1875
0.000312624,1.34896879,70,-0.971875,70,-1.128208705,98,70,0,70,6269760,89568,6,36107.46545,2.875
0.004753082,1.511321209,70,-0.553125,70,-0.847386853,99,70,0,70,6334720,90496,6,36471.79202,3.5
0.002265867,1.332331574,70,-1.115625,70,-0.930899784,100,70,0,70,6399680,91424,6,36839.70879,3.5
