eprew,tcount,recent_worst_eplen,eplen,eplen_std,n_updates,rew_mean,recent_best_ext_ret,best_ext_ret,recent_best_eplen,best_eplen,eprew_recent,epcount,eprew_std,total_secs
9.64375,3519040,70,70,0,55,0.13456826,14.125,15.375,70,70,9.197400323,50272,1.623929936,19743.06653
9.06875,3581760,70,70,0,56,0.13956594,15.0625,15.375,70,70,9.359026228,51168,1.78008734,20105.83346
9.39375,3646720,70,70,0,57,0.13867323,15.375,15.375,70,70,9.293709591,52096,1.688668577,20464.05732
9.20625,3711680,70,70,0,58,0.14163338,14.75,15.375,70,70,9.638537177,53024,1.536419844,20825.00018
9.3625,3774400,70,70,0,59,0.14096452,14.75,15.375,70,70,9.369489397,53920,1.74559714,21182.42879
9.690625,3839360,70,70,0,60,0.14055845,14.75,15.375,70,70,9.601831897,54848,1.715448534,21543.25609
9.8125,3902080,70,70,0,61,0.14613712,15.375,15.375,70,70,9.605259487,55744,1.584840292,21901.47348
9.296875,3967040,70,70,0,62,0.13766776,15.6875,15.6875,70,70,9.457704741,56672,1.750767131,22259.64516
8.85625,4029760,70,70,0,63,0.14357941,15.0625,15.6875,70,70,9.571428571,57568,1.677644834,22620.51688
9.15,4094720,70,70,0,64,0.13648489,13.8125,15.6875,70,70,9.182583513,58496,1.892460369,22979.5267
9.68125,4159680,70,70,0,65,0.14376709,15.0625,15.6875,70,70,9.781654095,59424,1.712534215,23341.54224
10.021875,4222400,70,70,0,66,0.13929032,14.125,15.6875,70,70,9.211495536,60320,1.550362231,23699.47095
10.21875,4287360,70,70,0,67,0.14061338,14.4375,15.6875,70,70,9.616648707,61248,1.670341002,24056.76574
10.309375,4350080,70,70,0,68,0.15048878,15.0625,15.6875,70,70,9.913574219,62144,2.093187891,24417.60417
9.115625,4415040,70,70,0,69,0.13649513,16.3125,16.3125,70,70,9.333782328,63072,1.59739473,24774.76514
9.728125,4477760,70,70,0,70,0.14009525,14.75,16.3125,70,70,9.323451451,63968,1.378727193,25137.60458
10.078125,4542720,70,70,0,71,0.14388807,15.375,16.3125,70,70,9.766163793,64896,1.441824338,25493.38877
9.665625,4607680,70,70,0,72,0.136696,14.4375,16.3125,70,70,9.229391164,65824,1.39324192,25850.85731
9.2,4670400,70,70,0,73,0.14400558,17.25,17.25,70,70,9.518763951,66720,1.492245581,26209.82816
9.325,4735360,70,70,0,74,0.13963987,14.4375,17.25,70,70,9.57893319,67648,1.577131494,26567.69418
10.296875,4798080,70,70,0,75,0.1486064,16.9375,17.25,70,70,9.735700335,68544,1.527338755,26926.99704
9.6,4863040,70,70,0,76,0.1426964,14.75,17.25,70,70,9.782664332,69472,1.683722624,27283.16684
9.103125,4925760,70,70,0,77,0.14389879,16.3125,17.25,70,70,9.609095982,70368,1.571384118,27639.93441
9.65,4990720,70,70,0,78,0.14269115,14.75,17.25,70,70,9.653353987,71296,1.478280251,27996.25723
9.94375,5055680,70,70,0,79,0.14286052,15.0625,17.25,70,70,9.63752694,72224,1.68737268,28355.25473
10.10625,5118400,70,70,0,80,0.14609113,14.4375,17.25,70,70,9.683733259,73120,1.493488471,28713.01218
9.45,5183360,70,70,0,81,0.14102103,15.6875,17.25,70,70,9.63516972,74048,1.687453703,29071.51054
9.89375,5246080,70,70,0,82,0.14683472,15.375,17.25,70,70,9.632114955,74944,1.716999108,29432.2193
9.615625,5311040,70,70,0,83,0.14263476,14.75,17.25,70,70,9.732489224,75872,1.565157116,29790.72556
10.2875,5373760,70,70,0,84,0.14711201,16,17.25,70,70,9.797781808,76768,1.67418357,30149.67941
10.271875,5438720,70,70,0,85,0.14739165,15.0625,17.25,70,70,9.955751616,77696,1.566279803,30510.08473
10.459375,5503680,70,70,0,86,0.14666165,15.375,17.25,70,70,9.939587823,78624,1.746567504,30869.50167
8.896875,5566400,70,70,0,87,0.1459256,15.0625,17.25,70,70,9.656529018,79520,1.444855502,31227.0899
9.3375,5631360,70,70,0,88,0.14499177,14.75,17.25,70,70,9.888402478,80448,1.61830351,31589.75043
10.0875,5694080,70,70,0,89,0.15082066,14.75,17.25,70,70,9.931012835,81344,1.71885227,31949.79967
9.5875,5759040,70,70,0,90,0.1437133,15.6875,17.25,70,70,9.821053341,82272,1.552769703,32306.70725
9.628125,5821760,70,70,0,91,0.14631374,14.4375,17.25,70,70,9.694893973,83168,1.476307022,32668.01185
9.984375,5886720,70,70,0,92,0.14805058,14.75,17.25,70,70,9.987405711,84096,1.566479308,33023.90715
9.53125,5951680,70,70,0,93,0.1407154,15.0625,17.25,70,70,9.526400862,85024,1.498371512,33382.62095
10.246875,6014400,70,70,0,94,0.1486769,14.4375,17.25,70,70,9.831263951,85920,1.42596938,33740.20866
9.690625,6079360,70,70,0,95,0.1438625,14.75,17.25,70,70,9.810614224,86848,1.629018469,34098.53313
9.83125,6142080,70,70,0,96,0.15278092,15.375,17.25,70,70,10.04541016,87744,1.729579519,34457.28376
10.3,6207040,70,70,0,97,0.14492482,15.6875,17.25,70,70,9.880320582,88672,1.622064657,34814.30125
9.98125,6269760,70,70,0,98,0.14690772,14.75,17.25,70,70,9.740583147,89568,1.635554665,35176.62366
10.059375,6334720,70,70,0,99,0.14734836,14.4375,17.25,70,70,9.959455819,90496,1.645006055,35534.61834
10.290625,6399680,70,70,0,100,0.14517064,14.4375,17.25,70,70,9.815665409,91424,1.676384106,35893.95035
9.68125,6462400,70,70,0,101,0.15190154,14.125,17.25,70,70,10.0788923,92320,1.485989254,36257.16132
9.953125,6527360,70,70,0,102,0.14496244,15.375,17.25,70,70,9.886382004,93248,2.014776953,36615.20092
10.428125,6590080,70,70,0,103,0.1524907,15.0625,17.25,70,70,9.996233259,94144,1.615389248,36972.82956
