best_eplen,recent_best_eplen,eprew_std,eplen,recent_best_ext_ret,eprew,epcount,tcount,total_secs,best_ext_ret,recent_worst_eplen,eprew_recent,n_updates,eplen_std,rew_mean
47,47,1.429252837,47,8.1,2.753125,62624,2943328,16744.75654,9.6625,47,2.542450945,46,0,0.057652894
47,47,1.57450389,47,8.4125,2.125,63968,3006496,17111.24172,9.6625,47,2.565448289,47,0,0.060597032
47,47,1.500468677,47,7.7875,2.7375,65344,3071168,17471.71051,9.6625,47,2.410728561,48,0,0.055853616
47,47,1.686851727,47,8.1,2.375,66720,3135840,17835.02934,9.6625,47,2.675081759,49,0,0.060937792
47,47,1.932948282,47,9.0375,2.79375,68064,3199008,18194.89396,9.6625,47,3.019549851,50,0,0.06809604
47,47,1.969880628,47,9.35,2.66875,69440,3263680,18559.74038,9.6625,47,2.617850654,51,0,0.06044459
47,47,1.585071346,47,8.725,2.990625,70784,3326848,18921.26524,9.6625,47,2.831212798,52,0,0.06617998
47,47,1.719477119,47,8.725,4.54375,72160,3391520,19281.31314,9.6625,47,3.050036337,53,0,0.069116846
47,47,1.521858958,47,7.7875,2.45625,73504,3454688,19644.35411,9.6625,47,2.726116071,54,0,0.06291037
47,47,1.911376304,47,8.1,2.275,74880,3519360,20004.52204,9.6625,47,2.938526526,55,0,0.06620535
47,47,1.32322995,47,8.725,3.875,76224,3582528,20366.12388,9.6625,47,3.065820313,56,0,0.071308345
47,47,1.84594943,47,7.1625,3.215625,77600,3647200,20727.78418,9.6625,47,2.895603198,57,0,0.0667385
47,47,1.455377958,47,9.6625,2.0125,78976,3711872,21092.25952,9.6625,47,3.226726017,58,0,0.07244141
47,47,1.916967821,47,9.35,3.2625,80320,3775040,21455.15073,9.6625,47,3.05047433,59,0,0.0696297
47,47,1.383199981,47,10.9125,2.54375,81696,3839712,21818.48046,10.9125,47,3.143604651,60,0,0.0709477
47,47,1.561387104,47,8.4125,2.58125,83040,3902880,22182.08382,10.9125,47,2.848883929,61,0,0.06645621
47,47,1.522676893,47,8.4125,3.384375,84416,3967552,22545.33105,10.9125,47,3.153143169,62,0,0.07108604
47,47,1.581987847,47,9.35,3.553125,85760,4030720,22910.42901,10.9125,47,3.319959077,63,0,0.07578963
47,47,1.589454997,47,9.35,3.38125,87136,4095392,23271.63805,10.9125,47,3.302579942,64,0,0.07458729
47,47,2.019192579,47,7.7875,1.690625,88480,4158560,23632.92354,10.9125,47,3.101627604,65,0,0.07310642
47,47,1.469331667,47,8.4125,3.115625,89856,4223232,23994.74784,10.9125,47,3.150417878,66,0,0.07115437
47,47,1.6436995,47,9.35,3.634375,91232,4287904,24358.25905,10.9125,47,3.046629724,67,0,0.06863762
47,47,1.490870656,47,9.35,3.14375,92576,4351072,24720.2662,10.9125,47,3.207886905,68,0,0.07263827
47,47,1.22574515,47,9.0375,3.121875,93952,4415744,25083.98693,10.9125,47,3.386382631,69,0,0.076685406
47,47,1.28267832,47,8.725,3.084375,95296,4478912,25443.24478,10.9125,47,3.430403646,70,0,0.07878485
47,47,1.618001758,47,8.725,2.53125,96672,4543584,25804.08363,10.9125,47,3.312799782,71,0,0.07366738
47,47,1.539721464,47,8.725,4.05625,98016,4606752,26171.00356,10.9125,47,3.290894717,72,0,0.075522095
47,47,1.51707405,47,10.2875,3.553125,99392,4671424,26530.99246,10.9125,47,3.593958939,73,0,0.08164816
47,47,1.463658062,47,9.0375,2.715625,100736,4734592,26895.20922,10.9125,47,3.378552827,74,0,0.07770657
47,47,1.926326146,47,8.4125,2.909375,102112,4799264,27257.81978,10.9125,47,3.573065044,75,0,0.08018755
47,47,1.179293187,47,9.35,1.746875,103488,4863936,27621.06871,10.9125,47,3.234220567,76,0,0.07418831
47,47,1.509924848,47,9.975,3.165625,104832,4927104,27982.62768,10.9125,47,4.121205357,77,0,0.09227621
47,47,1.347056252,47,9.0375,2.996875,106208,4991776,28343.37625,10.9125,47,3.571021076,78,0,0.08032311
47,47,2.558922808,47,9.975,3.80625,107552,5054944,28705.18544,10.9125,47,3.518526786,79,0,0.08151051
47,47,1.647607166,47,8.725,3.625,108928,5119616,29069.75708,10.9125,47,3.74453125,80,0,0.08231961
47,47,1.898938334,47,8.1,3.859375,110272,5182784,29431.28833,10.9125,47,3.457375372,81,0,0.07925806
47,47,1.450134692,47,8.4125,2.8125,111648,5247456,29793.80706,10.9125,47,3.509474927,82,0,0.07994954
47,47,1.756625294,47,8.1,3.690625,112992,5310624,30155.75239,10.9125,47,3.365299479,83,0,0.07677866
47,47,1.903581637,47,8.1,3.034375,114368,5375296,30516.88317,10.9125,47,3.398419331,84,0,0.07730491
47,47,1.819735021,47,9.6625,3.871875,115744,5439968,30877.38788,10.9125,47,3.743849927,85,0,0.08511334
47,47,1.44067584,47,7.475,3.4375,117088,5503136,31238.71673,10.9125,47,3.323214286,86,0,0.07495433
47,47,1.203262979,47,8.4125,2.853125,118464,5567808,31600.88251,10.9125,47,3.444976381,87,0,0.078534074
47,47,1.888348319,47,8.1,3.775,119808,5630976,31961.77556,10.9125,47,3.497367932,88,0,0.08043321
47,47,0.817359267,47,9.6625,4.090625,121184,5695648,32322.08809,10.9125,47,4.005932049,89,0,0.08879266
47,47,1.556061736,47,10.9125,5.025,122528,5758816,32684.61093,10.9125,47,3.801962426,90,0,0.08749642
47,47,1.391867423,47,9.35,3.846875,123904,5823488,33045.98304,10.9125,47,3.576925872,91,0,0.08100084
47,47,1.374843741,47,9.6625,3.53125,125248,5886656,33409.18003,10.9125,47,3.836839658,92,0,0.08648481
47,47,1.397189562,47,9.35,3.103125,126624,5951328,33770.00351,10.9125,47,3.520830305,93,0,0.07940142
47,47,1.396182714,47,8.1,4.296875,127968,6014496,34132.61638,10.9125,47,3.260667783,94,0,0.07572179
47,47,1.418278418,47,8.4125,4.003125,129344,6079168,34494.01419,10.9125,47,3.662999637,95,0,0.0830693
47,47,1.279511015,47,9.6625,2.89375,130720,6143840,34855.27881,10.9125,47,3.663226744,96,0,0.08243306
47,47,1.346331097,47,9.35,4.921875,132064,6207008,35218.39961,10.9125,47,3.410639881,97,0,0.078742035
47,47,1.151188245,47,8.1,3.3,133440,6271680,35583.38899,10.9125,47,3.505159884,98,0,0.078133635
47,47,1.304330977,47,9.35,4.140625,134784,6334848,35945.60485,10.9125,47,3.356463914,99,0,0.077343196
47,47,1.094749543,47,9.0375,4.58125,136160,6399520,36308.8591,10.9125,47,3.818114099,100,0,0.08650718
47,47,1.71690526,47,9.0375,4.215625,137504,6462688,36670.94996,10.9125,47,3.517829241,101,0,0.08112916
47,47,1.324863643,47,8.4125,4.290625,138880,6527360,37031.21374,10.9125,47,3.641651526,102,0,0.080889195
47,47,2.051580945,47,9.0375,3.9125,140224,6590528,37397.76264,10.9125,47,3.898921131,103,0,0.09066482
47,47,1.830471251,47,8.4125,3.8375,141600,6655200,37761.59894,10.9125,47,3.829015262,104,0,0.08419574
47,47,1.477249344,47,8.725,5.425,142976,6719872,38124.7461,10.9125,47,3.622574491,105,0,0.083310775
47,47,1.152629467,47,9.975,2.68125,144320,6783040,38484.5636,10.9125,47,3.917289807,106,0,0.08877815
47,47,1.359037314,47,10.2875,3.996875,145696,6847712,38846.49368,10.9125,47,3.896693314,107,0,0.08723452
47,47,1.218072728,47,8.725,3.453125,147040,6910880,39209.08908,10.9125,47,3.572237723,108,0,0.08385715
47,47,1.798575283,47,9.6625,4.328125,148416,6975552,39573.1495,10.9125,47,3.761110102,109,0,0.08271992
47,47,1.095494145,47,9.975,4.203125,149760,7038720,39932.83514,10.9125,47,4.052380952,110,0,0.092671655
47,47,1.696420289,47,7.7875,3.871875,151136,7103392,40297.55871,10.9125,47,3.626662427,111,0,0.08141397
47,47,1.611494357,47,9.35,3.49375,152480,7166560,40664.60799,10.9125,47,3.780106027,112,0,0.08785689
47,47,1.371796695,47,9.0375,4.665625,153856,7231232,41026.93719,10.9125,47,4.090643169,113,0,0.09106955
47,47,1.632587455,47,9.6625,3.921875,155232,7295904,41392.93219,10.9125,47,4.12584484,114,0,0.093008526
47,47,0.977900334,47,9.975,4.11875,156576,7359072,41756.083,10.9125,47,3.946586682,115,0,0.08921758
47,47,1.727828297,47,9.0375,3.2125,157952,7423744,42119.85522,10.9125,47,3.728633721,116,0,0.08405183
47,47,1.43730977,47,9.35,3.675,159296,7486912,42483.93659,10.9125,47,3.99890253,117,0,0.09181487
47,47,1.678226836,47,9.975,5.01875,160672,7551584,42846.26601,10.9125,47,4.111764172,118,0,0.0907293
47,47,1.532524979,47,7.7875,4.13125,162016,7614752,43206.59944,10.9125,47,3.854743304,119,0,0.08954208
47,47,1.498628931,47,9.35,3.846875,163392,7679424,43568.5062,10.9125,47,3.903279433,120,0,0.0876729
47,47,1.048338529,47,9.35,3.940625,164736,7742592,43929.48445,10.9125,47,3.833584449,121,0,0.087139174
47,47,1.735078686,47,9.35,3.584375,166112,7807264,44289.8266,10.9125,47,3.695703125,122,0,0.0844191
47,47,1.649704045,47,9.35,3.86875,167488,7871936,44649.93683,10.9125,47,3.697747093,123,0,0.083829425
47,47,2.581732325,47,9.6625,4.153125,168832,7935104,45007.53664,10.9125,47,4.148642113,124,0,0.09394295
47,47,1.445693362,47,9.0375,3.128125,170208,7999776,45369.62366,10.9125,47,4.116306323,125,0,0.09198384
47,47,0.922822606,47,9.0375,2.83125,171552,8062944,45731.08041,10.9125,47,3.885667783,126,0,0.08940193
47,47,1.965570349,47,8.725,4.378125,172928,8127616,46093.5065,10.9125,47,3.740216206,127,0,0.08321673
47,47,1.139044281,47,9.35,4.075,174272,8190784,46457.4856,10.9125,47,3.914034598,128,0,0.089798875
